Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058611614.6277374,-3.7432676979296576e-10,1100000000.0,3343821.732533032,0.31658733607966977,39.67197184244791,23164.74596201249,8694.373497250748,17701.64080470027
2020-2025,scenario2,1099999999.6852832,-0.014977821299308716,1100000000.0,3510957.3469982813,0.3133048598911722,46.31544464434499,13896.275290096957,8174.847598129895,16257.562456119993
2020-2025,scenario3,1072458225.6603341,-5.04578344075711e-10,1100000000.0,3396981.320008213,0.31570919137637327,39.567498541991306,27752.64800754476,6456.084724234301,17119.482738645096
2025-2030,scenario1,989999999.9956437,-0.32317314255833723,990000000.0,4469285.798139437,0.22151190250749525,43.06015923078941,54767.73448138293,13082.89456793615,22407.762328492347
2025-2030,scenario2,990000000.3190494,-12.934347661699993,990000000.0,4633986.705893774,0.2136389383810514,43.38001233329401,52407.536358921025,15405.45844181224,22989.36568024754
2025-2030,scenario3,989999999.9882959,-37.86950646706797,990000000.0,4547772.894100867,0.21768897063280604,57.27621415468666,59399.21592342344,9206.491012003746,21580.08774348198
2030-2035,scenario1,770000000.0169424,-33.46196029959428,770000000.0,5463911.896108333,0.14092467350458007,42.58198817459892,55191.79662962899,17523.14902681026,52033.277265450066
2030-2035,scenario2,736232500.0332266,-3.547528509217562e-09,770000000.0,5728639.685727723,0.1285178577154188,26.38533562307276,155481.16752641558,28351.225437442925,58195.31411579126
2030-2035,scenario3,679110675.5872488,-2.1128568257363763e-09,770000000.0,5534328.04298028,0.12270878601940466,152.04685967355354,204685.45358770245,26621.79574428341,58837.449606325616
2035-2040,scenario1,329999999.8729488,-64.1271585512457,330000000.0,6688600.120532479,0.04933767812788279,183.95231796941883,105739.63783958087,39023.755957263245,66647.88248212353
2035-2040,scenario2,330000000.0194291,-35.6631468978527,330000000.0,6578393.576177761,0.05016422264767513,31.090157005683036,190950.67144487944,36049.741230053376,66062.26134261549
2035-2040,scenario3,330000000.017804,-37.81783279004559,330000000.0,6792863.939642477,0.0485803930345129,173.29976313423902,184455.82040186692,35065.767974734656,69572.5053374902
2040-2045,scenario1,66000000.01830723,-50.53873469445835,66000000.0,7307581.345874285,0.009031716089697495,20.605995969299208,628120.7208145225,42334.85905973441,97561.23393046384
2040-2045,scenario2,66000000.11853166,-105.42886031913518,66000000.0,7467924.267382758,0.008837797191757252,29.823959417053636,328577.9945470298,48106.10992996947,99489.1513534683
2040-2045,scenario3,66000000.00649044,-291.69371458217563,66000000.0,7409108.994607064,0.008907953716774338,33.48703128230574,254816.5270113773,49634.87301004203,99008.74859868735
2045-2050,scenario1,55000000.01480197,-47.82395901685772,55000000.0,7959260.825236044,0.0069101894286993015,10.861862428384578,654883.5163745532,56060.832349028606,104242.47553628938
2045-2050,scenario2,55000000.014823906,-47.82395967232928,55000000.0,8245092.457618824,0.0066706347196875725,15.843794120972094,452743.72300469934,54239.244562946435,104328.05555180008
2045-2050,scenario3,55000000.0095792,-777.8909535624492,55000000.0,8032270.216971632,0.006847379199639521,61.989465033356005,511156.06329065736,61676.927415053426,102410.55392437753
2050-2055,scenario1,33000000.011295225,-47.67132931712694,33000000.0,8094536.5889522135,0.004076823873566068,17.9263015596147,479850.4460811459,65783.07161617841,100507.905781098
2050-2055,scenario2,33000000.006851837,-62.049151311337106,33000000.0,8183665.710499159,0.004032422776569857,23.301526565208892,461356.26421310846,54395.85858674654,101187.47809472331
2050-2055,scenario3,33000000.01105006,-44.85437390151193,33000000.0,7968693.683885362,0.004141205738373629,13.234115131984465,474008.6055790886,68430.34089122018,100521.97619467566
2055-2060,scenario1,22000000.011653982,-37.351770306313654,22000000.0,8379017.788054087,0.002625606075573643,47.90017742813895,434762.39383858436,63536.639043188086,104861.40162999244
2055-2060,scenario2,22000000.04453007,-38.51113934185591,22000000.0,7906265.924035239,0.0027826030968234653,8.584693590514377,425684.0710693701,68677.80266491903,100030.38618281938
2055-2060,scenario3,22000000.011372052,-58.2902761226351,22000000.0,7969454.70950776,0.002760540189170903,11.624468622991587,478460.2076685339,58052.277604508585,105460.45353997972
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352212.2515322034
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223309.80605884313
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136543.85251526526
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4655.6033526941455
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.411429322545102
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.971517258019127
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28824.281732953717,28824.281732953717,71356060805.51991,201513.55361766068
Lignite,2025-2030,6.973018459380103e-05,28824.281801629717,129.06618463665453,198215.81803841665
Lignite,2030-2035,0.0005714744184107177,28824.282372049987,778.0815812879657,181350.06704509674
Lignite,2035-2040,1.533025404323861e-05,28824.282386325955,14.994108107394165,76161.2923037889
Lignite,2040-2045,1.5066913896244632e-05,28824.282400338663,10.20966789169959,1.7462303449318353
Lignite,2045-2050,2.2780372327842164e-05,28824.282422064804,10.073713612792957,7.323446377752574
Lignite,2050-2055,0.00010530559879315721,28824.28252631619,27.143484083009565,0.0024943821908933075
Lignite,2055-2060,0.0002453775760942495,28824.28277063956,27.785807427745404,187.82132443648985
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359131.87943481054
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246868.4870524134
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135064.55892691843
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6867.541001431068
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,19.017434252953173
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,10.535253777228517
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.025606111182877943,0.025606111182877943,54828.73326085628,0.12613005869069735
Coal,2025-2030,0.0040879471467135525,0.029691633728576968,6544.690924399203,0.14120779552936844
Coal,2030-2035,0.0006633003839378183,0.030352509341065134,781.1434610680902,0.12278624901130969
Coal,2035-2040,0.0001786245073304876,0.030528709161291117,151.11394463707595,0.022987100206585554
Coal,2040-2045,0.00012446163337462312,0.030650746108103085,72.94827345848033,0.0037894863232608685
Coal,2045-2050,0.00021163268026220568,0.030859954101884194,80.94755335171087,0.004397621531870878
Coal,2050-2055,0.0006531083985327794,0.03151063781382575,145.6101371982655,0.006242852330729815
Coal,2055-2060,0.002024874667937612,0.033533087795263955,198.32547771138863,0.006413527464412241
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187458.82060284822
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116354.63470356478
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51387.32991930158
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10327.218078502912
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1143.782126655142
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.016415442171533817,0.016415442171533817,12061.261480286415,0.010776760304593807
GasOCGT,2025-2030,9507.288256659915,9507.304668341178,5473313365.177047,1577.2952010464628
GasOCGT,2030-2035,83536.44766031785,93043.75232363303,37681064199.755104,10648.732172720425
