Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.009857470485002308,0.009857470485002308
EnergyhubEU,2025-2030,0.001473444526911045,0.011330888175693058
EnergyhubEU,2030-2035,35010.422842192136,35010.434188539606
EnergyhubEU,2035-2040,15571.251228674852,50581.68542260471
EnergyhubEU,2040-2045,17945.137525480684,68526.82294929736
EnergyhubEU,2045-2050,6.095101638782739e-06,68526.82294961509
EnergyhubEU,2050-2055,5.221844633869267e-07,68526.82296821286
EnergyhubEU,2055-2060,4.980164326588724e-07,68526.82296407661
EnergyhubNorth,2020-2025,0.009157481633977392,0.009157481633977392
EnergyhubNorth,2025-2030,0.000825931804644733,0.009983386602393209
EnergyhubNorth,2030-2035,0.0305064135845088,0.0404897733507041
EnergyhubNorth,2035-2040,1236.9312389908878,1236.9717287369094
EnergyhubNorth,2040-2045,59690.88548255772,60927.8573684376
EnergyhubNorth,2045-2050,7.401848571622197e-05,60927.85736011649
EnergyhubNorth,2050-2055,5.764378191271603e-07,60927.8573955479
EnergyhubNorth,2055-2060,5.388379225488604e-07,60927.857378764515
EnergyhubCentral,2020-2025,0.010605121737936879,0.010605121737936879
EnergyhubCentral,2025-2030,0.0015709856984425096,0.012176080600172187
EnergyhubCentral,2030-2035,43454.619740720096,43454.63195382303
EnergyhubCentral,2035-2040,3253.2356097537086,46707.86755205146
EnergyhubCentral,2040-2045,18334.773813644373,65042.64137594625
EnergyhubCentral,2045-2050,1.053813095159233e-05,65042.641372827704
EnergyhubCentral,2050-2055,5.731650764350593e-07,65042.64137539748
EnergyhubCentral,2055-2060,4.630464294450497e-07,65042.64137632991
