Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999708503052,0.0,12404.159517896687
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.725499119082671,0.0,7383.9648434547735
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6393254427212894,0.0,4371.829340951117
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0034463617047165757,0.0,16.442008462760445
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,4.880459491094463e-08,0.0,0.0001614346677361444
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.9529393119090986e-07,0.0,0.000161497144634736
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2833528739814994,0.0,30672.18922279499
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4679877814166384,0.0,31174.41423452119
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5525917106644463,0.0,24731.851774486484
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.003935305209734338,0.0,122.88064682762885
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00027025442932977273,0.0,5.850863538615455
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.4405123331106505e-08,0.0,0.00024033677974308784
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999886264671,0.0,47632.49927766704
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7356084053688943,0.0,28749.839892294516
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6482996149526271,0.0,17023.662187140155
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.01894343029198619,0.0,347.04728591655055
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.1537663737206896e-08,0.0,0.0001465514047900021
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,5.144053243516319e-08,0.0,0.0001633494107478612
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499942183555337,0.0,125525.45233449136
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7439816436419971,0.0,76627.1608386428
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6391908246009219,0.0,44232.300565218844
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04769429232852853,0.0,2302.6514501667875
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.772785534394169e-09,0.0,0.0001597628484160767
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.603489312012031e-08,0.0,0.00021787112856342262
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7493032189509611,0.0,13134.356292218863
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6193639569030651,0.0,6681.03517120257
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.556031321548927,0.0,4029.8192526952025
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07658465750081782,0.0,387.24060029251086
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022644764790559767,0.0,0.7938692945403448
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,2.540212523340939e-07,0.0,0.0002226338783531893
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999464084774,0.0,6615.989527252015
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6637143043046198,0.0,3602.976164214414
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6179522168367932,0.0,2253.8426223591428
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.03332663969848949,0.0,84.80335191492688
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,8.967794088547248e-08,0.0,0.00015821556269836706
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.565467374948235e-07,0.0,0.00015726064331989168
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.678272788133111,0.0,1354.700674282496
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5652947464461561,0.0,694.8011638042956
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5269690653905929,0.0,435.17024347791255
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.026607219651135095,0.0,15.329442595620902
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.920590162957932e-07,0.0,0.0001566103264134521
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.1523521527096315e-06,0.0,0.00021494249537819463
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999040264799,0.0,5413.679307240101
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7015070256098361,0.0,3116.089890792585
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6083786951910944,0.0,1815.6846885516843
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.00835978568702585,0.0,17.406617145437732
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023975662154380114,0.0,0.34612416717846534
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,4.7163660924774733e-07,0.0,0.00017021931191682298
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.749999990648195,0.0,49669.19938067099
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7330185389680547,0.0,29873.595418020162
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6107723304702218,0.0,16724.00821247997
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.06426440453268557,0.0,1227.6775236980232
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.1612227217850063e-08,0.0,0.00015380534296769013
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,5.1497685346038805e-08,0.0,0.0001705232555326315
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999756070602,0.0,16405.28946643565
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6976371873356668,0.0,9390.72030607252
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6095926109435206,0.0,5513.120170110022
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.01188614187568161,0.0,74.9983094045002
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.0002685396472030377,0.0,1.174792210363605
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.0013904605790347477,0.0,1.5207272688421993
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999890505517,0.0,37192.769457012895
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7302501300968822,0.0,22285.148825569937
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6414791702434439,0.0,13152.700657207328
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.003132328583580276,0.0,44.807683297510394
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,0.00022642143196118395,0.0,2.2456640645341217
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,7.09740114425517e-08,0.0,0.000175981338904013
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499999367903102,0.0,6149.51948172099
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7288127617563861,0.0,3677.4142807599032
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6494275682649232,0.0,2201.6373877262777
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.0035715031231939136,0.0,8.447319186978246
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,8.366065109875061e-08,0.0,0.0001371927592386106
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,3.8791907280926387e-07,0.0,0.0001590344064414688
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.0034406398026826145,0.0034406398026826145,0.7789979011069705,8517.489013071563,0.02347900037845257
BosniaH,Lignite,2025-2030,1.5882570888092556e-06,0.003442151870531849,0.7665531169686023,2.93976394683106,0.023114068070014898
BosniaH,Lignite,2030-2035,3.252852161513528e-07,0.0034424009508222516,0.6835054257480463,0.4428867280822724,0.02061140161278829
BosniaH,Lignite,2035-2040,9.911750508965156e-07,0.003443315910902911,0.10052847875582113,0.9694415907640515,0.003032285479093362
BosniaH,Lignite,2040-2045,7.792243742808761e-07,0.003444018922616242,0.004785765709723046,0.5280193495038206,0.00014438466473220884
BosniaH,Lignite,2045-2050,2.2894449961313797e-06,0.003446232174182615,0.005680643210411164,1.0124159908958796,0.0001714929029195135
BosniaH,Lignite,2050-2055,4.88610349974297e-06,0.0034510420746321595,0.007931499329252295,1.2594379984839772,0.00023977817600545805
BosniaH,Lignite,2055-2060,2.8886686981306876e-06,0.003453854540286045,0.008792884853292066,0.3271040224881262,0.00026603546458933567
Bulgaria,Lignite,2020-2025,0.00017587494311996257,0.00017587494311996257,0.38257484838322814,435.3878876047674,0.0005894194881591105
Bulgaria,Lignite,2025-2030,4.987096877713018e-05,0.00022566970885156372,0.37400043489000745,92.30802559455915,0.0007393489866474008
Bulgaria,Lignite,2030-2035,0.0005751324648321727,0.0008007259706381683,0.5656436004690336,783.0621341392131,0.00396762756414252
Bulgaria,Lignite,2035-2040,1.6502072739911182e-06,0.0008022999748710636,0.17132559445038875,1.614023237713017,0.0012041015962715004
Bulgaria,Lignite,2040-2045,6.440892516055981e-07,0.0008028677728489405,0.01935249972143398,0.43644885719732696,0.00013610848554956956
Bulgaria,Lignite,2045-2050,2.1342801238675663e-06,0.0008049259381485991,0.023089459449161277,0.9438004975467718,0.00016280727012211129
Bulgaria,Lignite,2050-2055,3.979276244040412e-05,0.0008446424975467866,0.028251431960301186,10.256949547779188,0.00020903427403994363
Bulgaria,Lignite,2055-2060,6.761138368467458e-05,0.0009121776781862577,0.028828603963592603,7.656106629173771,0.0002303600470928232
CzechR,Lignite,2020-2025,0.005190771655811029,0.005190771655811029,0.7844619928644466,12850.034610790131,0.03567039655996703
CzechR,Lignite,2025-2030,1.550366716890199e-06,0.005192245819483077,0.7772340597934738,2.8696312522663705,0.03535177100804922
CzechR,Lignite,2030-2035,1.5509456672689251e-06,0.005193720576551401,0.7050996756714221,2.1116645267103213,0.03207991447991636
CzechR,Lignite,2035-2040,8.515245033175955e-07,0.005194495883567894,0.12834082813795844,0.8328531557812242,0.005839993314277358
CzechR,Lignite,2040-2045,1.570296608679072e-06,0.0051959899732014056,0.0033240349115555537,1.064067066187419,0.00015129967214208272
CzechR,Lignite,2045-2050,3.548883505897136e-06,0.0051994626575950515,0.003666624922988501,1.5693525798908128,0.00016700483925041794
CzechR,Lignite,2050-2055,3.913650387975662e-06,0.005203300104948648,0.005466057765020225,1.0087792883751634,0.0002491478811352932
CzechR,Lignite,2055-2060,3.2849870657583104e-06,0.0052065088889732365,0.006010453847879641,0.37198190423372557,0.0002741308969391596
Germany,Lignite,2020-2025,25446.983060096485,25446.983060096485,0.7999999968196132,62995376168.4666,178332.4565761981
Germany,Lignite,2025-2030,1.7400256309720564e-06,25446.98306176031,0.7988403358922169,3.220677969917718,178073.95010934127
Germany,Lignite,2030-2035,1.3869444945383384e-06,25446.983063071053,0.7279386102268488,1.8883714313410283,162268.85141208774
Germany,Lignite,2035-2040,1.3854607725302925e-06,25446.98306438031,0.3201248392137648,1.3550818233853914,71360.81153077076
Germany,Lignite,2040-2045,4.315039251065247e-07,25446.98306473561,7.83679916844449e-10,0.2923964256808082,0.0001746944566517198
Germany,Lignite,2045-2050,1.3787906005708052e-06,25446.9830660382,1.1002136793952722e-09,0.6097153041342219,0.000245254761288893
Germany,Lignite,2050-2055,8.195972944931099e-06,25446.98307415797,1.2087469801858526e-09,2.11258721022505,0.0002694485241645868
Germany,Lignite,2055-2060,1.7101607015457008e-05,25446.98309118337,0.0007639839013891818,1.9365337566703764,170.30390828434045
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Lignite,2020-2025,0.027343242101920285,0.027343242101920285,0.7977545099193455,67689.6674866333,0.19108358559498148
Hungary,Lignite,2025-2030,2.2111258944940677e-07,0.027343387030576396,0.7271509807984423,0.4092654918613676,0.17417307131128357
Hungary,Lignite,2030-2035,9.988057564456613e-07,0.027344309613434998,0.6902056935754031,1.3599075257577404,0.16532921607503404
Hungary,Lignite,2035-2040,1.4172428713191702e-06,0.02734565065401095,0.1515388185616736,1.3861670372230899,0.03630080571388355
Hungary,Lignite,2040-2045,1.6687338675021753e-06,0.027347243183612174,0.00077920847135967,1.1307702894004787,0.00018666862315935116
Hungary,Lignite,2045-2050,2.9044038949524763e-06,0.027350071385675828,0.0007421232013206351,1.284357104992194,0.0001778027933898307
Hungary,Lignite,2050-2055,3.7564154203598494e-06,0.02735375159805151,0.001005189675181067,0.9682505331172839,0.00024086240807034168
Hungary,Lignite,2055-2060,3.36267133810341e-06,0.027357038066350054,0.001832689986143008,0.3807786340160606,0.00043919985470105974
Ireland,Lignite,2020-2025,2524.6449176992887,2524.6449176992887,0.7780083994107589,6249894374.774306,17206.347775137667
Ireland,Lignite,2025-2030,5.607030866416455e-07,2524.6449181837925,0.6451070465669589,1.0378261369648834,14267.116146766477
Ireland,Lignite,2030-2035,1.702009142442964e-06,2524.6449198095956,0.6152944541934051,2.317342513076101,13607.784157385651
Ireland,Lignite,2035-2040,1.6405220604812346e-06,2524.644921373914,0.19805754359375904,1.6045503915357262,4380.218750986285
Ireland,Lignite,2040-2045,1.7771510505533903e-06,2524.6449230748617,4.601557883562315e-05,1.2042361258902192,1.0176754580098328
Ireland,Lignite,2045-2050,3.5546381461530312e-06,2524.644926553297,0.00034719302212207867,1.5718973406632997,7.678482532076463
Ireland,Lignite,2050-2055,4.4388388579825646e-06,2524.644930915933,1.1491313355267996e-08,1.1441514342020276,0.0002541406174646292
Ireland,Lignite,2055-2060,3.739119006231169e-06,2524.6449345788496,0.0008836996851567532,0.4234064184278036,19.543804700262502
