Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,4.4439348130254075e-06,3503.000004443935,1.2008036719635129e-05,124704.00001200804,5.926975409238359,1925.5741373134476,481.3935336395819
Austria,HydroPumpStorage,2025-2030,6.70459156213965e-07,3503.0000050860094,5.551421404726878e-06,124704.00001750271,1.0083052198922475,2356.827707295357,589.2069290457011
Austria,HydroPumpStorage,2030-2035,1186.0216911775974,4689.021696237063,8.737933450861518e-06,124704.00002618386,764520157.5240439,7312.826707022033,1828.2066767554143
Austria,HydroPumpStorage,2035-2040,565.4781734643703,5254.499869384891,6.518815455315602e-06,124704.00003264593,285604903.8645384,9583.411094700377,2395.8527736724213
Austria,HydroPumpStorage,2040-2045,3.921804874834437e-07,5254.499869162214,1.3031710089265572e-06,124704.00003389228,0.1828311227034979,11069.278800598973,2767.31970014556
Austria,HydroPumpStorage,2045-2050,8.801951099438945e-06,5254.499875064556,1.8243595008532806e-05,124704.00004012785,2.4265531871550685,10351.630472263332,2587.9076180515317
Austria,HydroPumpStorage,2050-2055,6.178618922707375e-07,5254.499874343342,1.1442642365216732e-05,124704.00004601911,0.2345468734223187,9783.016809190194,2445.7542023195747
Austria,HydroPumpStorage,2055-2060,1186.0213831306755,5254.49956629445,5.320447189517497e-06,124704.00004260159,69352032.86068626,10650.117239088951,2662.529309817111
Austria,Li-Ion_BESS,2020-2025,0.0006090277735039199,0.0006090277735039199,0.0012180555470078399,0.0012180555470078399,359.5191789979373,0.0017540354174888115,0.00019489075889188577
Austria,Li-Ion_BESS,2025-2030,0.007458707502756714,0.008067706891971485,0.014917415005483523,0.01613541378394297,2805.7365947483804,0.006036629856828929,0.0006707345011264819
Austria,Li-Ion_BESS,2030-2035,4.069246583695383e-06,0.008071747754313172,8.138493203531032e-06,0.016143495508626343,1.181356508578968,0.010574320601425487,0.0011749223833713925
Austria,Li-Ion_BESS,2035-2040,330.5416201814073,330.5490829074487,661.0832396759155,661.0981658148974,75187669.69210458,241.0472411243062,26.78302678938744
Austria,Li-Ion_BESS,2040-2045,3157.6956044085464,3488.237228558054,6315.391208997551,6976.474457116108,562787238.4463623,2601.442346869914,289.0491496499568
Austria,Li-Ion_BESS,2045-2050,10843.204049181626,14331.44127258503,21686.408095562943,28662.88254517006,1514206525.5823371,10596.73797481726,1177.415330523409
Austria,Li-Ion_BESS,2050-2055,4426.45865003928,18427.358303441793,8852.917300519632,36854.71660688359,360304132.01491016,12513.525751130128,1390.3917503531313
Austria,Li-Ion_BESS,2055-2060,8.075385803055947e-06,15269.662706381861,1.683346435151007e-05,30539.325412763723,0.2995237214552667,10175.874843958178,1130.6527604373491
BosniaH,HydroPumpStorage,2020-2025,2.334627424716018e-08,440.0000000233463,3.7117069950909354e-07,2199.340000371171,0.06348651140797294,20.93251347377038,5.233128360767528
BosniaH,HydroPumpStorage,2025-2030,2.293339821148771e-07,440.0000002242943,8.088686604144896e-07,2199.3400011232707,0.25521945951024566,291.2102681782849,72.80256703692655
BosniaH,HydroPumpStorage,2030-2035,2.6817606166246215e-07,440.00000046408826,5.090904303672582e-05,2199.340051975545,3.4545109862226946,539.8100890908286,134.9525222652569
BosniaH,HydroPumpStorage,2035-2040,8.318511098448414e-08,440.0000005188861,219.9338324062123,2419.273883707566,11108153.09480063,563.2016115947662,140.80040289153337
BosniaH,HydroPumpStorage,2040-2045,7.806046060186944e-08,440.00000056856476,2.5479236443534656e-06,2419.273886486088,0.1164710747961969,600.6538480406391,150.1634620025958
BosniaH,HydroPumpStorage,2045-2050,1.19874984585051e-07,440.00000066509386,1.7658896510810741e-06,2419.2738872714276,0.06769852388699521,661.0416182342703,165.26040455146952
BosniaH,HydroPumpStorage,2050-2055,1.558792062053088e-07,440.00000059163875,7.173795266410409e-06,2419.273894575781,0.11623464525675634,638.726889174782,159.6817222860039
BosniaH,HydroPumpStorage,2055-2060,3.7317055923712345e-07,440.0000006966332,1.2749137446246287e-05,2419.2738569667713,0.09637094100750669,621.6422757897064,155.4105689400143
BosniaH,Li-Ion_BESS,2020-2025,0.0006041122692298533,0.0006041122692298533,0.0012082245384597067,0.0012082245384597067,356.61747543390123,0.0017255874987791746,0.0001917302197589637
BosniaH,Li-Ion_BESS,2025-2030,0.0008850939385763253,0.0014891778235542631,0.0017701878771314832,0.0029783556471085263,332.9451452968608,0.0027237895624241774,0.00030264159151075583
BosniaH,Li-Ion_BESS,2030-2035,0.009619796438691054,0.011108945877952104,0.01923959287730907,0.022217891755904207,2792.7550852002337,0.012971764990027244,0.0014413055453930872
BosniaH,Li-Ion_BESS,2035-2040,538.6620473082274,538.6725513943838,1077.3240946170288,1077.3451027887677,122528425.02422032,347.5057896893817,38.6117544082139
BosniaH,Li-Ion_BESS,2040-2045,8.654603830754973e-05,538.6717535947768,0.0001730921984635456,1077.3435071895535,15.424867437889839,380.99229500542504,42.332477221108064
BosniaH,Li-Ion_BESS,2045-2050,1.92226549700314e-05,538.6621530221079,3.8447981152202405e-05,1077.3243060442157,2.6845249248025405,383.44313747018543,42.604793050617836
