Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00034707997192249136,40897.5169950205,8.486578096287611e-07
Austria,Hydrorun-of-the-river,2025-2030,147.49007084048586,41439.81963549576,0.3559138821978644
Austria,Hydrorun-of-the-river,2030-2035,12535.36410275569,53201.03217141159,23.56225733058571
Austria,Hydrorun-of-the-river,2035-2040,12442.465314989118,54156.3969536061,22.97506114678963
Austria,Hydrorun-of-the-river,2040-2045,14851.286506237248,55557.172296661185,26.731537787659803
Austria,Hydrorun-of-the-river,2045-2050,15484.471481390614,55497.302900897615,27.90130451752128
Austria,Hydrorun-of-the-river,2050-2055,14231.684029297641,54669.25222510606,26.03233710001606
Austria,Hydrorun-of-the-river,2055-2060,11240.865811217049,53212.27810100499,21.124571644687297
Belgium,Hydrorun-of-the-river,2020-2025,410.68236571263094,881.4823656620315,46.589969545697116
Belgium,Hydrorun-of-the-river,2025-2030,45.78731998948198,516.5873200215005,8.863423126137958
Belgium,Hydrorun-of-the-river,2030-2035,258.1169739303356,728.9169738920958,35.41102528482833
Belgium,Hydrorun-of-the-river,2035-2040,226.0761406320121,696.8761406435506,32.44136618355674
Belgium,Hydrorun-of-the-river,2040-2045,546.1668130975297,1016.966813122708,53.70547062597497
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841386987332,1879.9841386542682,74.95723552792613
Belgium,Hydrorun-of-the-river,2050-2055,818.1151653053237,1288.9151653010463,63.47315846146011
Belgium,Hydrorun-of-the-river,2055-2060,515.7963150443551,986.5963140400477,52.28038131748159
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.4981695929496,6836.323336996808,41.90115107766862
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.327687127633,5523.441236174871,52.21975873006854
Bulgaria,Hydrorun-of-the-river,2030-2035,4634.75586788829,7434.066967398047,62.344822668586644
Bulgaria,Hydrorun-of-the-river,2035-2040,4066.192693943025,5931.506879705053,68.55243998545643
Bulgaria,Hydrorun-of-the-river,2040-2045,4275.5711600479335,6112.502434696144,69.94796657713684
Bulgaria,Hydrorun-of-the-river,2045-2050,5436.0852841315545,7066.370593240877,76.92895825943911
Bulgaria,Hydrorun-of-the-river,2050-2055,4842.372108326477,6488.368388368894,74.63158406675792
Bulgaria,Hydrorun-of-the-river,2055-2060,4245.26666535452,5667.7636264277335,74.90197095658024
Switzerland,Hydrorun-of-the-river,2020-2025,0.00022534990238401906,1347.1248979354932,1.67282115213945e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00016156252096166107,19731.60435138584,8.188007324924586e-07
Switzerland,Hydrorun-of-the-river,2030-2035,6.457609683570901,19379.38867031454,0.03332205052196876
Switzerland,Hydrorun-of-the-river,2035-2040,0.001517842491039811,17539.123241614652,8.654038574964014e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.005292582257428263,19918.021889707925,2.6571826694110903e-05
Switzerland,Hydrorun-of-the-river,2045-2050,168.7387963253557,13012.330523269638,1.2967607610612424
Switzerland,Hydrorun-of-the-river,2050-2055,55.3699463556586,19271.65691109584,0.2873128481432171
Switzerland,Hydrorun-of-the-river,2055-2060,13.281717573388043,17078.512198913337,0.07776858674043706
CzechR,Hydrorun-of-the-river,2020-2025,85.05706040274957,1340.1125369456836,6.347008781561532
CzechR,Hydrorun-of-the-river,2025-2030,151.37564268519228,1372.6125264284822,11.028286553603696
CzechR,Hydrorun-of-the-river,2030-2035,291.33614644762747,1438.6247287017998,20.25101756109296
