BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1649.9440088963352,49.49832026689001
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3862.167821959745,115.86503465879251
Switzerland,Austria,2030-2035,300.9904905506362,1500.9904905506362,72061960.74377277,6599.332177870078,197.97996533610203
Switzerland,Austria,2035-2040,699.0070681228743,2199.997558433878,120220301.46152261,9750.422360640276,292.5126708192081
Switzerland,Austria,2040-2045,1000.0016209436577,3199.999176520059,119155192.40001807,16036.411304547382,481.09233913642265
Switzerland,Austria,2045-2050,2.9329148589154273e-06,3199.9991806200837,0.22806214112100895,15177.207257683454,455.31621773050506
Switzerland,Austria,2050-2055,3.2696520321130063e-06,3199.9991818095223,0.14819741403364692,14623.098622917329,438.6929586875209
Switzerland,Austria,2055-2060,9.781633351360845e-06,3199.999194403906,0.19477108735052376,16692.950277582204,500.7885083274674
CzechR,Austria,2020-2025,0.0,900.0,0.0,4567.902693924068,137.0370808177225
CzechR,Austria,2025-2030,0.0,900.0,0.0,3421.814320647946,102.65442961943859
CzechR,Austria,2030-2035,999.9989299853889,1899.998929985389,87917296.93597226,8320.721822464131,249.62165467392364
CzechR,Austria,2035-2040,0.0005546641091946796,1899.9994844100677,35.030618234044844,8081.987739415643,242.45963218246916
CzechR,Austria,2040-2045,4.24308132946221e-06,1899.9994884137177,0.18565861924276567,7455.206334562677,223.65619003688053
CzechR,Austria,2045-2050,0.00011030997387132298,1899.9995984842606,3.1498510325359095,11402.28670147116,342.068601044135
CzechR,Austria,2050-2055,1.723721032547075e-06,1899.9995999685502,0.028689802734522575,7794.59040144927,233.8377120434779
CzechR,Austria,2055-2060,6.0098408237895635e-06,1899.9996057389603,0.04394379601639824,11333.822553228596,340.0146765968576
Germany,Austria,2020-2025,0.0,5000.0,0.0,15218.033082275235,456.54099246825666
Germany,Austria,2025-2030,1999.9917936039446,6999.991793603945,891256.2976148475,18332.869875904198,549.9860962771246
Germany,Austria,2030-2035,500.00789620181996,7499.999695439164,149747.69533916892,34799.94518372063,1043.998355511621
Germany,Austria,2035-2040,1.8144276699061688e-06,7499.999691141033,0.0003903605220069367,36543.44963304976,1096.3034889914923
Germany,Austria,2040-2045,699.9998974871942,8199.999587605216,104337.45257452538,41002.19254827348,1230.0657764482057
Germany,Austria,2045-2050,1.4788221804085171e-06,8199.999590433605,0.00014384662665241523,38741.808562169375,1162.2542568650815
Germany,Austria,2050-2055,9.182588616433527e-07,8199.999586273678,5.2063600899491054e-05,31828.509750668698,954.8552925200631
Germany,Austria,2055-2060,1.7406455908717361e-06,8199.999591808171,4.3356423282654664e-05,40295.80427418013,1208.8741282254082
Hungary,Austria,2020-2025,0.0,800.0,0.0,3728.3392951358114,111.85017885407461
Hungary,Austria,2025-2030,0.0,800.0,0.0,4114.900956668474,123.44702870005405
Hungary,Austria,2030-2035,1999.9991603736125,2799.9991603736125,149304996.5230039,10538.37185480805,316.151155644243
Hungary,Austria,2035-2040,0.00048145852322142803,2799.9996415927044,25.81941233679683,14502.02921930311,435.06087657909393
Hungary,Austria,2040-2045,1.5056012350237887e-06,2799.9996428588747,0.055938840367452385,15257.909693014526,457.73729079043704
Hungary,Austria,2045-2050,1.6014295822613702e-06,2799.999644220874,0.038828696977768015,15047.359705879066,451.42079117637206
Hungary,Austria,2050-2055,1.220566496705318e-06,2799.99964520201,0.017250105789481083,15337.548518752066,460.12645556256285
Hungary,Austria,2055-2060,2.7398983547170125e-06,2799.999647702476,0.0170113503441825,15851.78336751116,475.55350102533504
Italy,Austria,2020-2025,0.0,405.0,0.0,2197.982708853203,65.93948126559609
Italy,Austria,2025-2030,389.99676026240365,794.9967602624037,155138454.41666132,4355.0069592735,130.65020877820552
Italy,Austria,2030-2035,500.0008891783667,1294.9976492013375,133671285.36824872,6494.750183420742,194.8425055026231
Italy,Austria,2035-2040,0.00198682404672665,1294.999635785959,381.5660275814745,7855.908598655485,235.67725795966484
Italy,Austria,2040-2045,1000.0000369706462,2294.9996728720475,133053508.78646809,13721.884995264956,411.6565498579495
Italy,Austria,2045-2050,1.920486372278619e-06,2294.999674372653,0.1667550591814831,12424.783278053217,372.74349834159716
