Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00028128055408174545,40897.51691052639,6.877692714135125e-07
Austria,Hydrorun-of-the-river,2025-2030,163.56515114766688,41455.89471576779,0.3945522157201319
Austria,Hydrorun-of-the-river,2030-2035,13041.987319318794,53708.59452227899,24.282868385075346
Austria,Hydrorun-of-the-river,2035-2040,12514.074396933627,54228.006030181095,23.07677400118456
Austria,Hydrorun-of-the-river,2040-2045,14933.809924857294,55557.1723101204,26.88007561201405
Austria,Hydrorun-of-the-river,2045-2050,15368.369031399932,55497.3029140059,27.69210074084772
Austria,Hydrorun-of-the-river,2050-2055,14231.684058977766,54669.25223850881,26.032337147924302
Austria,Hydrorun-of-the-river,2055-2060,11240.865864354228,53212.278114713205,21.124571739104187
Belgium,Hydrorun-of-the-river,2020-2025,410.68236440065556,881.4823643416056,46.58996946664966
Belgium,Hydrorun-of-the-river,2025-2030,45.787319222289135,516.5873192139932,8.863422991481139
Belgium,Hydrorun-of-the-river,2030-2035,258.11697293612355,728.9169728892755,35.41102519714989
Belgium,Hydrorun-of-the-river,2035-2040,248.75948203116835,719.5594820042844,34.57107970257936
Belgium,Hydrorun-of-the-river,2040-2045,579.2691478499302,1050.0691478367014,55.16485738518371
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841727825897,1879.9841727301498,74.957235982266
Belgium,Hydrorun-of-the-river,2050-2055,818.1151890882326,1288.9151890530857,63.4731591369692
Belgium,Hydrorun-of-the-river,2055-2060,515.7963334437653,986.5963326057008,52.28038219861359
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.495858872272,6836.323336996808,41.901117277033926
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3265316598026,5523.441236174871,52.21973781072169
Bulgaria,Hydrorun-of-the-river,2030-2035,4635.341808000529,7434.066967398047,62.35270449309548
Bulgaria,Hydrorun-of-the-river,2035-2040,4122.585435711921,5931.506879705053,69.50317211664296
Bulgaria,Hydrorun-of-the-river,2040-2045,4211.1070371400865,6112.502434696144,68.8933392195765
Bulgaria,Hydrorun-of-the-river,2045-2050,5441.386018099783,7066.370593240877,77.00397178863753
Bulgaria,Hydrorun-of-the-river,2050-2055,4839.116526304185,6488.368388368894,74.58140840120649
Bulgaria,Hydrorun-of-the-river,2055-2060,4224.746062511953,5667.7636264277335,74.5399127587598
Switzerland,Hydrorun-of-the-river,2020-2025,0.0001775694281954581,1347.1248828892278,1.3181363543268422e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00013269839226762487,19731.604375024082,6.725169922603565e-07
Switzerland,Hydrorun-of-the-river,2030-2035,4.207120620038013,19379.388688973002,0.021709253514440793
Switzerland,Hydrorun-of-the-river,2035-2040,0.0011962909908332531,17539.123262207795,6.820700059796867e-06
Switzerland,Hydrorun-of-the-river,2040-2045,8.089263412065646,19918.021911929754,0.04061278498353615
Switzerland,Hydrorun-of-the-river,2045-2050,175.6666785069812,13012.330538081354,1.3500016618305406
Switzerland,Hydrorun-of-the-river,2050-2055,237.63835117558494,19271.656930569912,1.2330976627060442
Switzerland,Hydrorun-of-the-river,2055-2060,17.61827883732748,17078.512217242434,0.10316050141381812
CzechR,Hydrorun-of-the-river,2020-2025,85.0570673115947,1340.1125369022623,6.347009297309343
CzechR,Hydrorun-of-the-river,2025-2030,146.7542331564297,1372.612526430411,10.691599437612293
CzechR,Hydrorun-of-the-river,2030-2035,296.1319989238241,1443.4205880231773,20.515988297588912
CzechR,Hydrorun-of-the-river,2035-2040,419.1390506752489,1951.995821668323,21.47233339449574
CzechR,Hydrorun-of-the-river,2040-2045,300.51203299339596,1769.2864011948766,16.9849286577033
CzechR,Hydrorun-of-the-river,2045-2050,557.9835420409654,1766.420671235974,31.588372527963077
CzechR,Hydrorun-of-the-river,2050-2055,279.6803347700961,1606.0631414248162,17.41403108983487
CzechR,Hydrorun-of-the-river,2055-2060,263.2189250241019,1735.3241705652688,15.168285527790484
Germany,Hydrorun-of-the-river,2020-2025,0.00032595706982298527,22743.059991152255,1.4332155389371197e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0001284245143251962,21792.578347976327,5.893039009637049e-07
Germany,Hydrorun-of-the-river,2030-2035,441.74561639934166,23254.42769121306,1.8996193854569041
Germany,Hydrorun-of-the-river,2035-2040,0.0013113126777690976,22720.140513880615,5.771587006550271e-06
Germany,Hydrorun-of-the-river,2040-2045,493.3869337531384,23008.454629669795,2.144372326148787
Germany,Hydrorun-of-the-river,2045-2050,877.0426629904632,23652.132056921146,3.7080913504109274
Germany,Hydrorun-of-the-river,2050-2055,1036.3880508406419,23733.124650543134,4.366841981832865
Germany,Hydrorun-of-the-river,2055-2060,34.476824073820225,22085.227471604085,0.15610807775536178
Denmark,Hydrorun-of-the-river,2020-2025,0.0001808843107347145,21.24842209296256,0.0008512834973973105
Denmark,Hydrorun-of-the-river,2025-2030,0.0005039959429780945,26.925253617554343,0.0018718335958384674
Denmark,Hydrorun-of-the-river,2030-2035,0.0033179215263705823,23.140871261413125,0.014337928286663694
Denmark,Hydrorun-of-the-river,2035-2040,0.003940835557294211,20.717546992648334,0.019021728579607544
Denmark,Hydrorun-of-the-river,2040-2045,0.009195081819420206,18.941990229670992,0.04854337748003325
Denmark,Hydrorun-of-the-river,2045-2050,0.013937775493088304,30.282954830515905,0.04602515035634275
Denmark,Hydrorun-of-the-river,2050-2055,0.014078261888253724,22.954053680093278,0.06133235586384894
Denmark,Hydrorun-of-the-river,2055-2060,0.03178376532055299,24.855730177729644,0.1278729898228086
Estonia,Hydrorun-of-the-river,2020-2025,0.000335392490257084,32.10033526024594,0.0010448255058334065
Estonia,Hydrorun-of-the-river,2025-2030,2.347113596265592,34.447113525433984,6.813672775608916
Estonia,Hydrorun-of-the-river,2030-2035,12.509218385391518,44.60921829888961,28.041778947072228
Estonia,Hydrorun-of-the-river,2035-2040,21.99332654201309,54.093326526679185,40.65811432610978
Estonia,Hydrorun-of-the-river,2040-2045,27.135910772818836,59.23591037415253,45.80989909907679
Estonia,Hydrorun-of-the-river,2045-2050,32.82502056967772,64.92502002457022,50.55835263085853
Estonia,Hydrorun-of-the-river,2050-2055,31.806343305131623,63.90634281698208,49.77024486633524
Estonia,Hydrorun-of-the-river,2055-2060,36.63281085494647,68.7328101405133,53.29741469911752
Spain,Hydrorun-of-the-river,2020-2025,616.3488481777345,17723.686042479956,3.4775432531386286
Spain,Hydrorun-of-the-river,2025-2030,3092.6116485343723,27567.254849988276,11.218424414630054
Spain,Hydrorun-of-the-river,2030-2035,13122.622919836853,42943.56837289511,30.557830699787676
Spain,Hydrorun-of-the-river,2035-2040,14196.27074031516,38416.66680438813,36.953416111294686
Spain,Hydrorun-of-the-river,2040-2045,17587.48524735496,42229.11776457157,41.64776859750102
Spain,Hydrorun-of-the-river,2045-2050,27546.50106539362,52142.11802298108,52.82965500797799
Spain,Hydrorun-of-the-river,2050-2055,18156.756641547694,45822.51583451581,39.62409376892204
Spain,Hydrorun-of-the-river,2055-2060,4432.764998126935,31955.233078483634,13.871796795347556
Finland,Hydrorun-of-the-river,2020-2025,1739.3202184250658,17789.320211014852,9.777328182265826
Finland,Hydrorun-of-the-river,2025-2030,1163.5027902728032,17213.502768870043,6.759244796921596
Finland,Hydrorun-of-the-river,2030-2035,2651.3989323346204,18701.398930877494,14.17754330643656
Finland,Hydrorun-of-the-river,2035-2040,449.4579100167866,16499.4578940529,2.724076832723033
Finland,Hydrorun-of-the-river,2040-2045,0.005630855631789394,14737.363809608827,3.820802488514297e-05
Finland,Hydrorun-of-the-river,2045-2050,1445.0319434312285,17495.03194286483,8.259670220382594
Finland,Hydrorun-of-the-river,2050-2055,386.56632219588374,16436.56630404164,2.3518678721895196
Finland,Hydrorun-of-the-river,2055-2060,1548.379287173177,17598.37926406817,8.798419808661643
France,Hydrorun-of-the-river,2020-2025,5033.781023921838,63900.61669896486,7.877515560821467
France,Hydrorun-of-the-river,2025-2030,13046.919982642923,74158.17855520465,17.59336628384227
France,Hydrorun-of-the-river,2030-2035,22765.33445676623,84637.74159257849,26.89737938229961
France,Hydrorun-of-the-river,2035-2040,11560.633975099703,74015.89677607066,15.619123024443656
France,Hydrorun-of-the-river,2040-2045,23086.250261872814,84388.62573884445,27.357063893085904
France,Hydrorun-of-the-river,2045-2050,32062.990285317894,93049.869502076,34.45785626233742
France,Hydrorun-of-the-river,2050-2055,21281.966230095044,80749.43330619458,26.355561096504225
France,Hydrorun-of-the-river,2055-2060,6043.460115758691,71551.13809791462,8.446350786885429
Greece,Hydrorun-of-the-river,2020-2025,0.0001373234399732,772.066692190162,1.7786473806252074e-05
Greece,Hydrorun-of-the-river,2025-2030,0.0018960514363175235,604.5681327792809,0.0003136208035976227
Greece,Hydrorun-of-the-river,2030-2035,0.004800356695788646,670.4650658139166,0.0007159741708482922
Greece,Hydrorun-of-the-river,2035-2040,797.3600648707533,2839.2860037525506,28.083118918521066
Greece,Hydrorun-of-the-river,2040-2045,509.5493311530301,3679.3087228662225,13.849050719399417
Greece,Hydrorun-of-the-river,2045-2050,886.0756438830814,4060.7448879894246,21.82051983870869
Greece,Hydrorun-of-the-river,2050-2055,0.03623042535927803,3233.7270723806214,0.0011203921836423173
Greece,Hydrorun-of-the-river,2055-2060,0.03542228464645814,2510.943382466717,0.0014107161831606002
Hungary,Hydrorun-of-the-river,2020-2025,0.00035870400179148384,267.5003585732783,0.00013409477419194617
Hungary,Hydrorun-of-the-river,2025-2030,47.46986189456289,314.9698618237345,15.0712393940498
Hungary,Hydrorun-of-the-river,2030-2035,76.44298419636084,343.9429840842501,22.225481470392737
Hungary,Hydrorun-of-the-river,2035-2040,152.41811622505207,419.91811617077514,36.29710421044698
Hungary,Hydrorun-of-the-river,2040-2045,415.5179061260178,683.017906084317,60.83558021313764
Hungary,Hydrorun-of-the-river,2045-2050,666.9832653422116,934.4832652770449,71.37455427245901
Hungary,Hydrorun-of-the-river,2050-2055,623.8596667887791,891.3596667273196,69.98966747949426
Hungary,Hydrorun-of-the-river,2055-2060,512.4171224454942,779.9171223480489,65.70148388367103
Ireland,Hydrorun-of-the-river,2020-2025,0.00019093861633714385,751.3041427867827,2.541429036034632e-05
Ireland,Hydrorun-of-the-river,2025-2030,0.0024160114693338457,728.9780497636914,0.0003314244468838301
Ireland,Hydrorun-of-the-river,2030-2035,0.004334013638195142,691.0101229865837,0.0006271997318162717
Ireland,Hydrorun-of-the-river,2035-2040,0.008618126496034498,510.04883257349684,0.0016896669388597506
Ireland,Hydrorun-of-the-river,2040-2045,0.014651053230969905,700.3680842552865,0.0020919076069190992
Ireland,Hydrorun-of-the-river,2045-2050,23.120312388079995,825.6202666465724,2.8003566920647343
Ireland,Hydrorun-of-the-river,2050-2055,0.023231532248675503,685.4053861832045,0.0033894586644619483
Ireland,Hydrorun-of-the-river,2055-2060,0.042133370609423855,606.9583117023622,0.0069417239696826245
Italy,Hydrorun-of-the-river,2020-2025,6444.546714004413,44245.75758533795,14.565343810815415
Italy,Hydrorun-of-the-river,2025-2030,7418.1845718692775,45065.462520089524,16.460908547343458
Italy,Hydrorun-of-the-river,2030-2035,5970.2275968228205,43319.87426273764,13.781728821771344
Italy,Hydrorun-of-the-river,2035-2040,3908.7174994531315,41555.57367556605,9.406000576407369
Italy,Hydrorun-of-the-river,2040-2045,6688.492609199741,44033.78381100826,15.1894568904334
Italy,Hydrorun-of-the-river,2045-2050,5882.20499092651,43075.463107394266,13.655581545951573
Italy,Hydrorun-of-the-river,2050-2055,6324.676422521646,43316.88993738092,14.600947648052815
Italy,Hydrorun-of-the-river,2055-2060,1682.490797428386,40153.855172311705,4.190110240245515
Luxemb.,Hydrorun-of-the-river,2020-2025,15.347822242056985,124.50315898982707,12.327255281378866
Luxemb.,Hydrorun-of-the-river,2025-2030,0.000183667912937053,105.24589585374918,0.0001745131355927455
Luxemb.,Hydrorun-of-the-river,2030-2035,42.22416233945681,148.50445543483264,28.432926282124782
Luxemb.,Hydrorun-of-the-river,2035-2040,0.0011112702099196898,99.72990707736977,0.0011142798007999486
