Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.011096893478647521,0.011096893478647521
EnergyhubEU,2025-2030,0.001669580663418875,0.012766452343204065
EnergyhubEU,2030-2035,33440.65760010783,33440.67009876434
EnergyhubEU,2035-2040,15919.396310855172,49360.06636283118
EnergyhubEU,2040-2045,11567.777627817655,60927.84402325785
EnergyhubEU,2045-2050,3.928176176630419e-06,60927.84402065358
EnergyhubEU,2050-2055,6.637178366537645e-07,60927.844018319534
EnergyhubEU,2055-2060,5.363991599974564e-07,60927.844019451964
EnergyhubNorth,2020-2025,0.010237668428008594,0.010237668428008594
EnergyhubNorth,2025-2030,0.0011227871130261597,0.011360433742185561
EnergyhubNorth,2030-2035,0.02818517186809536,0.03954558381142604
EnergyhubNorth,2035-2040,86.32966389240244,86.36920945444018
EnergyhubNorth,2040-2045,50286.00864179489,50372.378181232896
EnergyhubNorth,2045-2050,10555.460545118533,60927.83878605665
EnergyhubNorth,2050-2055,8.080957011020691e-07,60927.83873583991
EnergyhubNorth,2055-2060,8.744453766958869e-07,60927.838660696696
EnergyhubCentral,2020-2025,0.011880680332246315,0.011880680332246315
EnergyhubCentral,2025-2030,0.0018908494937670923,0.013771508027155481
EnergyhubCentral,2030-2035,44455.148689510235,44455.16259120036
EnergyhubCentral,2035-2040,3981.2805370649135,48436.443128029445
EnergyhubCentral,2040-2045,12491.403757316308,60927.846858057084
EnergyhubCentral,2045-2050,2.186783312307985e-06,60927.846861841055
EnergyhubCentral,2050-2055,6.320907809264034e-07,60927.84686682779
EnergyhubCentral,2055-2060,5.242269579480399e-07,60927.84688910306
