Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058777624.319231,-1.647493958085504e-09,1100000000.0,3343798.430371795,0.3166391893429775,39.53499236090866,23144.81731845483,8693.657490863865,17679.05470376771
2020-2025,scenario2,1099999999.6215749,-0.014977881903005395,1100000000.0,3510932.2231022855,0.3133071018527589,46.23128794433933,13882.026355224936,8168.971268708514,16238.314940365744
2020-2025,scenario3,1072713362.2645538,-9.852020293098348e-10,1100000000.0,3396961.147010516,0.3157861735359091,39.501553344278236,27789.18786386556,6449.076900604239,17106.317638109173
2025-2030,scenario1,989999999.8623568,-0.31054396087742075,990000000.0,4469290.851408314,0.22151165202201017,43.19425987367287,54629.547549425326,13073.233381170185,22422.476568146696
2025-2030,scenario2,990000000.0144862,-12.86558760705078,990000000.0,4634081.927884468,0.2136345484220861,43.27725775115903,52301.322532459526,15458.890608498374,23031.155550397314
2025-2030,scenario3,989999999.9850125,-37.86950327103125,990000000.0,4547782.932244357,0.2176884901356685,57.03275839026578,59283.10987792546,9208.169166745804,21588.447765683886
2030-2035,scenario1,769999999.9993882,-33.461952950319635,770000000.0,5463936.885608257,0.1409240289776504,42.645938097846816,55435.095253450854,17666.29466822744,51915.121215934676
2030-2035,scenario2,735585810.966085,-1.1483282801992576e-08,770000000.0,5728534.262906478,0.12840733374487087,26.63627744243851,155677.72513848182,28421.191843694258,58019.92477944996
2030-2035,scenario3,678127640.6334854,-5.642078788203764e-09,770000000.0,5534290.470178896,0.12253199290630802,151.8891027315913,204415.27249932586,26740.104142656888,58682.93737923562
2035-2040,scenario1,330000000.0083396,-63.41087514276062,330000000.0,6686102.609145169,0.049356107630921374,184.38970413918005,104133.97821261796,38872.127028432806,64302.000137304116
2035-2040,scenario2,330000000.0094344,-35.663144211381926,330000000.0,6576842.1391893,0.050176056080631457,30.779165991858655,190567.21092156332,35913.66825450868,64646.8974274794
2035-2040,scenario3,330000000.0096827,-37.81783276243982,330000000.0,6791284.457666383,0.04859169161103422,173.98181226574306,184262.0468634775,35230.13475378843,67828.65666361456
2040-2045,scenario1,66000000.009619266,-50.53872159173927,66000000.0,7300652.700010684,0.009040287590933461,20.83659605766365,638645.2202284316,42973.98111324669,89993.46607659101
2040-2045,scenario2,66000000.00917639,-106.93880109301685,66000000.0,7459754.615375527,0.00884747601122806,30.177751030297294,335362.7871451172,49699.986107867306,89725.6232462096
2040-2045,scenario3,66000000.01297839,-288.65148374846524,66000000.0,7401528.69044328,0.008917076832818024,35.50173852801122,265952.75979232433,51543.61539007413,89519.70219264145
2045-2050,scenario1,55000000.00794251,-47.82395907668575,55000000.0,7950736.732826115,0.006917597935404493,11.527635009726753,663151.1600322358,56623.24659185746,95155.96891939154
2045-2050,scenario2,55000000.00795526,-47.823959601010166,55000000.0,8238017.747547597,0.006676363379325179,16.254017039848698,461115.1134299611,54618.47919999825,96874.11087187397
2045-2050,scenario3,55000000.00276884,-777.4816066569089,55000000.0,8023428.182079116,0.006854925195892481,63.83927465014586,522700.56550023047,61863.2238228156,93382.22267058789
2050-2055,scenario1,33000000.005948007,-47.671319434195425,33000000.0,8088225.033194855,0.004080005176724514,18.88024178193337,499632.5310017792,68436.9497366524,91542.47191265487
2050-2055,scenario2,33000000.00843942,-60.39477135927283,33000000.0,8176850.9405860575,0.0040357834878268556,23.639815714850894,477489.30394212133,54914.926739805516,93853.64000135475
2050-2055,scenario3,33000000.005915157,-44.854373755886556,33000000.0,7963598.268205008,0.004143855440030147,13.900985659300952,490814.8974086134,71219.90420769904,92636.99725830415
2055-2060,scenario1,22000000.005849686,-37.35172695464222,22000000.0,8373018.62367934,0.002627487289187772,47.80666223376558,458416.3721979474,63644.38059711303,98754.49568692043
2055-2060,scenario2,22000000.005942006,-37.35173538889916,22000000.0,7898170.050598596,0.00278545534788476,9.101567686996155,456414.6149357547,68473.01148227628,92139.3038817391
2055-2060,scenario3,22000000.00592929,-58.290242313283166,22000000.0,7963002.61937114,0.002762776939493969,12.128435946478705,492856.7001461259,58564.36728724677,98496.27387789516
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352105.31484951434
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223329.79693973865
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136438.44716672797
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4580.873793405311
Liginiteexisting,2040-2045,0.0,12263.0,0.0,7.335053970791358
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.1529486695908533
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28704.512893165123,28704.512893165123,71059566596.44508,200673.77079236964
Lignite,2025-2030,5.691877968052004e-05,28704.51294951246,105.3530801665502,197441.1581512131
Lignite,2030-2035,0.0005199533701407866,28704.51346889438,707.9339466502403,180126.32967029643
Lignite,2035-2040,1.2932336267784123e-05,28704.513481255373,12.648769389823178,76528.20626983004
Lignite,2040-2045,1.3929077736393096e-05,28704.513494612973,9.438645412428208,0.0013488759114042828
Lignite,2045-2050,1.5252583053597154e-05,28704.513509294226,6.744848210820755,5.283106118942129
Lignite,2050-2055,2.2339142416751255e-05,28704.513531061966,5.758118880347445,0.002184225527886493
Lignite,2055-2060,5.6561533098243314e-05,28704.513587052083,6.404855290779229,186.8854539873781
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359686.61371310416
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246976.51585458906
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135970.01792094886
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6638.78948435036
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,13.45611992974996
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,10.216687430480983
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.022222597400306816,0.022222597400306816,47583.83092703094,0.10883260843851252
Coal,2025-2030,0.0032204144409133367,0.025441697509860174,5155.794927826768,0.12093569065656949
Coal,2030-2035,0.0005536235847801639,0.025994006935957204,651.9812947743477,0.10460599211197034
Coal,2035-2040,5.598656896257045e-05,0.0260486792162197,47.36388869068526,0.020083456248266043
Coal,2040-2045,4.224432192119221e-05,0.02608960893245476,24.75984176022819,0.0033021240922310076
Coal,2045-2050,7.191997061049435e-05,0.026160215077680096,27.50872715326159,0.0038573029607507424
Coal,2050-2055,0.00022814108063687523,0.026387041916357545,50.863921099046614,0.005480605104583277
Coal,2055-2060,0.0011253600294783331,0.02751108770389433,110.22290365799041,0.005676304536896552
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187854.165976406
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116501.45627098727
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51144.17936501218
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10204.478936129935
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1166.3171016817691
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01513287231297714,0.01513287231297714,11118.892077797105,0.009787956870396713
GasOCGT,2025-2030,9698.601821740116,9698.616952726936,5583451930.919978,1613.315386198361
GasOCGT,2030-2035,82395.9995669318,92094.61654446738,37166638472.6987,10463.705978672364
