BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1662.1017921169398,49.86305376350819
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3902.6691290020262,117.08007387006073
Switzerland,Austria,2030-2035,406.6665823366636,1606.6665823366636,97362515.46863678,6873.228340815322,206.1968502244598
Switzerland,Austria,2035-2040,593.3331693895336,2199.9997516977455,102045738.51117566,9897.171135446368,296.9151340633911
Switzerland,Austria,2040-2045,1000.000149934919,3199.99990226947,119155017.1219729,16629.73096314574,498.8919288943702
Switzerland,Austria,2045-2050,2.3927318875772817e-07,3199.9999016572942,0.018605775607519043,14608.824228116051,438.2647268434817
Switzerland,Austria,2050-2055,2.949105637739893e-07,3199.9999021463977,0.013366860599617341,14478.100982186732,434.3430294656035
Switzerland,Austria,2055-2060,8.417871001698276e-07,3199.9999028941247,0.016761596241481658,16195.267536764779,485.8580261029445
CzechR,Austria,2020-2025,0.0,900.0,0.0,4579.5387972280605,137.386163916842
CzechR,Austria,2025-2030,0.0,900.0,0.0,3357.3654510105875,100.72096353031733
CzechR,Austria,2030-2035,999.999878044242,1899.999878044242,87917380.28683315,8316.60274069207,249.49808222076214
CzechR,Austria,2035-2040,6.476041013628611e-05,1899.999942776082,4.090037856349129,8100.2211862559825,243.00663558767926
CzechR,Austria,2040-2045,4.134432900921884e-07,1899.999943160955,0.018090464078714886,7953.06440236148,238.59193207084388
CzechR,Austria,2045-2050,9.822099866127515e-06,1899.9999529544841,0.28046558546992356,10952.883415100292,328.58650245300936
CzechR,Austria,2050-2055,1.7742632604335436e-07,1899.9999531033402,0.002953103314271885,7846.446238661893,235.39338715985673
CzechR,Austria,2055-2060,5.583150314073897e-07,1899.9999536330845,0.004082384637532688,10864.337302593869,325.9301190778168
Germany,Austria,2020-2025,0.0,5000.0,0.0,15114.936279636675,453.44808838910166
Germany,Austria,2025-2030,1999.9990147163353,6999.999014716335,891259.5155589984,17896.267994037124,536.8880398211148
Germany,Austria,2030-2035,500.000946710659,7499.999960286315,149745.6140314675,33925.74658845514,1017.7723976536529
Germany,Austria,2035-2040,1.8066758932725272e-07,7499.999961544722,3.886927853297585e-05,35985.69489387366,1079.5708468162143
Germany,Austria,2040-2045,699.9999857806,8199.999952543189,104337.46573496879,41231.862859867266,1236.95588579602
Germany,Austria,2045-2050,9.759267269512314e-08,8199.999947248814,9.492944411551026e-06,37337.06995718271,1120.112098715483
Germany,Austria,2050-2055,8.272302371064398e-08,8199.999947176635,4.6902444088177685e-06,32168.829236814665,965.0648771044441
Germany,Austria,2055-2060,1.5447063558885639e-07,8199.999947548447,3.847592121252594e-06,38784.035445074114,1163.5210633522283
Hungary,Austria,2020-2025,0.0,800.0,0.0,3649.8008556272157,109.49402566881678
Hungary,Austria,2025-2030,0.0,800.0,0.0,4129.356170839725,123.88068512519139
Hungary,Austria,2030-2035,1999.9999017883506,2799.9999017883506,149305051.87148958,10531.979359956444,315.95938079869285
Hungary,Austria,2035-2040,5.3809329819554175e-05,2799.9999555691106,2.8856593188585027,14505.933188399178,435.1779956519754
Hungary,Austria,2040-2045,1.4688777329324165e-07,2799.999955687428,0.005457442190562068,15529.70430669397,465.8911292008194
Hungary,Austria,2045-2050,1.484553567490829e-07,2799.999955807312,0.0035994889352529693,14699.6135793898,440.98840738169395
Hungary,Austria,2050-2055,1.1297333088637662e-07,2799.9999558917148,0.0015966372290575394,15908.88625426911,477.2665876280734
Hungary,Austria,2055-2060,2.613483418617664e-07,2799.999956124493,0.0016226471312804865,15632.109838720522,468.96329516161563
Italy,Austria,2020-2025,0.0,405.0,0.0,2203.8465654928514,66.11539696478582
Italy,Austria,2025-2030,389.9996991224109,794.9996991224109,155139623.47816578,4376.556599499809,131.29669798499447
Italy,Austria,2030-2035,500.0000495058855,1294.9997485996735,133671060.88844822,6470.094899924884,194.10284699774698
Italy,Austria,2035-2040,0.00020964923820810934,1294.9999582206217,40.262763650532946,7901.222231282665,237.03666693848012
Italy,Austria,2040-2045,1000.0000017514627,2294.999959859115,133053504.10043232,14427.210818988155,432.8163245696441
Italy,Austria,2045-2050,1.7009798262812136e-07,2294.999959571544,0.014769539408993103,11996.577696412862,359.8973308923859
Italy,Austria,2050-2055,2.467736989030878e-07,2294.9999604422405,0.0124897000309297,13455.265315553135,403.65795946659426
Italy,Austria,2055-2060,3.126018638202351e-07,2294.9999605871144,0.006950542760315147,14745.053725662408,442.3516117698734
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2003.7610707695785,60.11283212308729
Slovenia,Austria,2025-2030,0.0,950.0,0.0,4183.053872566212,125.4916161769864
Slovenia,Austria,2030-2035,999.9920622804345,1949.9920622804345,97341651.43714954,6192.316079278651,185.76948237835987
