Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999674870238,0.0,12404.159462271797
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7235078405959373,0.0,7363.69806441558
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6469138787358787,0.0,4423.720514058962
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.003554165038010655,0.0,16.956319922265475
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.283847528814542e-08,0.0,0.00017477784043472058
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.7465486922609496e-07,0.0,0.00014442979617730386
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2793320524588527,0.0,30236.946068770205
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4662447015858214,0.0,31058.301175916833
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.573796458210087,0.0,25680.89364951504
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.006214408389465653,0.0,194.04607313803072
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002694810389442607,0.0,5.834120051306369
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,3.769240712123773e-08,0.0,0.0002040051027611454
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999891304034,0.0,47632.49930967191
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.734912125019506,0.0,28722.62711383927
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6482288756615835,0.0,17021.80464817785
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.020763255647416053,0.0,380.386836394441
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.0666792920897538e-08,0.0,0.0001354896036812407
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.6318243784532933e-08,0.0,0.0001470835831377845
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499942860054503,0.0,125525.46365695997
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7439999774623783,0.0,76629.04914948359
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.633557949488102,0.0,43842.50300329005
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.047627555445416137,0.0,2299.429434005618
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.397181150342499e-09,0.0,0.00014718997543839338
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.3354449472785656e-08,0.0,0.00019544002889264502
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492965459348383,0.0,13134.239322520774
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6172278120056853,0.0,6657.992727367874
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5661410262750728,0.0,4103.089014965065
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07526078560909683,0.0,380.5466101019163
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022644498187403194,0.0,0.7938599480948513
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,2.199113364473904e-07,0.0,0.00019273865189327766
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999473945025,0.0,6615.989535950104
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6626507985316603,0.0,3597.202918217425
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6273399290478673,0.0,2288.0822048564146
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.036005496067365104,0.0,91.62000074104878
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,9.522475667912276e-08,0.0,0.00016800161011773618
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.1238897129290085e-07,0.0,0.00013778415401227492
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.67678981675422,0.0,1351.738765206867
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5633320199644046,0.0,692.3887857443106
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5275275485267505,0.0,435.63143799254556
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.02800170235533196,0.0,16.13285771545891
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.442194747005525e-07,0.0,0.0001375005344859841
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.025251423572848e-06,0.0,0.00020224970816367928
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999078841493,0.0,5413.679335085674
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.6992095122407088,0.0,3105.8843505454593
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6148916469919815,0.0,1835.122362743137
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.00814255962079075,0.0,16.95431237226245
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023938850633982022,0.0,0.3455927384004685
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,4.123627190902423e-07,0.0,0.00014882665367229746
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999902390194,0.0,49669.19935357312
