Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1059471857.9336123,-3.7684211064228974e-09,1100000000.0,3343879.4007920516,0.3168391353117208,39.08948353098125,22822.04782087415,8813.1814624068,17640.501097817374
2020-2025,scenario2,1099999997.3076499,-0.01497836708622886,1100000000.0,3510927.9280585786,0.31330748447347373,45.85401154553027,14026.030560976391,8183.874006399984,16219.11711028762
2020-2025,scenario3,1073530211.0206003,-2.7527718324982284e-09,1100000000.0,3396954.2814301606,0.3160272768135729,38.97592788967945,27369.058072091237,6472.913839855826,17075.615070915417
2025-2030,scenario1,989999999.9013706,-1.2178549023251062,990000000.0,4469294.22458798,0.22151148484583175,43.56141314439758,56215.13289241726,13056.952214073306,22442.131008581513
2025-2030,scenario2,990000000.0838196,-13.979019669195939,990000000.0,4634256.327908256,0.21362650877161823,43.73486138531345,52898.00829854137,15620.429614356155,23044.01654909072
2025-2030,scenario3,990000000.0259068,-37.8694114267119,990000000.0,4547747.095573008,0.21769020555025798,56.927702249967915,59892.96531578391,9152.810005723768,21607.970249427497
2030-2035,scenario1,769999999.9933324,-28.600219262549672,770000000.0,5474789.519358648,0.14064467634247402,39.03138303291099,51365.122840375596,18357.629061251257,62076.42062431259
2030-2035,scenario2,723442131.347751,-2.102831130817572e-07,770000000.0,5737517.815971117,0.1260897402939494,26.31973363644859,129601.00114735716,27309.122311140545,68115.54749064225
2030-2035,scenario3,671030597.302701,-9.893808999960938e-08,770000000.0,5543126.789978819,0.12105633205356836,149.28720220025303,175868.31713905546,25920.004031294455,68328.87880343499
2035-2040,scenario1,330000000.0712168,-61.28056362442296,330000000.0,6691898.215185951,0.04931336213726941,190.21464437847328,101605.3847028193,37871.2168521619,71098.51638363716
2035-2040,scenario2,330000000.0296176,-35.66311078937263,330000000.0,6582653.13326586,0.050131761973289585,30.702721222153357,185751.88622981423,35760.52427128139,70611.03555938699
2035-2040,scenario3,330000000.03106797,-37.81783121885605,330000000.0,6797691.94211181,0.04854588922847514,166.5812970811548,175990.12320175752,35256.35006228986,74209.92592210995
2040-2045,scenario1,66000000.031470776,-50.53877263132761,66000000.0,7306812.885624747,0.009032665960465144,20.6994252253171,621757.3860437324,42412.42843513292,96715.20441734932
2040-2045,scenario2,66000000.03195154,-103.70699489600091,66000000.0,7466650.768671228,0.00883930453917525,29.601822753843646,327847.5007518927,48558.061988454916,97763.70071708376
2040-2045,scenario3,66000000.033150345,-293.18072266201153,66000000.0,7407620.610280178,0.0089097435607808,34.380953574486156,252778.47742773272,50140.317120014726,97014.92049940667
2045-2050,scenario1,55000000.02588273,-47.8239595184972,55000000.0,7957639.800470244,0.006911597082169058,10.91767063604982,652039.6211442365,56760.28608078345,101921.99728189249
2045-2050,scenario2,55000000.025897935,-47.823964099761156,55000000.0,8243733.325512468,0.006671734498699173,15.837038888416814,452811.5435639736,54551.734707506504,102656.43357029773
2045-2050,scenario3,55000000.02586898,-774.4804144853699,55000000.0,8030456.1790741915,0.006848925988687654,62.70321527847649,513665.4368327575,62187.25656221033,100086.18723028242
2050-2055,scenario1,33000000.02963339,-49.023501309765706,33000000.0,8092376.589264104,0.00407791205285877,18.77950763031556,480609.43344815454,66148.72051843612,97982.25758047054
2050-2055,scenario2,33000000.019416604,-64.20918715064846,33000000.0,8181419.922355781,0.004033529672427971,23.485797950319387,452610.0463294678,54293.21538007474,99044.33356067172
2050-2055,scenario3,33000000.019051895,-44.85439328651609,33000000.0,7967454.6837936,0.004141849728518103,13.481300787759583,473073.2093643265,69067.34652508466,98645.97090583738
2055-2060,scenario1,22000000.01869906,-37.351732354404284,22000000.0,8376403.653587402,0.0026264254838383985,47.51281174676354,439402.657093056,62490.21587951595,103293.6908731951
2055-2060,scenario2,22000000.018864043,-37.35185586810745,22000000.0,7903955.056455486,0.0027834166391034103,8.419564158927203,426998.0277959693,67940.94505972014,98456.37673415529
2055-2060,scenario3,22000000.020027123,-56.10331902560811,22000000.0,7967202.063990342,0.002761320704976273,11.138239269463147,485624.11254239664,57557.54791598838,103702.53831066866
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,351720.0475273005
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,222829.94438142583
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137719.8813262382
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4929.415911794469
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.407679601278463
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.114901887557995
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28784.641801397524,28784.641801397524,71257930021.4589,201215.8982427492
Lignite,2025-2030,0.00046834706345763187,28784.642267837386,866.8809485932646,197742.43421238326
Lignite,2030-2035,0.0037246024475576407,28784.64599053265,5071.171112303153,180654.25424279683
Lignite,2035-2040,0.00017542108522711618,28784.646164046546,171.57463332265317,78346.77557634805
Lignite,2040-2045,0.00014339163215836456,28784.64630553098,97.16528234428583,0.44434556845211926
Lignite,2045-2050,0.0001325613524552856,28784.646436185136,58.619985728984275,5.5462370858328605
Lignite,2050-2055,0.00023077720525659535,28784.646665055163,59.48494163076609,0.012879997775327116
Lignite,2055-2060,0.0007777472006762199,28784.64744089516,88.06971806240753,187.726003245156
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358333.2174569722
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246705.5171560028
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,136834.41631684708
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,7180.1248269146845
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,19.026375948149585
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,10.138887561690373
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.13925265570472017,0.13925265570472017,298172.83307764784,0.6906740279905871
Coal,2025-2030,0.023366706769227166,0.16261497592961027,37409.454730500256,0.7749247193106068
Coal,2030-2035,0.004287124435483619,0.16689771382078167,5048.782272191776,0.7102898864479819
Coal,2035-2040,0.0006704469704124587,0.1675637742468534,567.1891717610428,0.13359744027425838
Coal,2040-2045,0.0008488241516343387,0.1684082118540897,497.5047703673272,0.020740031682099255
Coal,2045-2050,0.0013164802756003688,0.16972030558538714,503.54159486901716,0.023821068775262456
Coal,2050-2055,0.004057805981935679,0.1737737250229801,904.6854811252927,0.03273283173686989
Coal,2055-2060,0.012381483717826134,0.186150822196475,1212.6990929343315,0.03510563210143648
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,185362.0507685503
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115667.42865328513
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51843.10503438039
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10221.92323911207
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1169.6746505168123
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.09484128030141419,0.09484128030141419,69684.71935676222,0.06158905978161985
GasOCGT,2025-2030,9332.354664203685,9332.449499190941,5372604693.7072,1551.9067673111967
GasOCGT,2030-2035,87947.0123094662,97279.46179902641,39670552313.70414,11803.83402312088
