Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.06305039349785209,0.06305039349785209
EnergyhubEU,2025-2030,0.0031588587283535073,0.06620915686667186
EnergyhubEU,2030-2035,42668.86024859014,42668.92646775893
EnergyhubEU,2035-2040,6308.673008019533,48977.59947574554
EnergyhubEU,2040-2045,18727.592769064213,67705.19224577078
EnergyhubEU,2045-2050,3.072959610754158e-05,67705.19227477052
EnergyhubEU,2050-2055,2.6750327367954884e-06,67705.1922741339
EnergyhubEU,2055-2060,2.6363891839036873e-06,67705.19228183116
EnergyhubNorth,2020-2025,0.056998914798098176,0.056998914798098176
EnergyhubNorth,2025-2030,0.002555214355734216,0.05955403379418147
EnergyhubNorth,2030-2035,0.5996091200259509,0.6591630584602447
EnergyhubNorth,2035-2040,2250.2181329351974,2250.8772958984873
EnergyhubNorth,2040-2045,58676.998366014785,60927.875659854435
EnergyhubNorth,2045-2050,7.870534662330365e-05,60927.87573960696
EnergyhubNorth,2050-2055,3.4689495685709986e-06,60927.87574052155
EnergyhubNorth,2055-2060,3.9038142608915465e-06,60927.87574583502
EnergyhubCentral,2020-2025,0.06781529006673628,0.06781529006673628
EnergyhubCentral,2025-2030,0.004004409028943543,0.07181960373603656
EnergyhubCentral,2030-2035,59679.73742314412,59679.80924122811
EnergyhubCentral,2035-2040,0.04565362964511177,59679.854889716364
EnergyhubCentral,2040-2045,1530.777056223352,61210.63195055323
EnergyhubCentral,2045-2050,2.868211494164553e-05,61210.63197135852
EnergyhubCentral,2050-2055,2.7866386246366372e-06,61210.631983198655
EnergyhubCentral,2055-2060,2.5158938886942995e-06,61210.63198040662
