BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1577.3715705152172,47.3211471154566
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3818.6714158908476,114.5601424767253
Switzerland,Austria,2030-2035,831.0188687775276,2031.0188687775276,198959272.7319274,9063.709574570657,271.91128723712035
Switzerland,Austria,2035-2040,168.97982865100073,2199.99869736306,29062375.5721004,9603.095303713022,288.0928591113901
Switzerland,Austria,2040-2045,1000.0009210627964,3199.999617414575,119155109.00571455,16145.374730696138,484.36124192088374
Switzerland,Austria,2045-2050,1.4975813894519114e-06,3199.999621651295,0.11645125569982565,14845.271907435384,445.3581572230629
Switzerland,Austria,2050-2055,1.734718233593303e-06,3199.99962176679,0.07862633508722498,13450.01986178963,403.5005958536895
Switzerland,Austria,2055-2060,1.2323134973270367e-05,3199.9996337197376,0.24537726084133143,16740.000375949425,502.2000112784825
CzechR,Austria,2020-2025,0.0,900.0,0.0,4552.557199131018,136.57671597393116
CzechR,Austria,2025-2030,0.0,900.0,0.0,3500.983527137482,105.02950581412483
CzechR,Austria,2030-2035,999.9995464419053,1899.9995464419053,87917351.13322084,8212.436812105816,246.37310436317497
CzechR,Austria,2035-2040,0.00020833344906498255,1899.9997547098649,13.157601868585504,7988.6522117847,239.6595663535414
CzechR,Austria,2040-2045,2.235270450199363e-06,1899.9997568796448,0.09780562595786205,7755.296598145946,232.65889794437905
CzechR,Austria,2045-2050,6.439178561597932e-05,1899.9998212059404,1.8386780931153062,11313.796943906493,339.4139083171944
CzechR,Austria,2050-2055,8.74492207568775e-07,1899.9998220149434,0.014555144628566885,7922.547476820116,237.676424304604
CzechR,Austria,2055-2060,2.5077576835925862e-06,1899.999824457211,0.018336657382026972,10864.183611018785,325.925508330564
Germany,Austria,2020-2025,0.0,5000.0,0.0,14803.728918344741,444.11186755034197
Germany,Austria,2025-2030,1999.996030202421,6999.996030202421,891258.1855701305,18826.75652864658,564.8026958593978
Germany,Austria,2030-2035,500.0038390179473,7499.999867540769,149746.4802504891,36795.167345621194,1103.8550203686386
Germany,Austria,2035-2040,6.630377081537582e-06,7499.999875719357,0.001426475963511782,36685.0035627584,1100.5501068827537
Germany,Austria,2040-2045,699.9998898977377,8199.999761273084,104337.45144329013,41677.73273516552,1250.3319820549652
Germany,Austria,2045-2050,3.236020895930315e-05,8199.999797867422,0.00314771238775789,38473.75949770703,1154.2127849312155
Germany,Austria,2050-2055,4.2908838041449874e-07,8199.999799142226,2.432852774056447e-05,31027.825877980955,930.8347763394298
Germany,Austria,2055-2060,7.61909423071702e-07,8199.999798906054,1.897782502249425e-05,38616.80240948674,1158.5040722846045
Hungary,Austria,2020-2025,0.0,800.0,0.0,3636.9622302389294,109.10886690716758
Hungary,Austria,2025-2030,0.0,800.0,0.0,4160.267852074757,124.8080355622431
Hungary,Austria,2030-2035,1999.9995952820118,2799.999595282012,149305028.99001604,10137.136844951448,304.11410534854383
Hungary,Austria,2035-2040,0.00022873251973028097,2799.999823949041,12.266351008256066,14424.129852941127,432.7238955882343
Hungary,Austria,2040-2045,8.312341058570131e-07,2799.9998247147855,0.030883524052623932,15291.706143998912,458.75118431996754
Hungary,Austria,2045-2050,9.049618015300196e-07,2799.999825554258,0.021941949841119645,14916.782739081164,447.5034821724344
Hungary,Austria,2050-2055,6.186112374233122e-07,2799.9998261073792,0.008742751269118495,15950.781059022058,478.52343177066234
Hungary,Austria,2055-2060,1.3990684576476832e-06,2799.999827440957,0.008686469571969927,15664.307596508106,469.9292278952431
Italy,Austria,2020-2025,0.0,405.0,0.0,2068.3284309792703,62.04985292937824
Italy,Austria,2025-2030,389.9985606401325,794.9985606401325,155139170.59650353,4374.858291947511,131.24574875842526
Italy,Austria,2030-2035,500.00040623109425,1294.998966805738,133671156.256113,6721.694353753381,201.65083061260168
Italy,Austria,2035-2040,0.0008681293316342206,1294.9998348695872,166.72269547188725,7847.247508910406,235.41742526731232
Italy,Austria,2040-2045,1000.0000102142131,2294.9998455343994,133053505.22643092,13920.23916506108,417.6071749518331
Italy,Austria,2045-2050,9.865446682368586e-07,2294.999844972873,0.08566127670139338,12366.624791604978,370.9987437481501
Italy,Austria,2050-2055,1.4446382812263835e-06,2294.999846938127,0.07311597170167321,13198.880173657597,395.9664052097277
Italy,Austria,2055-2060,1.8486143243413497e-06,2294.999849101685,0.04110299520176412,15228.165520270162,456.8449656081052
Slovenia,Austria,2020-2025,0.0,950.0,0.0,1989.3415164964224,59.680245494892844
Slovenia,Austria,2025-2030,0.0,950.0,0.0,4139.279526314528,124.17838578943568
Slovenia,Austria,2030-2035,999.982364969937,1949.982364969937,97340707.47743832,6592.742944720149,197.78228834160532
Slovenia,Austria,2035-2040,0.017430201373760255,1949.999795105821,1218.8422700824108,9548.83278542985,286.46498356289584
Slovenia,Austria,2040-2045,999.9999922103775,2949.999786328627,48446356.67106186,13364.34487912769,400.9303463738313
Slovenia,Austria,2045-2050,8.346326271733837e-06,2949.999795936806,0.2638748240929664,12815.409941157835,384.46229823473556
Slovenia,Austria,2050-2055,1.4716247606288636e-06,2949.9997964941113,0.027119709503970055,14583.510992033283,437.5053297609994
Slovenia,Austria,2055-2060,4.454364924504522e-06,2949.9998013264653,0.03606182985138686,13624.701504240153,408.7410451272046
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.999391647674,999.999391647674,19498620.309450887,4099.294475317925,122.97883425953823
Slovakia,Austria,2035-2040,0.0003512548765768988,999.9997428370606,4.920049300746921,4548.411256301693,136.45233768905092
