BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1698.3911766238593,50.95173529871591
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3891.0659870169748,116.73197961050926
Switzerland,Austria,2030-2035,476.4867550301483,1676.4867550301483,114078586.9118138,6451.294031024082,193.5388209307231
Switzerland,Austria,2035-2040,523.5130353263428,2199.999790322637,90037565.85034467,10124.63034368896,303.7389103106688
Switzerland,Austria,2040-2045,1000.000100846797,3199.999891059967,119155011.27287775,16837.75344256322,505.1326032768968
Switzerland,Austria,2045-2050,2.696924082071912e-07,3199.9998910134855,0.020971160438853633,14489.784930184222,434.6935479055271
Switzerland,Austria,2050-2055,3.281061273875142e-07,3199.9998914048742,0.014871453943678668,14619.686137270346,438.5905841181103
Switzerland,Austria,2055-2060,9.029906511948652e-07,3199.9998925346263,0.017980276369295015,16415.649997744447,492.4694999323331
CzechR,Austria,2020-2025,0.0,900.0,0.0,4609.685764402097,138.29057293206287
CzechR,Austria,2025-2030,0.0,900.0,0.0,3347.501089701588,100.42503269104785
CzechR,Austria,2030-2035,999.9998815353019,1899.999881535302,87917380.59375802,8231.682742504858,246.95048227514562
CzechR,Austria,2035-2040,5.7304105226953845e-05,1899.9999388057345,3.619124079190031,8320.014759906207,249.60044279718636
CzechR,Austria,2040-2045,4.1074835243501833e-07,1899.9999391828103,0.017972545432918166,7839.127801860148,235.1738340558051
CzechR,Austria,2045-2050,7.274911901113106e-06,1899.999946424049,0.20773179395418223,11094.5834764733,332.8375042941992
CzechR,Austria,2050-2055,1.826098249260145e-07,1899.9999465729861,0.003039378040640101,7764.0714077344355,232.9221422320337
CzechR,Austria,2055-2060,7.283531095690986e-07,1899.999947267666,0.00532569853566134,11242.748838212156,337.28246514636453
Germany,Austria,2020-2025,0.0,5000.0,0.0,15126.31084724781,453.78932541743416
Germany,Austria,2025-2030,1999.999097115654,6999.999097115654,891259.5522786048,18628.1035241482,558.8431057244463
Germany,Austria,2030-2035,500.0008550771341,7499.999953556909,149745.58658808254,32366.334453791696,970.9900336137488
Germany,Austria,2035-2040,3.004696741217177e-07,7499.999952420871,6.464379968559092e-05,35928.916576729534,1077.8674973018867
Germany,Austria,2040-2045,699.9999678850899,8199.999923699494,104337.46306757991,40478.25641866397,1214.3476925599211
Germany,Austria,2045-2050,9.510582097584002e-06,8199.99992955749,0.0009251045665682326,37912.132385186706,1137.3639715556026
Germany,Austria,2050-2055,9.321084352686382e-08,8199.999929737869,5.284884643751347e-06,31301.061720101978,939.0318516030619
Germany,Austria,2055-2060,1.7907257245948566e-07,8199.999929942938,4.460383142084099e-06,40036.93202562312,1201.1079607686936
Hungary,Austria,2020-2025,0.0,800.0,0.0,3626.87696115333,108.80630883459982
Hungary,Austria,2025-2030,0.0,800.0,0.0,4118.158574826944,123.54475724480824
Hungary,Austria,2030-2035,1999.9998965566474,2799.9998965566474,149305051.4809297,10600.718586721412,318.0215576016432
Hungary,Austria,2035-2040,5.20811190015188e-05,2799.999948604094,2.792979709788115,14636.605017366486,439.0981505209953
Hungary,Austria,2040-2045,1.5280567217573414e-07,2799.9999487232258,0.005677314752564344,15463.214451741642,463.89643355224985
Hungary,Austria,2045-2050,1.5800002767363427e-07,2799.9999488475523,0.003830911621075087,14721.051983810712,441.63155951432157
Hungary,Austria,2050-2055,1.1359231301837748e-07,2799.9999489274715,0.0016053852221309486,15850.84263761237,475.52527912837195
Hungary,Austria,2055-2060,2.611251171610675e-07,2799.9999491549243,0.0016212611843958048,15970.08050492124,479.10241514763703
Italy,Austria,2020-2025,0.0,405.0,0.0,2234.9750860015392,67.04925258004631
Italy,Austria,2025-2030,389.9997679304863,794.9997679304863,155139650.84961998,4378.02475281072,131.3407425843221
Italy,Austria,2030-2035,500.00002913444064,1294.999797030386,133671055.44230348,6542.603245869313,196.27809737607924
