Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.010453205434387835,0.010453205434387835
EnergyhubEU,2025-2030,0.0019386301900288362,0.012391811722675344
EnergyhubEU,2030-2035,20683.460423574106,20683.472813717166
EnergyhubEU,2035-2040,28990.540491455446,49674.013309421505
EnergyhubEU,2040-2045,11253.838877500415,60927.85219366372
EnergyhubEU,2045-2050,1.0914755751365984e-05,60927.852205462084
EnergyhubEU,2050-2055,4.714414573078033e-07,60927.852201898095
EnergyhubEU,2055-2060,4.4171981216956797e-07,60927.85219294107
EnergyhubNorth,2020-2025,0.009526823942193851,0.009526823942193851
EnergyhubNorth,2025-2030,0.0008841988799745394,0.01041099892042898
EnergyhubNorth,2030-2035,0.018384501393456116,0.02879547641213572
EnergyhubNorth,2035-2040,894.2380527143371,894.2668481716864
EnergyhubNorth,2040-2045,52215.52891929924,53109.79642292225
EnergyhubNorth,2045-2050,7818.042691758934,60927.83928189671
EnergyhubNorth,2050-2055,6.270377048976964e-07,60927.839329026916
EnergyhubNorth,2055-2060,6.730386999781544e-07,60927.839281665125
EnergyhubCentral,2020-2025,0.011087958585901328,0.011087958585901328
EnergyhubCentral,2025-2030,0.0018282715433572405,0.012916206227526436
EnergyhubCentral,2030-2035,9850.10010021111,9850.113016213116
EnergyhubCentral,2035-2040,12950.775295200352,22800.888310719514
EnergyhubCentral,2040-2045,38126.9571523126,60927.8454503102
EnergyhubCentral,2045-2050,0.0003667861015050182,60927.84583288141
EnergyhubCentral,2050-2055,5.256202820337339e-07,60927.84582968749
EnergyhubCentral,2055-2060,4.815068977427756e-07,60927.845826105
