Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,2.335204044356942e-06,3503.000002335204,3.9888545870780945e-06,124704.00000398885,2.8707939782179857,1927.7798261669418,481.9449565950623
Austria,HydroPumpStorage,2025-2030,8.495579529593416e-06,3503.000010806882,9.441647611976629e-06,124704.0000133827,7.766100989436348,2421.012630794495,605.2531575718518
Austria,HydroPumpStorage,2030-2035,1751.4995686115503,5254.499579396644,9.57891691643902e-06,124704.0000229138,1129032239.2960944,7912.517340977714,1978.1293353065005
Austria,HydroPumpStorage,2035-2040,0.0003237255758838973,5254.499899456147,4.673777444075507e-06,124704.00002753978,163.73947146461876,9660.580181383117,2415.1450454166243
Austria,HydroPumpStorage,2040-2045,3.703910440916414e-07,5254.499899863666,2.8040656756531684e-06,124704.00003029604,0.22772556398164517,11298.309828174477,2824.577456679975
Austria,HydroPumpStorage,2045-2050,3.9284718884585074e-07,5254.499897710492,2.9507130048437153e-06,124704.0000292579,0.1570884633036461,10194.643166103799,2548.6607915430905
Austria,HydroPumpStorage,2050-2055,5.819589535682162e-06,5254.499898838334,1.0955870656555945e-05,124704.00003077213,0.9204409517033046,9855.440018241603,2463.8600045941466
Austria,HydroPumpStorage,2055-2060,1751.4993308579583,5254.499661070755,6.394393619192472e-06,124704.00002758761,102418085.2611179,10534.782891314911,2633.695722964156
Austria,Li-Ion_BESS,2020-2025,0.0005800128611095313,0.0005800128611095313,0.0011600257222190626,0.0011600257222190626,342.39119578181464,0.0016711258187081897,0.00018567890740376562
Austria,Li-Ion_BESS,2025-2030,0.008958360514381375,0.009538349473755705,0.017916721028758912,0.01907669894751141,3369.8599810889577,0.006702800528749045,0.0007447538041496043
Austria,Li-Ion_BESS,2030-2035,8.775589996486731e-05,0.00962608147198202,0.00017551179994743096,0.01925216294396404,25.47670706628242,0.012122073352959348,0.001346895247363596
Austria,Li-Ion_BESS,2035-2040,2405.1655437421996,2405.1745897553233,4810.331088027709,4810.3491795106465,547098403.3479031,1672.4596974553442,185.82885527085696
Austria,Li-Ion_BESS,2040-2045,1000.3196125774231,3405.485244018489,2000.6392245767752,6810.970488036978,178284161.20373008,2501.7308561391606,277.9700951248914
Austria,Li-Ion_BESS,2045-2050,12333.210286573129,15738.695442329663,24666.42057216725,31477.390884659326,1722279449.3283908,11658.151769264958,1295.3501965775017
Austria,Li-Ion_BESS,2050-2055,4541.763868645187,17875.29376730216,9083.527737811899,35750.58753460432,369689726.6859841,12784.15569701694,1420.4617441151893
