Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999798232233,0.0,12404.159666298672
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7258453791734468,0.0,7387.4889998179015
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6398026016949742,0.0,4375.092245040405
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0034459570286578555,0.0,16.440077821767925
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.3136454474149105e-08,0.0,0.00017576348883468297
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.6110955360963384e-07,0.0,0.00013322857870016512
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2824116638935713,0.0,30570.305753219876
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.46811125708613566,0.0,31182.639410095566
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5524828512032428,0.0,24726.97964917815
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.004594125990900813,0.0,143.45244988192985
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00026934125107024287,0.0,5.831093718760185
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.140999097239698e-08,0.0,0.00022412602719930845
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999929520768,0.0,47632.49955238653
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7362869742873963,0.0,28776.360453533856
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6488314994641029,0.0,17037.628911841362
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.019250130006624868,0.0,352.66608366944473
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,9.137254876026603e-09,0.0,0.00011606141143528975
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,3.972137377766088e-08,0.0,0.0001261352224309619
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499951730292913,0.0,125525.61211686356
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7440647321611086,0.0,76635.718626825
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6397792285531384,0.0,44273.01839073593
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04747766319794234,0.0,2292.1927273859355
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,3.71823828741858e-09,0.0,0.00012446323758042262
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.9951192212922347e-08,0.0,0.00016696011554800163
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.749300093169426,0.0,13134.30150114448
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6198700485852373,0.0,6686.494346362443
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5557955147520095,0.0,4028.110250462207
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07572967374560785,0.0,382.91748345145953
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022643949010322487,0.0,0.7938406953083607
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001447519737121918,0.0,0.126866130336366
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999636520346,0.0,6615.989679362961
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6638126758567718,0.0,3603.5101746392957
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6177041113546344,0.0,2252.9377130549983
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.03179182109591339,0.0,80.89783478936586
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,9.717755318778623e-08,0.0,0.00017144685869729668
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,2.9632491024587436e-07,0.0,0.00013069884286250662
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6776868602208886,0.0,1353.5304121819734
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.566489387529923,0.0,696.2694916466265
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5269763172470964,0.0,435.1762320498567
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.02653457758050373,0.0,15.287590704804373
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.3118221428878843e-07,0.0,0.0001322927225909424
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.4334848301741744e-06,0.0,0.00024301752908051445
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999292629133,0.0,5413.679489402718
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7018502035320615,0.0,3117.6142850112474
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6081415794585736,0.0,1814.9770250382228
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.008348585224957584,0.0,17.383295715633974
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023957248108781923,0.0,0.345858333177468
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,5.041280494981243e-07,0.0,0.00018194586260046738
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.749999993328515,0.0,49669.1995581769
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7331477367964101,0.0,29878.860774144323
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6104822507406347,0.0,16716.065325191412
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.06495818087711125,0.0,1240.931106777468
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,8.994653149862954e-09,0.0,0.0001191352603283128
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,3.961385865030207e-08,0.0,0.00013117257787157235
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.749999984236704,0.0,16405.289655198074
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6981066453837297,0.0,9397.039563854136
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.609683458260764,0.0,5513.9417879710345
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.012450473417174555,0.0,78.55908732539989
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.00026942962343535354,0.0,1.1786856285460716
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.001801611935535963,0.0,1.9703977513285855
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999926188221,0.0,37192.76963396479
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7305093776919268,0.0,22293.060321919096
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.640938187201438,0.0,13141.608499671793
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.0031885373593796844,0.0,45.61174486300614
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,0.00022641922981719652,0.0,2.2456422235115006
