Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1010497603.6603506,-1.9784462523424337e-10,1100000000.0,3342767.234446202,0.3022937383277547,39.451493347686785,19304.25466153364,8639.465207903417,16702.050200786325
2020-2025,scenario2,1070273523.6006175,-2.094650725477117e-09,1100000000.0,3510455.1749488325,0.3048816948976595,45.524283393969355,16266.206230410788,8223.920880983871,15706.316520494192
2020-2025,scenario3,1025248190.3445764,-1.945874900200562e-09,1100000000.0,3397720.6242058924,0.30174587723327295,40.341017655007185,26776.649447186774,7221.611354909886,17093.259065045044
2025-2030,scenario1,989999999.8341527,-0.22721247825077595,990000000.0,4461762.339630867,0.22188541757157823,42.04590218809187,45037.35975603677,7870.253056207,20096.944371844744
2025-2030,scenario2,990000000.2050245,-13.619876969493863,990000000.0,4626401.817470643,0.21398919490013474,42.950175371467246,28362.810843714906,10522.808394498883,20287.126546920867
2025-2030,scenario3,990000000.0990136,-28.428508226816195,990000000.0,4544750.271088037,0.21783375126175758,52.079149746867664,36202.757087489095,7268.012839563387,20495.942125754445
2030-2035,scenario1,770000000.1495104,-28.86073299873946,770000000.0,5456667.517960562,0.14111176787206314,39.60660277644624,41712.99281766565,14771.462434136625,47540.58515899156
2030-2035,scenario2,733745779.506595,-6.4655365693866495e-09,770000000.0,5719412.230158842,0.12829041691338736,26.070652783524125,126160.16416806247,23997.858998827054,53321.22421971186
2030-2035,scenario3,672328496.4647864,-7.780237625606932e-08,770000000.0,5526767.960420034,0.1216494886848389,147.91993208888238,161229.45169104578,23605.26816611502,54295.20412443423
2035-2040,scenario1,330000000.15045166,-80.56836388414821,330000000.0,6686081.265030563,0.049356265212692034,185.65701700473525,101766.87939477917,39121.72064401654,64031.06174544134
2035-2040,scenario2,330000000.143982,-30.93535758630177,330000000.0,6572283.407043422,0.050210859712823706,28.68766711639523,192977.65331356617,33327.52682136839,62674.306132979415
2035-2040,scenario3,330000000.1504601,-32.67586574441378,330000000.0,6788665.022796845,0.04861044093975647,171.26993632083312,188791.09156973666,33650.41079514655,66788.94516123607
2040-2045,scenario1,66000000.15147008,-57.81421790739167,66000000.0,7306994.261698653,0.009032441765751053,21.16986605988687,638284.3799005997,43172.894762082724,96136.1137896488
2040-2045,scenario2,66000000.1510567,-106.93882937671154,66000000.0,7466477.879035382,0.00883950923317869,29.158947987586888,336630.9606800091,48881.06302692824,97267.80947450646
2040-2045,scenario3,66000000.142826304,-308.15984129560985,66000000.0,7407662.247051794,0.008909693495959407,34.70523580403986,263571.1334799991,50735.43420142148,96461.4396981696
2045-2050,scenario1,55000000.124901794,-53.6372358759888,55000000.0,7956557.192156339,0.006912537520514517,10.889802924603833,648700.3255911383,55991.931828052715,101607.74259935232
2045-2050,scenario2,55000000.125058375,-53.63724157356627,55000000.0,8242562.686348022,0.006672682055078829,15.924374510353628,451303.51167726674,53646.36986753354,102391.1587488464
2045-2050,scenario3,55000000.12020041,-791.0256964015182,55000000.0,8028897.345878904,0.006850255738844727,62.56188587278764,507322.63974600047,60720.16919564635,99994.4407774443
2050-2055,scenario1,33000000.093092922,-52.29401084267699,33000000.0,8093545.934395621,0.004077322889198819,18.267325579666338,487455.4392535701,66975.57928868804,98324.74365021502
2050-2055,scenario2,33000000.093281526,-62.727130088525676,33000000.0,8182357.564939622,0.004033067466359861,23.12339768747795,464362.10869418783,54819.51669484143,99455.67454832964
2050-2055,scenario3,33000000.09299686,-49.477069360317586,33000000.0,7967506.624064543,0.004141822737031128,13.221491164742103,485183.08183511917,69487.69731380297,98277.56007793793
2055-2060,scenario1,22000000.09225007,-40.97373618364404,22000000.0,8377911.047066383,0.00262595293369147,48.16293939769598,430465.97990629746,63850.962830026154,103440.33721660924
2055-2060,scenario2,22000000.09295555,-40.97379663835076,22000000.0,7903884.2799485205,0.0027834415729956342,8.70387765572851,432657.9984200106,68602.44952292966,97724.0955559623
2055-2060,scenario3,22000000.09310102,-58.290264741198726,22000000.0,7968197.462064163,0.002760975766205732,11.573631961667605,475607.3233301734,58521.85773866379,103733.62637532991
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,358668.5877430811
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,231252.76262177568
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,143675.76814360867
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,5246.914631083491
Liginiteexisting,2040-2045,0.0,12263.0,0.0,2.263436772045728
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,0.016613422931372766
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,17311.58875561785,17311.58875561785,42855769705.92003,121097.90032037183
Lignite,2025-2030,0.0008787845641528317,17311.589625499055,1626.574939870079,119192.31880179887
Lignite,2030-2035,0.00579401304752027,17311.595410608734,7888.743028174587,111672.97435546748
Lignite,2035-2040,0.00014471956571122122,17311.59554642493,141.5463049346031,43436.95807431486
Lignite,2040-2045,0.00013622591791626081,17311.595673747484,92.3096388380907,0.012687728891046702
Lignite,2045-2050,0.00018849984238731692,17311.595853343955,83.3565580464905,0.015048989075087983
Lignite,2050-2055,0.0003725447216848114,17311.596216985312,96.02681945832113,0.02170206320927364
Lignite,2055-2060,0.001993162043498714,17311.59820124399,225.6995834520539,112.73116436093686
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,405638.5915360145
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,261416.4750011421
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,142662.89094323912
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,5501.677390531938
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,3.0900448864628305
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,0.028295509668821252
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.23490371245217428,0.23490371245217428,502984.34229393135,1.2500686753770915
Coal,2025-2030,0.02167465885055016,0.2565578935588162,34700.532560134954,1.3084987154394934
Coal,2030-2035,0.006203953263498593,0.26274136907884055,7306.158177964018,1.09314798329943
Coal,2035-2040,0.001334957037595372,0.2640558483726744,1129.3558027780805,0.18971095225024312
Coal,2040-2045,0.0017245400866894578,0.26575991071490956,1010.7710980722529,0.03135872666622227
Coal,2045-2050,0.0018500072212623748,0.2675894401927404,707.6107435706379,0.03633808618330922
Coal,2050-2055,0.004832015596023491,0.27240097804498936,1077.2950638236614,0.054611691551921825
Coal,2055-2060,0.0234141208570008,0.295794621158436,2293.2859883552783,0.057593328698159744
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,253018.5016521486
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,138672.61667857788
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,62322.51864684422
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,11007.763314407828
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,921.242876266063
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.16771122251585793,0.16771122251585793,123225.97751585601,0.12971102587434882
GasOCGT,2025-2030,7934.388609131307,7934.556290976527,4567800412.325326,1545.7545440812107
GasOCGT,2030-2035,90140.11032851414,98074.66660327752,40659800355.32705,13193.975961750966
