Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.005441056962995104,0.005441056962995104
EnergyhubEU,2025-2030,7.065291277414827e-07,0.005441743127884827
EnergyhubEU,2030-2035,20899.760452023205,20899.765894987406
EnergyhubEU,2035-2040,17819.703986678564,38719.46988232351
EnergyhubEU,2040-2045,27833.639421466876,66553.10930681144
EnergyhubEU,2045-2050,6.067867185471312e-06,66553.10931492354
EnergyhubEU,2050-2055,4.0536906436322586e-07,66553.1093136983
EnergyhubEU,2055-2060,3.850291230792618e-07,66553.10930902859
EnergyhubNorth,2020-2025,0.00534908900896331,0.00534908900896331
EnergyhubNorth,2025-2030,8.560346753222955e-07,0.005349924679405982
EnergyhubNorth,2030-2035,0.018619559945671767,0.023969464260813797
EnergyhubNorth,2035-2040,44.583231599588906,44.60720104349566
EnergyhubNorth,2040-2045,60883.23690707123,60927.8444638965
EnergyhubNorth,2045-2050,0.0008769839805115945,60927.845382119274
EnergyhubNorth,2050-2055,5.019768259776367e-07,60927.84540541467
EnergyhubNorth,2055-2060,4.832864435577653e-07,60927.84542457394
EnergyhubCentral,2020-2025,0.005687994954178029,0.005687994954178029
EnergyhubCentral,2025-2030,7.955490756805284e-07,0.005688770139017014
EnergyhubCentral,2030-2035,15245.064334164073,15245.070023384755
EnergyhubCentral,2035-2040,27548.670360980403,42793.740384005905
EnergyhubCentral,2040-2045,19641.933940357023,62435.67432120705
EnergyhubCentral,2045-2050,3.0713600285811393e-06,62435.67432722551
EnergyhubCentral,2050-2055,3.9990885556569155e-07,62435.67432805255
EnergyhubCentral,2055-2060,3.635648686435748e-07,62435.67432995229
