Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0028891091351536777,40897.51940405282,7.0642649658291395e-06
Austria,Hydrorun-of-the-river,2025-2030,2340.7005749171376,43633.03006305638,5.364515303050163
Austria,Hydrorun-of-the-river,2030-2035,15639.897582774189,56408.5862324284,27.726093893455996
Austria,Hydrorun-of-the-river,2035-2040,13761.659420800366,55475.591020501866,24.80669275918941
Austria,Hydrorun-of-the-river,2040-2045,14936.15594301705,55557.17212895949,26.88429840947843
Austria,Hydrorun-of-the-river,2045-2050,15358.109858931812,55497.30273461357,27.673614936520124
Austria,Hydrorun-of-the-river,2050-2055,14231.683610820424,54669.252062698055,26.0323364118804
Austria,Hydrorun-of-the-river,2055-2060,11240.865300854686,53212.27794562111,21.12457074726625
Belgium,Hydrorun-of-the-river,2020-2025,410.6823665516802,881.482366175708,46.589969613733366
Belgium,Hydrorun-of-the-river,2025-2030,45.787319301727436,516.5873197075272,8.863422998390774
Belgium,Hydrorun-of-the-river,2030-2035,258.11697310017604,728.9169729937404,35.41102521458128
Belgium,Hydrorun-of-the-river,2035-2040,276.67407209568086,747.4740724265392,37.01453766784292
Belgium,Hydrorun-of-the-river,2040-2045,620.0054844650562,1090.805484863906,56.83923422354361
Belgium,Hydrorun-of-the-river,2045-2050,1409.183126011134,1879.9831257926905,74.9572220451157
Belgium,Hydrorun-of-the-river,2050-2055,818.1144600736167,1288.9144602674876,63.47313846597965
Belgium,Hydrorun-of-the-river,2055-2060,515.795785891952,986.5957784315714,52.28035606557451
Bulgaria,Hydrorun-of-the-river,2020-2025,3238.256668379376,6836.323336996808,47.368395389588756
Bulgaria,Hydrorun-of-the-river,2025-2030,3034.107647406572,5523.441236174871,54.93147329123704
Bulgaria,Hydrorun-of-the-river,2030-2035,4660.788351576711,7434.066967398047,62.69500089273483
Bulgaria,Hydrorun-of-the-river,2035-2040,4093.681585031239,5931.506879705053,69.01587856262927
Bulgaria,Hydrorun-of-the-river,2040-2045,4244.765121643863,6112.502434696144,69.44398250951163
Bulgaria,Hydrorun-of-the-river,2045-2050,5454.351456051555,7066.370593240877,77.18745265453174
Bulgaria,Hydrorun-of-the-river,2050-2055,4835.232752803764,6488.368388368894,74.52155092598387
Bulgaria,Hydrorun-of-the-river,2055-2060,4248.176712640947,5667.7636264277335,74.95331479302497
Switzerland,Hydrorun-of-the-river,2020-2025,0.001620417241182826,1347.1249374872284,0.00012028707925230495
Switzerland,Hydrorun-of-the-river,2025-2030,0.0012038859732848642,19731.604115081158,6.101308166651876e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.010153855417075457,19379.38847653672,5.239512809895459e-05
Switzerland,Hydrorun-of-the-river,2035-2040,0.011380437246018775,17539.123040719827,6.488601066083695e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.03619540747943347,19918.021681607846,0.00018172190018678433
Switzerland,Hydrorun-of-the-river,2045-2050,193.74534357563203,13012.3303767868,1.4889365545257125
Switzerland,Hydrorun-of-the-river,2050-2055,114.92340165574103,19271.656721926924,0.5963337937883845
Switzerland,Hydrorun-of-the-river,2055-2060,14.237831673123848,17078.51203498156,0.08336693292694818
CzechR,Hydrorun-of-the-river,2020-2025,85.05703574269704,1340.1125379548578,6.34700693663402
CzechR,Hydrorun-of-the-river,2025-2030,132.48572942465844,1372.6125326871575,9.65208507642661
CzechR,Hydrorun-of-the-river,2030-2035,473.19935994826386,1675.3182124285427,28.245342075181867
CzechR,Hydrorun-of-the-river,2035-2040,419.1388093372261,1951.9956479157709,21.472322942151973
CzechR,Hydrorun-of-the-river,2040-2045,300.5118163074,1769.2862515823317,16.984917846879906
CzechR,Hydrorun-of-the-river,2045-2050,569.0709942850718,1766.4205247725868,32.216054235348935
CzechR,Hydrorun-of-the-river,2050-2055,279.6801911228127,1606.063009361052,17.414023577697566
CzechR,Hydrorun-of-the-river,2055-2060,263.2194763584503,1735.3240310386457,15.168318518640305
Germany,Hydrorun-of-the-river,2020-2025,0.003240173887019359,22743.062917366897,1.4246866830523168e-05
Germany,Hydrorun-of-the-river,2025-2030,0.0011358418016962433,21792.578282335988,5.212057917061158e-06
Germany,Hydrorun-of-the-river,2030-2035,441.7456433290049,23254.42762167836,1.899619506941545
Germany,Hydrorun-of-the-river,2035-2040,0.013027239068118677,22720.140447809867,5.733784567944628e-05
Germany,Hydrorun-of-the-river,2040-2045,493.38704868540674,23008.45456016295,2.144372832148673
Germany,Hydrorun-of-the-river,2045-2050,877.0428790214992,23652.13198479641,3.7080922750865004
Germany,Hydrorun-of-the-river,2050-2055,1036.3885112917706,23733.124577979594,4.366843935304529
Germany,Hydrorun-of-the-river,2055-2060,28.859074392186667,22085.227403827103,0.1306713934364368
Denmark,Hydrorun-of-the-river,2020-2025,0.0016010985458491847,21.248425891327713,0.007535139562985951
Denmark,Hydrorun-of-the-river,2025-2030,0.006157906682208871,26.924646065862024,0.022870891848106895
Denmark,Hydrorun-of-the-river,2030-2035,0.030100878488660894,23.140349603977537,0.1300796185183258
Denmark,Hydrorun-of-the-river,2035-2040,0.034612586475821945,20.717081907675563,0.1670726921391288
Denmark,Hydrorun-of-the-river,2040-2045,0.07943017063387114,18.941565844426613,0.41934321209902914
Denmark,Hydrorun-of-the-river,2045-2050,0.1337711072624623,30.2822901372001,0.4417469968631335
Denmark,Hydrorun-of-the-river,2050-2055,0.11738186464638137,22.95354986064251,0.5113887192135415
Denmark,Hydrorun-of-the-river,2055-2060,0.24180691551395656,24.85518487098206,0.9728630737173126
Estonia,Hydrorun-of-the-river,2020-2025,0.003114107639968104,32.10311312488553,0.009700329148309688
Estonia,Hydrorun-of-the-river,2025-2030,4.45727803786903,36.55727765440829,12.192587424057125
Estonia,Hydrorun-of-the-river,2030-2035,14.421170691917304,46.5211702804397,30.999157168625295
Estonia,Hydrorun-of-the-river,2035-2040,26.451212837665565,58.551213237410735,45.17619939045912
Estonia,Hydrorun-of-the-river,2040-2045,27.135400276088248,59.235396868682706,45.809434410043636
Estonia,Hydrorun-of-the-river,2045-2050,32.82447243897461,64.9244676914444,50.557938487803945
Estonia,Hydrorun-of-the-river,2050-2055,31.80580407396362,63.905799834847365,49.76982395363144
Estonia,Hydrorun-of-the-river,2055-2060,36.63224040244298,68.73223283075478,53.29703240202549
Spain,Hydrorun-of-the-river,2020-2025,708.501428356799,17156.343695952823,4.129676118134276
Spain,Hydrorun-of-the-river,2025-2030,3876.267836631116,28600.9612381781,13.552928533943346
Spain,Hydrorun-of-the-river,2030-2035,13659.012818399218,43105.47463213072,31.687420066633077
Spain,Hydrorun-of-the-river,2035-2040,14508.029280753915,38416.666570146524,37.7649353159341
Spain,Hydrorun-of-the-river,2040-2045,17592.346506830207,42229.11758054231,41.65928040830325
Spain,Hydrorun-of-the-river,2045-2050,27426.957381172993,52142.11782644356,52.60039009628331
Spain,Hydrorun-of-the-river,2050-2055,18230.78992398354,45822.515664059254,39.78565921094289
Spain,Hydrorun-of-the-river,2055-2060,4370.827953386381,31955.232954058083,13.677972429962576
Finland,Hydrorun-of-the-river,2020-2025,1739.3202615717637,17789.320211014852,9.777328424808529
Finland,Hydrorun-of-the-river,2025-2030,1163.5029659312215,17213.502768870043,6.759245817390356
Finland,Hydrorun-of-the-river,2030-2035,2651.3989368468197,18701.398930877494,14.177543330564163
Finland,Hydrorun-of-the-river,2035-2040,449.4580414009967,16499.4578940529,2.724077629017135
Finland,Hydrorun-of-the-river,2040-2045,0.04532146263815884,14737.363809608827,0.00030752760957566266
Finland,Hydrorun-of-the-river,2045-2050,1445.0319482454486,17495.03194286483,8.259670247900235
Finland,Hydrorun-of-the-river,2050-2055,386.56654950151056,16436.56630404164,2.351869255115994
Finland,Hydrorun-of-the-river,2055-2060,1548.3796101194484,17598.37926406817,8.798421643752627
France,Hydrorun-of-the-river,2020-2025,5033.781143476563,63900.61677601419,7.8775157384178
France,Hydrorun-of-the-river,2025-2030,17136.259926104998,78468.30225287552,21.838448690887827
France,Hydrorun-of-the-river,2030-2035,22950.609539408437,84637.74146241488,27.1162830468487
France,Hydrorun-of-the-river,2035-2040,11560.633889207846,74015.89666794223,15.619122931216193
