Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,2.4195640435209498e-05,3503.0000241956404,2.9474816983565688e-05,124704.00002947482,28.50027824024433,2236.5677463937695,559.1419365165633
Austria,HydroPumpStorage,2025-2030,4.0351087302525344e-05,3503.000064298243,3.0211179971882963e-05,124704.00005918901,35.68242063725593,3215.0000717457665,803.7500178469492
Austria,HydroPumpStorage,2030-2035,1751.4974524715346,5254.49751651231,1.871865640644743e-05,124704.00007741075,1129030875.8025281,8989.505987357456,2247.376496756345
Austria,HydroPumpStorage,2035-2040,0.0016951604597885883,5254.499194909467,6.304387875218132e-06,124704.00008321812,856.4896378522658,9772.744246136972,2443.1860613992567
Austria,HydroPumpStorage,2040-2045,2.4220735357290255e-06,5254.499196670274,8.980946447627048e-06,124704.00009170211,1.1617854120444018,11063.641403399675,2765.9103507661093
Austria,HydroPumpStorage,2045-2050,4.2100133758165094e-05,5254.499215260694,2.6332135720041045e-05,124704.00008855943,10.215007881771463,10142.106194238202,2535.5265484435204
Austria,HydroPumpStorage,2050-2055,3.041086736186866e-05,5254.49922157008,1.5179751146022614e-05,124704.00007352802,4.249871818189358,9937.136895448717,2484.284223775678
Austria,HydroPumpStorage,2055-2060,1751.4949569027508,5254.496726002349,3.882950045384466e-05,124704.00009363884,102417829.68584296,10277.374137798075,2569.343534385622
Austria,Li-Ion_BESS,2020-2025,0.004560010828926373,0.004560010828926373,0.009120021657852745,0.009120021657852745,2691.8498970995797,0.013110961173933169,0.0014567553837793457
Austria,Li-Ion_BESS,2025-2030,0.06229293877043622,0.06685270111548848,0.12458587754119108,0.13370540223097696,23432.68962333325,0.05907469660553015,0.00656383635989956
Austria,Li-Ion_BESS,2030-2035,0.00031915128874284565,0.0671716039202964,0.0006383025770282277,0.1343432078405928,92.6538715975373,0.09039675712100922,0.010044065496328919
Austria,Li-Ion_BESS,2035-2040,1853.0395338318945,1853.1021454591614,3706.079067857339,3706.204290918323,421507356.48256767,1372.4699828771982,152.49666474486386
Austria,Li-Ion_BESS,2040-2045,1933.2552487553987,3786.295101242286,3866.510497303891,7572.590202484572,344558665.2055031,2817.4984354158273,313.05538169333454
Austria,Li-Ion_BESS,2045-2050,11119.764310042354,14906.059091982097,22239.528619771627,29812.118183964194,1552826969.4584737,11188.908316650715,1243.212035165296
Austria,Li-Ion_BESS,2050-2055,3627.094247551461,16680.113805803026,7254.188495333078,33360.22761160605,295237603.6694413,11749.07473620432,1305.4527484482467
Austria,Li-Ion_BESS,2055-2060,8.818104640198482e-05,14746.858645199123,0.0001763629004101292,29493.717290398246,3.153289544276838,9935.051995548141,1103.894666152299
BosniaH,HydroPumpStorage,2020-2025,5.565897708947887e-06,440.0000055658977,3.108655619143974e-06,2199.3400031086558,6.17060143440539,27.690526604824377,6.922631584179971
BosniaH,HydroPumpStorage,2025-2030,4.724030207103405e-06,440.0000100414439,6.833463823345111e-06,2199.3400094451517,4.4486621022622534,343.78554269456737,85.94638560828126
BosniaH,HydroPumpStorage,2030-2035,1.5676124039348716e-06,440.0000113605724,0.000355809821832685,2199.3403647580058,23.94631529587146,574.8624093555892,143.71560227418604
BosniaH,HydroPumpStorage,2035-2040,6.816591850555612e-07,440.00001179374766,219.93287838248,2419.273245536915,11108105.212389348,537.6933295864665,134.42333233064662
BosniaH,HydroPumpStorage,2040-2045,8.018604602596521e-07,440.00001234712425,1.629407516153783e-05,2419.2732605693022,0.8507435509937047,591.3516315022209,147.83790780926603
BosniaH,HydroPumpStorage,2045-2050,8.943138845869715e-07,440.0000076755404,1.2272323978386772e-05,2419.2732664597884,0.48446211361216684,664.8347605296265,166.20869006991347
BosniaH,HydroPumpStorage,2050-2055,1.2813101792473106e-06,440.0000042328204,4.221784211193354e-05,2419.27330298872,0.7324864902322864,633.9720565216718,158.49301406323085
BosniaH,HydroPumpStorage,2055-2060,3.5155106817718577e-06,440.0000061807188,6.863067898279012e-05,2419.2730140200956,0.6068824159882024,622.5552742684965,155.63881850265827
BosniaH,Li-Ion_BESS,2020-2025,0.004511354563335067,0.004511354563335067,0.009022709126670135,0.009022709126670135,2663.1272978692523,0.012772876332963742,0.0014191933842426915
BosniaH,Li-Ion_BESS,2025-2030,0.008622196237845697,0.013133302317191783,0.0172443924756063,0.026266604634383565,3243.4053088451087,0.02224621843746143,0.0024717872258243497
BosniaH,Li-Ion_BESS,2030-2035,0.19334932964276683,0.20648238347602454,0.3866986592855077,0.4129647669520491,56131.88668004093,0.21153922785582277,0.023504343980909333
BosniaH,Li-Ion_BESS,2035-2040,610.7802343388811,610.9822056804544,1221.5604686760034,1221.9644113609088,138933011.00998914,385.9085185341745,42.878724266678624
BosniaH,Li-Ion_BESS,2040-2045,0.0005511961845839233,610.9741343676861,0.001102394128679897,1221.9482687353723,98.23828945801745,429.6458048361679,47.73842274458621
BosniaH,Li-Ion_BESS,2045-2050,0.0002674624877926818,610.7810525004146,0.0005349252244142218,1221.5621050008292,37.34999438951404,434.1514062601668,48.23904512581493
BosniaH,Li-Ion_BESS,2050-2055,687.396266218859,687.3970843808773,1374.7925324356804,1374.7941687617547,55952564.93289108,494.935461112991,54.99282899749144
BosniaH,Li-Ion_BESS,2055-2060,0.00027858657935275554,687.396811771034,0.0005571750105706756,1374.793623542068,9.962040731634035,482.87120099740747,53.65235565178317
Belgium,HydroPumpStorage,2020-2025,1.3759811508862185e-05,1308.0000137598115,2.4757482606219128e-06,7762.500002475748,14.707755651670576,1124.720910335916,281.18022750934307
Belgium,HydroPumpStorage,2025-2030,1.102074747539229e-05,1308.0000245320753,5.457263100765721e-06,7762.500007436043,9.515766607920645,754.46253095154,188.6156326575424
Belgium,HydroPumpStorage,2030-2035,9.386475976353647e-06,1308.000033670067,2.7656890306808017e-05,7762.500034595966,7.8333939148843035,1458.143420793792,364.53585511308813
Belgium,HydroPumpStorage,2035-2040,7.3163017892499215e-06,1308.000040737885,776.2476348806645,8538.747673037766,39205784.091908514,1758.1848790103718,439.54621966697454
Belgium,HydroPumpStorage,2040-2045,6.729709216104455e-06,1308.0000472191102,4.768678085713425e-05,8538.747718576511,4.023488541267248,1903.836975225331,475.9592437221778
Belgium,HydroPumpStorage,2045-2050,1.62826830674904e-05,1308.0000497419821,0.0003808600480879855,8538.74809836228,12.415269778018725,1894.0863727179942,473.5215930984038
Belgium,HydroPumpStorage,2050-2055,8.313832554374386e-06,1308.000047035067,2.282558705137967e-05,8538.74811192243,1.4104270964879368,2079.2157198394716,519.8039298815258
Belgium,HydroPumpStorage,2055-2060,8.531122874363487e-06,1308.000046179714,2.879719260198082e-05,8538.748112925128,0.6672435333672406,1762.503333910553,440.6258333908789
Belgium,Li-Ion_BESS,2020-2025,0.005001746928764195,0.005001746928764195,0.01000349385752839,0.01000349385752839,2952.6140311123,0.013800774193864315,0.001533402761233716
Belgium,Li-Ion_BESS,2025-2030,0.063710958588562,0.06871245703341958,0.12742191717718995,0.13742491406683915,23966.105110402925,0.05249218746421539,0.005832447382926969
Belgium,Li-Ion_BESS,2030-2035,0.03784966328471629,0.10656187183415822,0.0756993265690337,0.21312374366831643,10988.26157965499,0.12534311362994202,0.01392699361008587
Belgium,Li-Ion_BESS,2035-2040,917.5480706061591,917.6496305667235,1835.0961412153504,1835.299261133447,208712903.64209497,653.2146336664827,72.57940372170869
Belgium,Li-Ion_BESS,2040-2045,491.8125507585604,1409.3984705306484,983.6251015111443,2818.796941061297,87654372.66334118,1169.9205886148227,129.99117649403487
Belgium,Li-Ion_BESS,2045-2050,2660.8614867117344,4070.2221075695547,5321.722973368644,8140.4442151391095,371577792.7812355,2886.3769802592324,320.7085533442518
Belgium,Li-Ion_BESS,2050-2055,0.000387204505014264,3152.674424176309,0.0007744528316459234,6305.348848352618,31.51917821123463,2284.446753782366,253.82741706956554
Belgium,Li-Ion_BESS,2055-2060,5.5207283596094655e-05,2660.8619286220637,0.00011041657415471503,5321.723857244127,1.9741956223787176,1752.6676692408673,194.74085211862206
Bulgaria,HydroPumpStorage,2020-2025,1.2191469522804255e-07,864.0000001219147,3.4525894534453982e-06,1499.2000034525895,0.49053232260121093,102.60616331230584,25.651540754472446
Bulgaria,HydroPumpStorage,2025-2030,9.49400641532177e-06,864.0000093674371,1.1001378181678778e-05,1499.200013957,8.715828679194065,70.72071556740913,17.68017881701144
Bulgaria,HydroPumpStorage,2030-2035,7.382958289387468e-06,864.0000165019117,149.91943730315722,1649.1194512993254,9663945.359117746,492.39778976864443,123.09944736821777
Bulgaria,HydroPumpStorage,2035-2040,2.7052124030655347e-06,864.0000189586397,1.602466340714035e-05,1649.1194656008977,2.1756704852830513,345.2596499441359,86.31491241318146
Bulgaria,HydroPumpStorage,2040-2045,7.615975961592724e-06,864.0000263261318,9.530204673807486e-06,1649.1194746950925,2.9984430022359674,379.78562847000194,94.94640704519392
Bulgaria,HydroPumpStorage,2045-2050,4.6863071816359685e-06,864.0000308905243,8.267788697023488e-06,1649.1194807603124,1.258931442166508,425.4513783714037,106.36284451792302
Bulgaria,HydroPumpStorage,2050-2055,6.32218529886253e-06,864.0000277187033,1.4295151727446426e-05,1649.1194834330938,1.0317860223591084,389.5964295656508,97.39910731881261
Bulgaria,HydroPumpStorage,2055-2060,1.5710010888713925e-05,864.0000360457559,149.9189578692515,1649.1190039991889,876644.8506763878,363.3650765638795,90.84126906912711
Bulgaria,Li-Ion_BESS,2020-2025,0.004805312845186633,0.004805312845186633,0.009610625690373267,0.009610625690373267,2836.655739015523,0.016692587359245413,0.0018547155907653145
Bulgaria,Li-Ion_BESS,2025-2030,0.0034196084149549786,0.00822467277625679,0.006839216830130103,0.01644934555251358,1286.3516187338503,0.021138725313257084,0.0023487306817294674
Bulgaria,Li-Ion_BESS,2030-2035,0.09018275901508362,0.09840718330728145,0.1803655180295721,0.1968143666145629,26181.256582924332,0.1253573156951615,0.013928574214756299
Bulgaria,Li-Ion_BESS,2035-2040,3319.552798317973,3319.646400191601,6639.105596633081,6639.292800383202,755092322.1616147,1954.335483491646,217.14838703849838
Bulgaria,Li-Ion_BESS,2040-2045,3046.911776489283,6366.55475709069,6093.823553012773,12733.10951418138,543042547.2459674,4107.760349794412,456.41781662795137
Bulgaria,Li-Ion_BESS,2045-2050,5.553156868696018e-05,6366.464629861557,0.00011106343903280744,12732.929259723114,7.754761834526288,3859.6856356366143,428.8539594987316
Bulgaria,Li-Ion_BESS,2050-2055,4384.156486808258,7431.068318333739,8768.312973575417,14862.136636667477,356860827.6747604,4641.16646142628,515.685162365238
Bulgaria,Li-Ion_BESS,2055-2060,6807.264691872164,11191.421233715024,13614.529383785128,22382.842467430048,243421810.5354447,6750.156083308576,750.0173425718406
Switzerland,HydroPumpStorage,2020-2025,2.8461997317208443e-05,6681.000028461997,4.670850466936827e-05,368989.0000467085,34.78949017335249,1868.5828332280632,467.14570820771996
Switzerland,HydroPumpStorage,2025-2030,0.00012426925262700413,6681.000152482768,1.6824928111359304e-06,368989.0000478941,102.37504077672781,6144.203087485767,1536.050771760482
Switzerland,HydroPumpStorage,2030-2035,2742.726033184428,9423.72618541873,2.7354548518114345e-05,368989.0000747516,1767985657.496648,15959.165500216108,3989.7913749529257
Switzerland,HydroPumpStorage,2035-2040,597.7733625377545,10021.499548240636,9.228974857436392e-05,368989.00016654446,301916173.2334507,18518.063508332172,4629.515876982239
Switzerland,HydroPumpStorage,2040-2045,2.1102218845465822e-06,10021.499550057475,5.208445604291671e-06,368989.00017125596,0.9206565594636943,20077.034125953513,5019.2585313829095
Switzerland,HydroPumpStorage,2045-2050,0.00016135366181189545,10021.499683369577,0.00018143633975760157,368989.00030598376,40.98880143474008,22168.12801931087,5542.032004072333
Switzerland,HydroPumpStorage,2050-2055,7.580598653052833e-05,10021.499633997979,1.5512859701071047e-05,368989.0003198142,10.296599150899834,23665.612037919356,5916.403009381706
Switzerland,HydroPumpStorage,2055-2060,2742.7245273050125,10021.498128118685,5.1854462826352854e-05,368989.0003443139,160379504.55637094,20739.360697080043,5184.8401741234775
Switzerland,Li-Ion_BESS,2020-2025,0.00448559714550914,0.00448559714550914,0.00897119429101828,0.00897119429101828,2647.9222676345767,0.012893413880948652,0.001432578722677533
