Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.007581310545613838,0.007581310545613838
EnergyhubEU,2025-2030,0.03169080830950899,0.039272107669038867
EnergyhubEU,2030-2035,41851.860662856896,41851.89993679647
EnergyhubEU,2035-2040,12620.778789883008,54472.67872409057
EnergyhubEU,2040-2045,11515.889484040466,65988.56820950123
EnergyhubEU,2045-2050,1.295088268084032e-06,65988.56821048254
EnergyhubEU,2050-2055,4.0252498716944007e-07,65988.56821070354
EnergyhubEU,2055-2060,3.945063525346298e-07,65988.56820979451
EnergyhubNorth,2020-2025,0.007026668644402482,0.007026668644402482
EnergyhubNorth,2025-2030,0.0046752475665210996,0.011701905024819437
EnergyhubNorth,2030-2035,0.039509059497121794,0.051210953335842656
EnergyhubNorth,2035-2040,3616.923634285003,3616.9748452231615
EnergyhubNorth,2040-2045,53131.14205062786,56748.116807044185
EnergyhubNorth,2045-2050,4179.726256259629,60927.843089260954
EnergyhubNorth,2050-2055,4.958989725223817e-07,60927.84307939664
EnergyhubNorth,2055-2060,4.656226469644872e-07,60927.84304728529
EnergyhubCentral,2020-2025,0.008175832141525605,0.008175832141525605
EnergyhubCentral,2025-2030,1256.0996580119054,1256.107834039728
EnergyhubCentral,2030-2035,49280.79956068478,50536.90743258093
EnergyhubCentral,2035-2040,1887.161809624952,52424.06955240409
EnergyhubCentral,2040-2045,8684.890583636681,61108.960094528265
EnergyhubCentral,2045-2050,2.8509279209325885e-06,61108.960146260775
EnergyhubCentral,2050-2055,4.396443173387123e-07,61108.960147412494
EnergyhubCentral,2055-2060,3.752680671446317e-07,61108.96013097123
