Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00033623260394535613,40897.51700380977,8.221345171493779e-07
Austria,Hydrorun-of-the-river,2025-2030,165.27316758429458,41457.60270187394,0.3986558720551008
Austria,Hydrorun-of-the-river,2030-2035,12910.960022566165,53591.41813188591,24.091469255008164
Austria,Hydrorun-of-the-river,2035-2040,12359.929277094607,54073.86090171612,22.857493567104147
Austria,Hydrorun-of-the-river,2040-2045,14936.792428668963,55557.17229358987,26.88544397064707
Austria,Hydrorun-of-the-river,2045-2050,15368.591150161174,55497.30289817905,27.69250098217915
Austria,Hydrorun-of-the-river,2050-2055,14231.68405179213,54669.252223215764,26.03233714206269
Austria,Hydrorun-of-the-river,2055-2060,11240.865774900676,53212.278099654955,21.124571576975136
Belgium,Hydrorun-of-the-river,2020-2025,410.6823644106948,881.482364364655,46.58996946657031
Belgium,Hydrorun-of-the-river,2025-2030,45.78731908850651,516.5873191250173,8.863422967110367
Belgium,Hydrorun-of-the-river,2030-2035,258.11697264672296,728.9169726127172,35.411025170882354
Belgium,Hydrorun-of-the-river,2035-2040,242.47698070890337,713.2769807238737,33.99478565294846
Belgium,Hydrorun-of-the-river,2040-2045,570.1009156440609,1040.9009156740142,54.769950439990126
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841694660652,1879.984169425989,74.95723593759452
Belgium,Hydrorun-of-the-river,2050-2055,818.1151870676292,1288.9151870692335,63.473159077897066
Belgium,Hydrorun-of-the-river,2055-2060,515.7963316753553,986.5963307085734,52.28038211990008
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.496651268292,6836.323336996808,41.901128868001486
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3267294028788,5523.441236174871,52.21974139079193
Bulgaria,Hydrorun-of-the-river,2030-2035,4635.323105925007,7434.066967398047,62.352452920495935
Bulgaria,Hydrorun-of-the-river,2035-2040,4089.4166215383857,5931.506879705053,68.94397502143222
Bulgaria,Hydrorun-of-the-river,2040-2045,4229.201544973399,6112.502434696144,69.18936376969533
Bulgaria,Hydrorun-of-the-river,2045-2050,5455.039013415654,7066.370593240877,77.19718264753206
Bulgaria,Hydrorun-of-the-river,2050-2055,4835.428882882312,6488.368388368894,74.52457372103508
Bulgaria,Hydrorun-of-the-river,2055-2060,4238.655431000729,5667.7636264277335,74.78532469555826
Switzerland,Hydrorun-of-the-river,2020-2025,0.00021777810294613538,1347.1248797078003,1.616614066198323e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00015684806491569021,19731.604344998002,7.949078147588717e-07
Switzerland,Hydrorun-of-the-river,2030-2035,4.416207516120062,19379.38866271268,0.022788167330671058
Switzerland,Hydrorun-of-the-river,2035-2040,0.0013477095856832928,17539.12323951082,7.684019134133649e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.004460892842579229,19918.02188684875,2.2396264387703164e-05
Switzerland,Hydrorun-of-the-river,2045-2050,173.5178252443525,13012.330521661577,1.3334876865869494
Switzerland,Hydrorun-of-the-river,2050-2055,100.81100330207641,19271.6569092767,0.5231050125926097
Switzerland,Hydrorun-of-the-river,2055-2060,14.150815837513047,17078.51219815897,0.08285742735270862
CzechR,Hydrorun-of-the-river,2020-2025,85.05706618260386,1340.1125369180472,6.347009212988611
CzechR,Hydrorun-of-the-river,2025-2030,147.45229070953167,1372.6125263903473,10.742455563719574
CzechR,Hydrorun-of-the-river,2030-2035,296.82376346946245,1444.1123502070188,20.554063084282305
CzechR,Hydrorun-of-the-river,2035-2040,419.13896632536324,1951.9958139050298,21.472329158681053
CzechR,Hydrorun-of-the-river,2040-2045,300.51202753028235,1769.28639469734,16.984928411303866
CzechR,Hydrorun-of-the-river,2045-2050,577.2740885677214,1766.4206649388314,32.68044243513827
CzechR,Hydrorun-of-the-river,2050-2055,279.6803343180164,1606.0631358584408,17.414031122040992
CzechR,Hydrorun-of-the-river,2055-2060,263.2205385140373,1735.3241647657353,15.16837855764957
Germany,Hydrorun-of-the-river,2020-2025,0.0003886394452518213,22743.06005329365,1.7088265358360978e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0001515467964148724,21792.578341419787,6.954055368787498e-07
Germany,Hydrorun-of-the-river,2030-2035,441.7456165067863,23254.427684322745,1.8996193864818032
Germany,Hydrorun-of-the-river,2035-2040,0.0017064092309681256,22720.140507346212,7.5105575619850775e-06
Germany,Hydrorun-of-the-river,2040-2045,493.38696147589263,23008.45462299013,2.14437244726075
Germany,Hydrorun-of-the-river,2045-2050,877.0426892383808,23652.132050034143,3.708091462465494
Germany,Hydrorun-of-the-river,2050-2055,1036.3880537772213,23733.124643617673,4.3668419954804705
Germany,Hydrorun-of-the-river,2055-2060,28.5401461345138,22085.227465137054,0.12922731350431527
Denmark,Hydrorun-of-the-river,2020-2025,0.00017171272523748421,21.24842214963376,0.0008081198878122057
Denmark,Hydrorun-of-the-river,2025-2030,0.00037596372742014896,26.92526549711079,0.0013963231948835998
Denmark,Hydrorun-of-the-river,2030-2035,0.0022835406749619966,23.140881455282834,0.00986799348751984
Denmark,Hydrorun-of-the-river,2035-2040,0.0027898138618729306,20.71755605272834,0.01346594093807476
Denmark,Hydrorun-of-the-river,2040-2045,0.0061483996416128485,18.941998470270555,0.03245908635914396
Denmark,Hydrorun-of-the-river,2045-2050,0.01016389529770121,30.282966170029976,0.0335630771458579
Denmark,Hydrorun-of-the-river,2050-2055,0.009194081803460891,22.95406222247556,0.04005426888866089
Denmark,Hydrorun-of-the-river,2055-2060,0.020448862594542875,24.855739378049613,0.0822701842963541
Estonia,Hydrorun-of-the-river,2020-2025,0.0003006139319308334,32.100300481945276,0.000936483233544536
Estonia,Hydrorun-of-the-river,2025-2030,2.439007389565444,34.53900732925308,7.061602455203476
Estonia,Hydrorun-of-the-river,2030-2035,12.342267176841418,44.44226709945443,27.771461679084613
Estonia,Hydrorun-of-the-river,2035-2040,21.946039186583352,54.04603921314736,40.606193360502004
Estonia,Hydrorun-of-the-river,2040-2045,27.13591954134465,59.23591908642113,45.80990716419072
Estonia,Hydrorun-of-the-river,2045-2050,32.82503026830689,64.92502965036903,50.558360073263856
Estonia,Hydrorun-of-the-river,2050-2055,31.806352970403815,63.906352318252786,49.77025259086702
Estonia,Hydrorun-of-the-river,2055-2060,36.63282125006648,68.73282053163379,53.29742176549627
Spain,Hydrorun-of-the-river,2020-2025,616.3488546766168,17703.93352039771,3.4814232326758696
Spain,Hydrorun-of-the-river,2025-2030,3091.9585530665354,27567.580033560815,11.215923012837472
Spain,Hydrorun-of-the-river,2030-2035,13087.016452135475,42946.93453426473,30.47252753673058
Spain,Hydrorun-of-the-river,2035-2040,14140.831008751957,38416.66677575822,36.80910447356963
Spain,Hydrorun-of-the-river,2040-2045,17587.824073249023,42229.11773338921,41.64857097959897
Spain,Hydrorun-of-the-river,2045-2050,27547.539893325225,52142.11799810155,52.83164733417275
Spain,Hydrorun-of-the-river,2050-2055,18157.826172529465,45822.51581330062,39.626427860294186
Spain,Hydrorun-of-the-river,2055-2060,4435.315833543761,31955.23306410991,13.879779329555966
Finland,Hydrorun-of-the-river,2020-2025,1739.3202158042754,17789.320211014852,9.777328167533446
Finland,Hydrorun-of-the-river,2025-2030,1163.5027890626063,17213.502768870043,6.759244789891087
Finland,Hydrorun-of-the-river,2030-2035,2651.398932842332,18701.398930877494,14.17754330915139
Finland,Hydrorun-of-the-river,2035-2040,449.4579129623846,16499.4578940529,2.7240768505757287
Finland,Hydrorun-of-the-river,2040-2045,0.0055556652351698935,14737.363809608827,3.7697822398518624e-05
Finland,Hydrorun-of-the-river,2045-2050,1445.0319435092852,17495.03194286483,8.259670220828758
Finland,Hydrorun-of-the-river,2050-2055,386.56633567298616,16436.56630404164,2.3518679541841543
Finland,Hydrorun-of-the-river,2055-2060,1548.3793090023485,17598.37926406817,8.79841993270245
France,Hydrorun-of-the-river,2020-2025,5033.781023587262,63900.6166953363,7.8775155607452
France,Hydrorun-of-the-river,2025-2030,13047.102207849093,74157.93637176364,17.593669465722762
France,Hydrorun-of-the-river,2030-2035,22785.0515193831,84637.74157240814,26.920675216611663
France,Hydrorun-of-the-river,2035-2040,11560.633994841968,74015.89676712215,15.619123053005012
France,Hydrorun-of-the-river,2040-2045,23086.51579608893,84388.62572899145,27.357378552685248
France,Hydrorun-of-the-river,2045-2050,32014.14896979334,93049.86949250122,34.4053668687556
France,Hydrorun-of-the-river,2050-2055,21281.966689790457,80749.43329730205,26.35556166869287
France,Hydrorun-of-the-river,2055-2060,6043.45997386424,71551.1380899647,8.446350589511946
Greece,Hydrorun-of-the-river,2020-2025,0.00017034048276886687,772.0666923074332,2.206292338033385e-05
Greece,Hydrorun-of-the-river,2025-2030,0.001973244336194665,604.56813270586,0.0003263890750183992
Greece,Hydrorun-of-the-river,2030-2035,0.004978605473483451,670.4650663861659,0.0007425600114139187
Greece,Hydrorun-of-the-river,2035-2040,794.5033462704581,2836.4292841506885,28.01068761734901
Greece,Hydrorun-of-the-river,2040-2045,508.1920062175963,3679.3087048722723,13.812160027361397
Greece,Hydrorun-of-the-river,2045-2050,892.9905621120129,4060.7448664948865,21.99080689555401
Greece,Hydrorun-of-the-river,2050-2055,0.03178670754065127,3233.727056140928,0.0009829743509207902
Greece,Hydrorun-of-the-river,2055-2060,0.02966550961045936,2510.94336998691,0.0011814487720053204
Hungary,Hydrorun-of-the-river,2020-2025,0.00044583305860617316,267.50044567945014,0.0001666662862836579
Hungary,Hydrorun-of-the-river,2025-2030,47.82029635593084,315.32029628466887,15.165625847553759
Hungary,Hydrorun-of-the-river,2030-2035,75.97773497417116,343.47773484477614,22.120133931972877
Hungary,Hydrorun-of-the-river,2035-2040,152.25941195080014,419.759411902131,36.273019170872146
Hungary,Hydrorun-of-the-river,2040-2045,429.2582583599835,696.7582583265156,61.607918274407304
Hungary,Hydrorun-of-the-river,2045-2050,658.8905452521533,926.3905451913097,71.12448941456816
Hungary,Hydrorun-of-the-river,2050-2055,616.1404632991114,883.6404632394673,69.72750671017391
Hungary,Hydrorun-of-the-river,2055-2060,505.66300678098213,773.16300666946,65.4018625333896
Ireland,Hydrorun-of-the-river,2020-2025,0.00020920595431746036,751.3041427867827,2.7845707537490875e-05
Ireland,Hydrorun-of-the-river,2025-2030,0.0019143737995638336,728.9780497636914,0.00026261062321209877
Ireland,Hydrorun-of-the-river,2030-2035,0.00351328091627721,691.0101229865837,0.0005084268376695578
Ireland,Hydrorun-of-the-river,2035-2040,0.006385634070116464,510.04883257349684,0.0012519652359357786
Ireland,Hydrorun-of-the-river,2040-2045,0.010483085230174282,700.3680842552865,0.0014967965368269354
Ireland,Hydrorun-of-the-river,2045-2050,23.12030364920454,825.6202666465724,2.8003556336028956
Ireland,Hydrorun-of-the-river,2050-2055,0.016712809406068993,685.4053861832045,0.0024383831441910737
Ireland,Hydrorun-of-the-river,2055-2060,0.02868150757572872,606.9583117023622,0.004725449346806777
Italy,Hydrorun-of-the-river,2020-2025,6405.72917031623,44245.75758533795,14.477612137076266
Italy,Hydrorun-of-the-river,2025-2030,7418.184572206547,45065.462520089524,16.460908548091854
Italy,Hydrorun-of-the-river,2030-2035,5970.22759241525,43319.87426273764,13.781728811596869
Italy,Hydrorun-of-the-river,2035-2040,3908.7175018015428,41555.57367556605,9.406000582058624
Italy,Hydrorun-of-the-river,2040-2045,6688.4926163689615,44033.78381100826,15.189456906714582
Italy,Hydrorun-of-the-river,2045-2050,5882.205009416674,43075.463107394266,13.655581588876625
Italy,Hydrorun-of-the-river,2050-2055,6324.676432745361,43316.88993738092,14.600947671654959
