Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,4.83160783915082e-06,3503.000004831608,2.7830363251268864e-05,124704.00002783036,7.995376372491581,1926.765542681416,481.6913856128414
Austria,HydroPumpStorage,2025-2030,1.5926322551013687e-06,3503.000006371796,2.890104119285741e-07,124704.0000280145,1.3340394558186959,2368.8414056707993,592.2103533051774
Austria,HydroPumpStorage,2030-2035,1196.1071575871808,4699.107163906694,1.4380005029578192e-07,124704.00002805342,771021338.5418909,7301.432621624946,1825.3581554308919
Austria,HydroPumpStorage,2035-2040,555.3927580004898,5254.499922425548,1.2014641634603788e-05,124704.00003996315,280511083.9986634,9551.8211540804,2387.9552884491663
Austria,HydroPumpStorage,2040-2045,3.110810367956204e-07,5254.4999219609845,1.102536575689173e-06,124704.0000409608,0.1474324416386671,11160.648524971046,2790.1621312444117
Austria,HydroPumpStorage,2045-2050,1.1138203310510496e-05,5254.499928474533,3.0540618346807496e-05,124704.00004367105,3.240850706929886,10132.912883684272,2533.228220648779
Austria,HydroPumpStorage,2050-2055,1.6877982756489811e-06,5254.4999285145595,5.552301848609933e-06,124704.00004893434,0.2985571258570609,9795.849624487057,2448.9624061285313
Austria,HydroPumpStorage,2055-2060,1196.1069389120098,5254.49970983973,4.982093862402908e-06,124704.00005377266,69941780.90676172,10265.534362883604,2566.3835908048995
Austria,Li-Ion_BESS,2020-2025,0.0005800299269692477,0.0005800299269692477,0.0011600598539384954,0.0011600598539384954,342.4012700413822,0.0016721423230184021,0.00018578977559110342
Austria,Li-Ion_BESS,2025-2030,0.007990189144645183,0.008570166628058352,0.01598037828920093,0.017140333256116705,3005.6636587152143,0.00623172520138536,0.0006924099395464589
Austria,Li-Ion_BESS,2030-2035,3.820143786400627e-06,0.00857393432834015,7.640287712886255e-06,0.0171478686566803,1.109038660646394,0.011025671470818739,0.0012250706763063833
Austria,Li-Ion_BESS,2035-2040,18.14008567341859,18.148079817956425,36.280170713486726,36.29615963591285,4126290.5086517963,13.33625461772061,1.4818060645681348
Austria,Li-Ion_BESS,2040-2045,3608.0548229654396,3626.1949123037616,7216.109646400819,7252.389824607523,643053499.9036193,2682.4990162439663,298.0554462452584
Austria,Li-Ion_BESS,2045-2050,9971.09982533321,13597.294733838924,19942.199651139064,27194.589467677848,1392420944.6123147,10210.129519584965,1134.4588355062992
Austria,Li-Ion_BESS,2050-2055,5048.286917322921,18627.44156553031,10096.573833601644,37254.88313106062,410919604.014944,13048.996615870014,1449.8885128626696
Austria,Li-Ion_BESS,2055-2060,1.833676882919941e-05,15019.386760490339,3.6555388148506105e-05,30038.773520980678,0.6538454537087007,10137.745310532968,1126.4161456110432
BosniaH,HydroPumpStorage,2020-2025,1.3220095524957287e-06,440.00000132200955,4.606304173648823e-07,2199.3400004606306,1.436476223943826,21.34876560538569,5.337191387145839
BosniaH,HydroPumpStorage,2025-2030,5.785890399296757e-07,440.0000018481558,7.851783072243512e-07,2199.340001140922,0.5406034486882398,290.14146228004927,72.53536555616935
BosniaH,HydroPumpStorage,2030-2035,2.0648982607564263e-07,440.00000200220035,4.764286793980199e-05,2199.3400486789033,3.2042069298149567,536.9082051729797,134.22705127959463
BosniaH,HydroPumpStorage,2035-2040,1.5440194596966317e-07,440.00000210416,219.93387267760332,2419.2739209734095,11108155.164748875,562.9649521328917,140.7412380188402
BosniaH,HydroPumpStorage,2040-2045,9.113271154596815e-08,440.0000021428489,2.425262593761635e-06,2419.2739239435405,0.11675315946123813,594.4765039152504,148.61912596491814
BosniaH,HydroPumpStorage,2045-2050,1.840296899742994e-07,440.00000100486903,1.651591211183162e-06,2419.2739240688666,0.07973842044974423,661.1922127035367,165.29805316292507
BosniaH,HydroPumpStorage,2050-2055,7.98363048391665e-07,440.00000122464303,6.414060722321144e-06,2419.2739303917756,0.1916397130571639,634.2266446897625,158.5566611581543
BosniaH,HydroPumpStorage,2055-2060,3.550948968459018e-07,440.00000137324827,1.3172995757069937e-05,2419.273896422875,0.09779246648853161,621.1717614048497,155.29294033761923
BosniaH,Li-Ion_BESS,2020-2025,0.0005774771895009712,0.0005774771895009712,0.0011549543790019424,0.0011549543790019424,340.8943468455616,0.0016510258758316325,0.0001834441332122615
BosniaH,Li-Ion_BESS,2025-2030,0.0008432286887802955,0.0014206534347516097,0.001686457377599604,0.0028413068695032195,317.1967246375814,0.002603344031052786,0.00028925731948700533
BosniaH,Li-Ion_BESS,2030-2035,0.00960726846974915,0.011027869460949283,0.01921453693942192,0.022055738921898566,2789.118048886945,0.01280155885350157,0.0014223923320586065
