BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1653.647886291954,49.609436588758754
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3880.95733250528,116.4287199751583
Switzerland,Austria,2030-2035,346.83469506037636,1546.8346950603764,83037800.07898463,6750.661535923664,202.51984607771016
Switzerland,Austria,2035-2040,653.1651004627673,2199.999795470506,112336067.63469288,9915.439183383658,297.46317550150894
Switzerland,Austria,2040-2045,1000.0001228256345,3199.9999181506637,119155013.89176612,16294.369365018067,488.8310809505429
Switzerland,Austria,2045-2050,2.8481155163556136e-07,3199.9999187081485,0.02214681823597933,14675.952512185948,440.2785753655795
Switzerland,Austria,2050-2055,3.2408374088575124e-07,3199.9999183540754,0.01468913873950696,14484.921245874206,434.5476373762271
Switzerland,Austria,2055-2060,9.586107710281975e-07,3199.9999196539407,0.019087779669548794,16592.18420511075,497.765526153323
CzechR,Austria,2020-2025,0.0,900.0,0.0,4573.054738813518,137.19164216440558
CzechR,Austria,2025-2030,0.0,900.0,0.0,3365.8947248048503,100.97684174414547
CzechR,Austria,2030-2035,999.9998959477953,1899.9998959477953,87917381.86086683,8346.363462529634,250.39090387588928
CzechR,Austria,2035-2040,5.55513631432669e-05,1899.9999514467145,3.5084271046092743,8108.193794346366,243.24581383039137
CzechR,Austria,2040-2045,4.2141221369313494e-07,1899.9999518156835,0.018439149205801607,7765.083710471358,232.95251131414062
CzechR,Austria,2045-2050,8.248909325389778e-06,1899.999960012149,0.23554384652636365,11189.972245134953,335.69916735404956
CzechR,Austria,2050-2055,1.797740575272536e-07,1899.99996013948,0.0029921792156938033,7776.01958548635,233.28058756459095
CzechR,Austria,2055-2060,5.597250376418216e-07,1899.9999606467616,0.004092694565559809,11082.541839393318,332.4762551817996
Germany,Austria,2020-2025,0.0,5000.0,0.0,15087.975547617723,452.6392664285321
Germany,Austria,2025-2030,1999.9992782469199,6999.99927824692,891259.6329961268,18117.855714234418,543.5356714270346
