Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.07109873733274397,0.07109873733274397
EnergyhubEU,2025-2030,0.020622709194485892,0.09172134547147619
EnergyhubEU,2030-2035,43024.93219616224,43025.02390534069
EnergyhubEU,2035-2040,12174.448082157782,55199.47198873523
EnergyhubEU,2040-2045,14038.246336698268,69237.71833123213
EnergyhubEU,2045-2050,6.438003038770977e-05,69237.71837795383
EnergyhubEU,2050-2055,3.1947949483682097e-06,69237.71839025391
EnergyhubEU,2055-2060,3.185005230582496e-06,69237.71839153522
EnergyhubNorth,2020-2025,0.06294016059572177,0.06294016059572177
EnergyhubNorth,2025-2030,0.011480560804614405,0.07442062034455793
EnergyhubNorth,2030-2035,0.18489814228582205,0.2593186615746692
EnergyhubNorth,2035-2040,1016.0441202707703,1016.3034388316571
EnergyhubNorth,2040-2045,59744.606822463385,60760.91026965857
EnergyhubNorth,2045-2050,167.01212374179786,60927.92239185823
EnergyhubNorth,2050-2055,4.084200337936191e-06,60927.92240325687
EnergyhubNorth,2055-2060,3.944609603663539e-06,60927.92240003427
EnergyhubCentral,2020-2025,0.08730415619708198,0.08730415619708198
EnergyhubCentral,2025-2030,0.023679070347143467,0.110983125488453
EnergyhubCentral,2030-2035,48870.99404293717,48871.10502670214
EnergyhubCentral,2035-2040,5749.600343191621,54620.70536758536
EnergyhubCentral,2040-2045,8445.833376860206,63066.538747850245
EnergyhubCentral,2045-2050,5.780806237750252e-05,63066.538795308115
EnergyhubCentral,2050-2055,3.322436224399341e-06,63066.53880124417
EnergyhubCentral,2055-2060,3.037916136959247e-06,63066.538807664576
