Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999730571895,0.0,12404.1595543961
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7252846269369337,0.0,7381.781791233671
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.645235699035593,0.0,4412.2448011233455
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0035781604541247776,0.0,17.07079799178322
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,4.1857524832955495e-08,0.0,0.0001384553160618541
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.9252315881024935e-07,0.0,0.00015920587103918313
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.2797922868289944,0.0,30286.765205909975
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.467555208403474,0.0,31145.598930287724
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.566276167495558,0.0,25344.314740234728
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.008248020474212152,0.0,257.5459937419021
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00026894225588814015,0.0,5.8224556869290796
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.308793613575461e-08,0.0,0.00023320768055132992
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999910794316,0.0,47632.499433454876
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7359699556707343,0.0,28763.970390552808
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6495397704272502,0.0,17056.227358200897
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.02119053544985366,0.0,388.2146845442915
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.1163486465423988e-08,0.0,0.0001417986050838155
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.970171023635062e-08,0.0,0.0001578277808555311
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499953637982916,0.0,125525.6440455963
