Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999679277917,0.0,12404.159469561624
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7258108677670928,0.0,7387.137750582037
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6400285705845326,0.0,4376.637463415128
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0033633217649419998,0.0,16.045838963008826
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.6586725468076486e-08,0.0,0.00018717621242189192
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.8085094289075312e-07,0.0,0.00014955360211785107
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.28300186821830003,0.0,30634.193789624176
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.467953879755196,0.0,31172.155918216733
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5523316595415851,0.0,24720.21289952641
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.004696245834851644,0.0,146.6411612549576
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002695796916601962,0.0,5.836255829728515
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.437641128595898e-08,0.0,0.00024018137964614081
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999896750099,0.0,47632.499344259864
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7362087128995738,0.0,28773.301757693436
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6495422334172293,0.0,17056.29203371268
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.019309320149005084,0.0,353.7504584605708
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.0927628538085494e-08,0.0,0.00013880273769076242
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.722763978426169e-08,0.0,0.00014997137013492322
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499914745939128,0.0,125524.99311505983
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7440270661074506,0.0,76631.83917257158
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6413596308925038,0.0,44382.382963252254
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04791321335332103,0.0,2313.220824207154
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.581640094766358e-09,0.0,0.00015336450101986187
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.410280737034101e-08,0.0,0.0002017026080765679
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492864129685725,0.0,13134.061704186975
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6196714531060896,0.0,6684.352110983312
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.556077082125877,0.0,4030.150901015823
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07507310532371059,0.0,379.5976285598209
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022644584562586654,0.0,0.7938629761945729
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001433259029570195,0.0,0.12561626773584447
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999497719333,0.0,6615.989556922143
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6636958449075274,0.0,3602.8759572921076
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6182187010703635,0.0,2254.8145640521097
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.029926193865342926,0.0,76.15053821198845
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,1.0162132692528566e-07,0.0,0.0001792868487265124
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.2332584362322517e-07,0.0,0.00014260803654352175
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6783229817070525,0.0,1354.8009249038616
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5656514288844876,0.0,695.2395605430222
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.527792880408009,0.0,435.85054865188624
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.027539467124102813,0.0,15.86654622046963
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.55594837293933e-07,0.0,0.00014204449132608526
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.039355971209167e-06,0.0,0.00020365824470883293
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999084155261,0.0,5413.679338921273
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7017595602205078,0.0,3117.211647979128
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6080719912727618,0.0,1814.7693415600227
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.007882996781569434,0.0,16.413854621710314
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023963143177541178,0.0,0.34594343721970966
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,4.559817056032271e-07,0.0,0.00016456926933267234
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999906204936,0.0,49669.19937883679
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.733052753164573,0.0,29874.989790754244
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6111997117585813,0.0,16735.71065514118
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.0638064251875402,0.0,1218.92849766345
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.0850692054747503e-08,0.0,0.00014371871834817745
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,4.72481155818974e-08,0.0,0.00015645174016402544
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999783263946,0.0,16405.289525917637
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6978029242383659,0.0,9392.951249213078
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6096699656237025,0.0,5513.819761345058
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.01234485256869296,0.0,77.89264861409711
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.0002694368051618594,0.0,1.1787170467610124
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.001828848660721992,0.0,2.0001861763503945
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499999888189217,0.0,37192.769445526326
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7303941959135918,0.0,22289.54530293266
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6409959257612207,0.0,13142.792354157515
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.003115827020277769,0.0,44.571629894221694
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,0.00022642118633702283,0.0,2.2456616284160082
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,6.73964563945793e-08,0.0,0.0001671107267665748
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499999386667208,0.0,6149.519497106336
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7289364025741191,0.0,3678.0381426524023
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6506985608740768,0.0,2205.946205190422
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.003498560737783271,0.0,8.274795857004989
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,7.874685551204501e-08,0.0,0.00012913476344224796
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,3.521549362681466e-07,0.0,0.00014437225491197974
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.003046775422898399,0.003046775422898399,0.7807348224894924,7542.456542414023,0.020837619340106552
BosniaH,Lignite,2025-2030,4.204868182162747e-07,0.0030471722778181677,0.7684643189470294,0.7782946457595603,0.02051279416208514
BosniaH,Lignite,2030-2035,1.129071124251664e-06,0.003048277713120157,0.6846522716464575,1.5372681916147166,0.01828220988545764
BosniaH,Lignite,2035-2040,1.8081160293812706e-06,0.003050062186835018,0.09825684496341627,1.768469533432968,0.002625279909804691
BosniaH,Lignite,2040-2045,1.826553317213258e-06,0.0030518651009057724,0.005021446055776869,1.237712174082155,0.0001342450375296674
BosniaH,Lignite,2045-2050,2.990806025396485e-06,0.003054832272821151,0.0058609561041957706,1.3225650106884645,0.00015684112362456397
BosniaH,Lignite,2050-2055,2.7650771977796254e-06,0.0030575737133415088,0.008220360070044097,0.7127240124586899,0.00022017696613187252
BosniaH,Lignite,2055-2060,1.5290838312517335e-06,0.00305907916049303,0.008869558309106611,0.17314878381438012,0.00023768228543881337
Bulgaria,Lignite,2020-2025,0.00015212414777422556,0.00015212414777422556,0.3831050525182287,376.5915154151246,0.0005105286794916593
Bulgaria,Lignite,2025-2030,5.150218846231481e-05,0.00020360269955818492,0.38341847574072985,95.32731060430659,0.0006838497216785624
Bulgaria,Lignite,2030-2035,0.0005312322158983686,0.0007348112787782409,0.5697207533218147,723.2904733108182,0.0036672621811833788
Bulgaria,Lignite,2035-2040,1.8755472216150371e-06,0.0007366631893211402,0.1686142617482139,1.8344221643099172,0.0010880964176623454
Bulgaria,Lignite,2040-2045,2.26218388608888e-06,0.0007389017365293455,0.019662626075938723,1.5329049031519628,0.00012727183731760732
Bulgaria,Lignite,2045-2050,3.6029235360570905e-06,0.0007424810233856733,0.02374401599302838,1.5932496338820124,0.0001544342561335959
Bulgaria,Lignite,2050-2055,3.1598257119144394e-05,0.0007740556438273437,0.028394301464694165,8.144740631018305,0.0001925340190792261
Bulgaria,Lignite,2055-2060,6.66256000746415e-05,0.0008406576072238771,0.02806775297326348,7.544479503379335,0.00020669544167877367
CzechR,Lignite,2020-2025,0.0045725016697909255,0.0045725016697909255,0.7851086375630616,11319.473983975247,0.031447616472525516
CzechR,Lignite,2025-2030,6.739110003775587e-06,0.004579217143116494,0.7779810300751527,12.473668628597746,0.03120788605267061
CzechR,Lignite,2030-2035,2.2734749973880683e-06,0.0045814669827111505,0.7065211126341031,3.0954124349185146,0.02835527159506425
CzechR,Lignite,2035-2040,1.7218534322549612e-06,0.004583165198189718,0.12821851199218307,1.6840984132096253,0.005147784408073903
CzechR,Lignite,2040-2045,2.0689874182889114e-06,0.004585210546767657,0.0035059715533612024,1.401990783135737,0.00014082241142989943
CzechR,Lignite,2045-2050,3.4232790647503257e-06,0.004588610191314954,0.0037449066616386437,1.5138090114891047,0.00015053111180851644
CzechR,Lignite,2050-2055,4.911132788615665e-06,0.004593497687427573,0.005741974090730612,1.2658895272907174,0.0002310515236336716
CzechR,Lignite,2055-2060,5.577728349433301e-06,0.004599051779098176,0.006072571540355336,0.6316049260430441,0.00024464990149022036
Germany,Lignite,2020-2025,25468.759513870078,25468.759513870078,0.7999999971646514,63049284951.83172,178485.0660406178
Germany,Lignite,2025-2030,3.957608021183477e-06,25468.759517804046,0.7988709576305657,7.325283455896387,178233.1701975004
Germany,Lignite,2030-2035,3.297394086864098e-06,25468.75952107781,0.7269870300758767,4.489512605606928,162195.41071295898
Germany,Lignite,2035-2040,3.6618617361990504e-06,25468.759524716028,0.3212159775618669,3.5815682239861535,71665.31899505311
Germany,Lignite,2040-2045,3.4533518585049446e-06,25468.75952814574,7.334435137117675e-10,2.3400661762132224,0.00016363589314906054
Germany,Lignite,2045-2050,6.670874423666522e-06,25468.759534792982,1.0289305631926526e-09,2.949928891583103,0.00022956092540550642
Germany,Lignite,2050-2055,5.415945000931745e-06,25468.759540185296,1.122323653054116e-09,1.3960095057813648,0.00025039751531406325
Germany,Lignite,2055-2060,1.0463922868560766e-05,25468.759550625582,0.0007305956926084986,1.1849026728217993,163.00052636821297
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Lignite,2020-2025,0.022619483183094837,0.022619483183094837,0.7976389287873904,55995.74804173115,0.15804949974238053
Hungary,Lignite,2025-2030,4.18694812948066e-07,0.022619878253240168,0.726868459379411,0.7749777567513956,0.14402908226179487
Hungary,Lignite,2030-2035,3.0638308160658854e-06,0.022622918436324087,0.6900769532832915,4.171508381412849,0.13675721854929507
Hungary,Lignite,2035-2040,2.275243520976166e-06,0.02262517004221052,0.14923527080534596,2.2253543371129756,0.029577906793612746
Hungary,Lignite,2040-2045,1.950982821987593e-06,0.022627097386574327,0.000853818262928183,1.3220283073276797,0.00016923819791483466
Hungary,Lignite,2045-2050,3.4633491438457578e-06,0.022630537100819872,0.0008123823140757053,1.5315284102522233,0.00016104951734496328
Hungary,Lignite,2050-2055,5.020732557347318e-06,0.022635534196700155,0.001124359412821501,1.2941398730668476,0.00022294616921953196
Hungary,Lignite,2055-2060,5.718609883259448e-06,0.02264122916990477,0.0019436708283912037,0.6475579207352533,0.00038550216671062384
Ireland,Lignite,2020-2025,2523.5625594786225,2523.5625594786225,0.7780116028856695,6247214938.744547,17199.041938488277
Ireland,Lignite,2025-2030,5.92238958670173e-07,2523.562560047224,0.6430355594486252,1.0961970520230042,14215.206452407294
Ireland,Lignite,2030-2035,2.816115329986412e-06,2523.562562839703,0.6181605036798594,3.8342354416122264,13665.308335034637
Ireland,Lignite,2035-2040,2.2070089231319932e-06,2523.562565023074,0.19535233404567826,2.1586159168719017,4318.5384137629835
Ireland,Lignite,2040-2045,2.4103394755101186e-06,2523.5625674097787,0.00011229394766107725,1.6332983463418693,2.482415833090107
Ireland,Lignite,2045-2050,5.023972183328035e-06,2523.5625724101124,0.0003294499783207574,2.221651878429976,7.282955680599098
Ireland,Lignite,2050-2055,6.229459774946347e-06,2523.5625786159358,1.0672593399465969e-08,1.6057004013540828,0.00023593270612035997
Ireland,Lignite,2055-2060,6.103128701935884e-06,2523.5625846954285,0.0008800901686896396,0.6910996575889251,19.45563255876393
Macedonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Lignite,2020-2025,0.003480130658370003,0.003480130658370003,0.7810499102584363,8615.250751795817,0.023811044268449932
Poland,Lignite,2025-2030,5.570205910300078e-06,0.0034856772276016432,0.76904873661556,10.310100692704697,0.023482543652877236
Poland,Lignite,2030-2035,1.93798897294423e-06,0.0034875915822458053,0.6549008840712,2.6386369643292626,0.020008074859910352
Poland,Lignite,2035-2040,2.1165392406452367e-06,0.003489684482458582,0.2197200832045215,2.070129959899366,0.006716762980027539
Poland,Lignite,2040-2045,2.577398795537776e-06,0.0034922382414451546,0.004720201965642449,1.746501367706494,0.0001444004515510277
