Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,4.7499334868916776e-05,3503.000047499335,4.037583130411804e-05,124704.00004037583,54.11376389929494,1924.5166747983867,481.12916856434737
Austria,HydroPumpStorage,2025-2030,2.617772595358517e-05,3503.0000734065047,4.0758051207246626e-05,124704.00008059277,24.889654886027763,2364.9631415089457,591.2407852482854
Austria,HydroPumpStorage,2030-2035,1331.556405444865,4834.556478580662,2.6881569749117028e-05,124704.00010693324,858333133.1294888,7469.36732322285,1867.341831588866
Austria,HydroPumpStorage,2035-2040,419.94259860828197,5254.49907572261,4.329300502019138e-06,124704.00011072139,212099548.87336248,9589.191553613027,2397.297888246405
Austria,HydroPumpStorage,2040-2045,3.418238827107876e-06,5254.499078032906,8.638922800767604e-06,124704.00011881923,1.4983932085186866,11214.588019639928,2803.647004821564
Austria,HydroPumpStorage,2045-2050,6.522086545212669e-05,5254.499096421661,4.230901303051123e-05,124704.00012075237,15.859540748667046,10160.20928694669,2540.0523224838475
Austria,HydroPumpStorage,2050-2055,3.9773198287916326e-05,5254.499111382726,2.5515968467812644e-05,124704.0001055103,5.63361963986459,9800.275831295708,2450.068957730144
Austria,HydroPumpStorage,2055-2060,1331.5534585558526,5254.496164494193,4.4386216089179074e-05,124704.000123015,77861951.5578773,10246.279326599068,2561.5698315597697
Austria,Li-Ion_BESS,2020-2025,0.0050377519429515025,0.0050377519429515025,0.010075503885903005,0.010075503885903005,2973.8683871590797,0.01452335717531397,0.0016136866667659918
Austria,Li-Ion_BESS,2025-2030,0.05947320812083817,0.06451068950685958,0.11894641624145438,0.12902137901371916,22371.993588710793,0.04858966182927155,0.005398830824216048
Austria,Li-Ion_BESS,2030-2035,2.9368547548583728e-05,0.06453978749771001,5.8737095940242116e-05,0.12907957499542003,8.526080782637708,0.08460688075799093,0.009400744245683986
Austria,Li-Ion_BESS,2035-2040,342.5763891141226,342.6358912289036,685.1527782286222,685.2717824578071,77925195.61828321,250.3017096291945,27.811301048924086
Austria,Li-Ion_BESS,2040-2045,3763.3777319219475,4105.954149867595,7526.755463846494,8211.90829973519,670736266.6525661,2984.3480831497745,331.5942314398525
Austria,Li-Ion_BESS,2045-2050,9294.921400351881,13400.8755208413,18589.842800681312,26801.7510416826,1297995553.4301987,10071.653794463491,1119.0726438087472
Austria,Li-Ion_BESS,2050-2055,6053.114305919184,19111.41343768484,12106.228611906668,38222.82687536968,492710373.76052153,13338.106338941663,1482.0118154179945
Austria,Li-Ion_BESS,2055-2060,0.00012132966172123289,15348.035827079933,0.00024265868042131882,30696.071654159867,4.3386320801066445,10315.899868695657,1146.2110964999217
BosniaH,HydroPumpStorage,2020-2025,5.488334466008382e-06,440.00000548833447,3.1932991078065243e-06,2199.3400031932993,6.098047595628478,21.038098290339175,5.2595244996002695
BosniaH,HydroPumpStorage,2025-2030,1.1850305437397114e-06,440.0000064028082,6.799776011064361e-06,2199.3400094519616,1.53434681627194,289.40311091883314,72.35077765851257
BosniaH,HydroPumpStorage,2030-2035,4.0305097842469835e-07,440.00000653530225,0.000565981618049372,2199.3405748924656,36.74348999538291,541.2554617830707,135.31386537532157
BosniaH,HydroPumpStorage,2035-2040,4.0345867754567705e-07,440.0000066682039,219.93261034348262,2419.273180869731,11108091.534088414,559.8102974145486,139.9525742818951
BosniaH,HydroPumpStorage,2040-2045,1.0901614422952522e-06,440.00000748780855,1.999817790257667e-05,2419.2732039290836,1.0812382387715254,594.2173541073254,148.55433845465453
BosniaH,HydroPumpStorage,2045-2050,1.2675833073054884e-06,440.0000032670573,1.520434866816482e-05,2419.2732137573084,0.6366531753811031,662.7655838937507,165.69139590535437
BosniaH,HydroPumpStorage,2050-2055,1.3163127267295812e-06,440.0000033983396,5.5832966193059455e-05,2419.2732651961546,0.9183688803576473,633.3826858301368,158.3456713843662
BosniaH,HydroPumpStorage,2055-2060,3.1650526010956007e-06,440.00000616034123,0.0001621766453236613,2419.27286146894,1.133395109131941,619.172792358522,154.793198019479
BosniaH,Li-Ion_BESS,2020-2025,0.005010462429125871,0.005010462429125871,0.010020924858251743,0.010020924858251743,2957.758935287291,0.01430876227170297,0.0015898460363433248
