Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058469494.3238908,-7.06092500675409e-10,1100000000.0,3343794.168046747,0.3165474431527048,39.53717441928235,23260.056403437877,8666.347514253825,17702.102384768783
2020-2025,scenario2,1099999999.5644467,-0.014977809116802349,1100000000.0,3510961.3187290807,0.3133045054346772,46.19067333346805,13858.029435240138,8175.08434604005,16261.297517483983
2020-2025,scenario3,1072303753.8427823,-6.45746543070669e-10,1100000000.0,3396975.9976187283,0.3156642126981819,39.45985304462659,27816.621812343037,6446.36468974073,17123.880466766896
2025-2030,scenario1,989999999.9761958,-0.22722256678851918,990000000.0,4469302.018227712,0.2215110985873407,43.55842935511678,54702.33016933114,13088.370265333493,22418.506659487033
2025-2030,scenario2,990000000.0043834,-12.86558212615795,990000000.0,4634190.980981008,0.2136295211111034,43.228959440783115,52319.800050773345,15535.751554785908,23063.347735627798
2025-2030,scenario3,989999999.9660137,-37.86948601869825,990000000.0,4547791.379154572,0.21768808580444993,56.56059010613796,59335.459070617435,9216.329846450588,21588.73396853853
2030-2035,scenario1,769999999.7653615,-33.9746207219131,770000000.0,5460975.1171668535,0.14100045930348065,42.62459492384558,55848.305984996194,17545.236067628684,49074.411370882495
2030-2035,scenario2,738067916.967665,-7.168340351251501e-10,770000000.0,5725853.92381774,0.12890093369261474,26.40877821431055,156697.6981431135,28487.136826879003,55273.64084969115
2030-2035,scenario3,678672463.1257035,-1.1412576843549097e-08,770000000.0,5531296.439592512,0.12269681629569226,150.97801883497652,204649.10975486712,26640.46593148845,55785.978926919845
2035-2040,scenario1,330000000.11738575,-65.26227058807507,330000000.0,6686241.62501352,0.04935508146801529,184.14408022397438,104941.3270822218,39145.27942665314,64167.86358823428
2035-2040,scenario2,330000000.23475647,-35.809847739712275,330000000.0,6575679.325948109,0.05018492902057582,31.102452314798963,189703.1113740949,35871.7208373405,63526.03166217099
2035-2040,scenario3,330000000.005847,-37.817832784235165,330000000.0,6790278.131592996,0.048598892948207253,172.513292480876,182464.79427508282,35165.47087851517,66886.99450453602
2040-2045,scenario1,66000000.00590369,-50.53872454063784,66000000.0,7303767.733826384,0.009036431936387082,20.611616396535933,633544.8952576688,42401.201511292624,93681.27971898479
2040-2045,scenario2,66000000.00597672,-103.7070003222427,66000000.0,7463537.063031067,0.008842992196405957,29.690929215619587,330089.15260027454,48656.170498637606,94551.88643625587
2040-2045,scenario3,66000000.00856619,-293.54028219307787,66000000.0,7404817.3237986555,0.008913116572971126,34.2817010353924,256962.64211955373,50347.5650011595,94004.38589779202
2045-2050,scenario1,55000000.00484272,-47.823959056930086,55000000.0,7955875.462921257,0.006913129832306974,10.999409074072572,655156.2409601636,56403.918074436384,100514.0273962771
2045-2050,scenario2,55000000.00485347,-47.8239599667575,55000000.0,8242027.188074328,0.006673115575793377,15.856340039836603,455958.4739334412,54254.48970596461,101247.54075183909
2045-2050,scenario3,55000000.00595484,-773.7904678311185,55000000.0,8028717.04417119,0.00685040956149893,62.421878006519655,513002.76990652626,61654.76978507381,98879.53889109021
2050-2055,scenario1,33000000.003614016,-47.67132132670933,33000000.0,8092062.118395719,0.004078070524025794,18.106165626916113,486090.55301626446,66449.09093318378,97367.41602468949
2050-2055,scenario2,33000000.002498295,-61.941946415447674,33000000.0,8180813.142516799,0.004033828841657944,23.337413441575084,462519.149232411,54673.35246593973,98057.41628714855
2050-2055,scenario3,33000000.003579546,-44.854374835645366,33000000.0,7966035.146891506,0.004142587798706448,13.3017765549797,478045.9689576254,68970.968005474,97322.8122145017
2055-2060,scenario1,22000000.00359204,-37.35174246092878,22000000.0,8376628.477806383,0.0026263549901829057,47.93368652803521,435949.5122780969,63809.898133392504,102198.83244945132
2055-2060,scenario2,22000000.00500986,-37.351981514511905,22000000.0,7902721.175924693,0.002783851222289098,8.671566756739734,429016.8426706572,68740.85712796482,96422.5835297748
2055-2060,scenario3,22000000.003642246,-58.29025341465618,22000000.0,7966448.149573557,0.002761582023830791,11.74844043275737,480560.2942715686,58021.50241779401,102484.6691448119
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352273.01790005516
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223419.06245097463
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136311.42170155502
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4590.605370529583
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.401714905832522
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.0980723882872545
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28762.06361325258,28762.06361325258,71202036501.50667,201082.224218508
Lignite,2025-2030,6.10622049903476e-05,28762.063673959725,113.02229973310695,197846.32109948693
Lignite,2030-2035,0.0005330808363438083,28762.06420668543,725.8074320285666,180358.83130882256
Lignite,2035-2040,1.218632707069779e-05,28762.06421851669,11.919117909901598,76222.62068932173
Lignite,2040-2045,1.0455103328994865e-05,28762.06422861664,7.084604949461195,3.0031022624744077
Lignite,2045-2050,1.599672809257479e-05,28762.064244258334,7.073916757250059,7.26809468615056
Lignite,2050-2055,5.1934160482655506e-05,28762.064295837416,13.386506269190175,0.002322393703772089
Lignite,2055-2060,0.00012099609684064873,28762.064416478417,13.7012285304822,187.44248418373013
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359622.5440102763
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247324.53216236833
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,132994.3994953859
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6774.325245219576
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.875437435003107
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.187803817193751
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.021897033452887214,0.021897033452887214,46886.72160398947,0.10853416171888272
Coal,2025-2030,0.0035570633890142675,0.02545328013471167,5694.760632683295,0.12187318369285989
Coal,2030-2035,0.0005854314868830232,0.026037894914291364,689.4402429969252,0.10510115113194962
Coal,2035-2040,8.606226705889329e-05,0.026123140474106958,72.80752710834277,0.021247487497441694
Coal,2040-2045,9.080476867028894e-05,0.02621312853022341,53.22163076838494,0.003518782571251569
Coal,2045-2050,8.292403792719947e-05,0.026295235866201295,31.71768167342924,0.004099048434117799
Coal,2050-2055,0.0003832503242567761,0.02667766948319802,85.44543665596129,0.0057968188072846216
Coal,2055-2060,0.0015409653200453095,0.028217818095984424,150.9291849386132,0.00612829328078503
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188043.2996613575
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116654.38108982312
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,51738.29879083414
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10183.42865054042
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1170.0020980703287
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.015651612796932283,0.015651612796932283,11500.037133289008,0.010167303455666944
GasOCGT,2025-2030,9838.751505380129,9838.767155821004,5664135624.932818,1639.2389675047793
GasOCGT,2030-2035,82368.06757577199,92206.83472719145,37154039096.239716,10873.814205415987
