Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003385970180606385,40897.51698404769,8.279158321340394e-07
Austria,Hydrorun-of-the-river,2025-2030,164.22290642505237,41456.55245915532,0.3961325693612643
Austria,Hydrorun-of-the-river,2030-2035,13042.430165892727,53705.29787411627,24.285183552028368
Austria,Hydrorun-of-the-river,2035-2040,12714.9867254444,54428.91835938573,23.360719096950096
Austria,Hydrorun-of-the-river,2040-2045,14936.001834703953,55557.17230187612,26.88402093891229
Austria,Hydrorun-of-the-river,2045-2050,15373.293585259818,55497.302905527424,27.700974246315436
Austria,Hydrorun-of-the-river,2050-2055,14231.684042539237,54669.25223054192,26.032337121648908
Austria,Hydrorun-of-the-river,2055-2060,11240.865779697137,53212.27810637367,21.124571583321718
Belgium,Hydrorun-of-the-river,2020-2025,410.6823648241037,881.4823647560977,46.589969492780234
Belgium,Hydrorun-of-the-river,2025-2030,45.78731948407673,516.587319478994,8.8634230376107
Belgium,Hydrorun-of-the-river,2030-2035,258.1169733504853,728.9169732947083,35.41102523430005
Belgium,Hydrorun-of-the-river,2035-2040,240.62757647893733,711.4275764526891,33.82320062412416
Belgium,Hydrorun-of-the-river,2040-2045,567.4019272304309,1038.2019272192153,54.65236697741407
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841501942017,1879.9841501323028,74.9572356817493
Belgium,Hydrorun-of-the-river,2050-2055,818.1151735802914,1288.9151735396915,63.473158697754904
Belgium,Hydrorun-of-the-river,2055-2060,515.7963214808588,986.596320484135,52.280381628400065
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.498468849363,6836.323336996808,41.901155455115365
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3276989181477,5523.441236174871,52.219758943531744
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.873684423192,7434.066967398047,62.21189161606269
Bulgaria,Hydrorun-of-the-river,2035-2040,4116.9315164803975,5931.506879705053,69.40785200075692
Bulgaria,Hydrorun-of-the-river,2040-2045,4248.624873819756,6112.502434696144,69.50712771423146
Bulgaria,Hydrorun-of-the-river,2045-2050,5454.742960067559,7066.370593240877,77.19299303782805
Bulgaria,Hydrorun-of-the-river,2050-2055,4844.670454703455,6488.368388368894,74.6670066297107
Bulgaria,Hydrorun-of-the-river,2055-2060,4239.846786859491,5667.7636264277335,74.80634455342967
Switzerland,Hydrorun-of-the-river,2020-2025,0.0002187540644985957,1347.1248888316848,1.6238588293644667e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0001578848193806732,19731.60434972981,8.001620982372637e-07
Switzerland,Hydrorun-of-the-river,2030-2035,2.8290157812196903,19379.388664333674,0.014598065141375094
Switzerland,Hydrorun-of-the-river,2035-2040,0.0014769171732093467,17539.1232406265,8.42070126851216e-06
Switzerland,Hydrorun-of-the-river,2040-2045,0.00547962415240083,19918.021887184215,2.7510885284881453e-05
Switzerland,Hydrorun-of-the-river,2045-2050,196.26728436501676,13012.330522040646,1.5083176993742498
Switzerland,Hydrorun-of-the-river,2050-2055,136.4892492457288,19271.65690806367,0.7082382687532114
Switzerland,Hydrorun-of-the-river,2055-2060,15.4113063639002,17078.51219778321,0.09023799137433404
CzechR,Hydrorun-of-the-river,2020-2025,85.05706308205676,1340.1125369192218,6.347008981618367
CzechR,Hydrorun-of-the-river,2025-2030,146.58002796924018,1372.6125264750158,10.678907932282245
CzechR,Hydrorun-of-the-river,2030-2035,289.8917574577002,1437.180344166407,20.170868508909585
CzechR,Hydrorun-of-the-river,2035-2040,419.13899091415055,1951.9958104524653,21.47233045633411
CzechR,Hydrorun-of-the-river,2040-2045,300.5120264499984,1769.2863918430608,16.984928377646984
CzechR,Hydrorun-of-the-river,2045-2050,570.2162894498737,1766.4206625034255,32.28088878001153
CzechR,Hydrorun-of-the-river,2050-2055,279.68033819353525,1606.0631333109632,17.414031390967992
CzechR,Hydrorun-of-the-river,2055-2060,263.2196182650105,1735.3241619651565,15.16832555174759
Germany,Hydrorun-of-the-river,2020-2025,0.00038776309549953786,22743.06005326173,1.7049732735675833e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0001526492374003478,21792.578344682588,7.004643277448368e-07
Germany,Hydrorun-of-the-river,2030-2035,441.74562008188724,23254.427687846328,1.8996194015678176
Germany,Hydrorun-of-the-river,2035-2040,0.001663830959348809,22720.140510712063,7.3231543553366144e-06
Germany,Hydrorun-of-the-river,2040-2045,493.3869653551257,23008.454626415583,2.1443724638015333
Germany,Hydrorun-of-the-river,2045-2050,877.0426932143737,23652.132053624864,3.708091478712848
Germany,Hydrorun-of-the-river,2050-2055,1036.388058098829,23733.124647264154,4.366842013018708
Germany,Hydrorun-of-the-river,2055-2060,29.191508405492147,22085.227468526333,0.1321766255162777
Denmark,Hydrorun-of-the-river,2020-2025,0.00020694227617187196,21.248422155927365,0.0009739183203970008
Denmark,Hydrorun-of-the-river,2025-2030,0.0005661973179144079,26.925258999787374,0.002102848176572337
Denmark,Hydrorun-of-the-river,2030-2035,0.0037838895953937928,23.14087590614289,0.01635154006590276
Denmark,Hydrorun-of-the-river,2035-2040,0.004469527232164292,20.71755112412004,0.02157362714052012
Denmark,Hydrorun-of-the-river,2040-2045,0.010514889686397596,18.94199400835634,0.055510996792412184
Denmark,Hydrorun-of-the-river,2045-2050,0.0174403575882013,30.282959323546134,0.057591325213189354
Denmark,Hydrorun-of-the-river,2050-2055,0.014713559678597467,22.95405708871779,0.06410003957788085
Denmark,Hydrorun-of-the-river,2055-2060,0.032625645774695955,24.855733934730765,0.1312600378663868
Estonia,Hydrorun-of-the-river,2020-2025,0.0003491111407910175,32.100348957324805,0.0010875618244995924
Estonia,Hydrorun-of-the-river,2025-2030,2.3662340229665846,34.4662339416338,6.865368659000108
Estonia,Hydrorun-of-the-river,2030-2035,12.380299612173408,44.4802995130407,27.833219982126607
Estonia,Hydrorun-of-the-river,2035-2040,22.480055419566174,54.580055406528096,41.187307803424154
Estonia,Hydrorun-of-the-river,2040-2045,27.135916673716203,59.235916198100256,45.80990455683451
Estonia,Hydrorun-of-the-river,2045-2050,32.82502709796708,64.92502646505973,50.558357670646934
Estonia,Hydrorun-of-the-river,2050-2055,31.80634996502343,63.906349286343364,49.770250249329095
Estonia,Hydrorun-of-the-river,2055-2060,36.63281816246545,68.73281726977646,53.29741980265636
