Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.008713036511949171,0.008713036511949171
EnergyhubEU,2025-2030,0.0005264265592490429,0.009239445316702519
EnergyhubEU,2030-2035,23903.988230061594,23903.9974596558
EnergyhubEU,2035-2040,19619.8107443329,43523.80822251122
EnergyhubEU,2040-2045,17404.107941572038,60927.91614056455
EnergyhubEU,2045-2050,1.3983202308407638e-06,60927.91614429063
EnergyhubEU,2050-2055,3.8790684173056387e-07,60927.91613528283
EnergyhubEU,2055-2060,3.6192266428913785e-07,60927.91613885287
EnergyhubNorth,2020-2025,0.008171910725621677,0.008171910725621677
EnergyhubNorth,2025-2030,0.00029031715253159614,0.00846221012364563
EnergyhubNorth,2030-2035,0.024644517389122978,0.033106709758254756
EnergyhubNorth,2035-2040,464.5039344249757,464.53704111766564
EnergyhubNorth,2040-2045,54077.95619118644,54542.49331422754
EnergyhubNorth,2045-2050,6385.349595964549,60927.84296939417
EnergyhubNorth,2050-2055,4.6432539768920674e-07,60927.842924943616
EnergyhubNorth,2055-2060,4.5485745947834484e-07,60927.84289133946
EnergyhubCentral,2020-2025,0.009156167539804128,0.009156167539804128
EnergyhubCentral,2025-2030,0.0005035092035669532,0.009659658988869502
EnergyhubCentral,2030-2035,41392.39346052165,41392.40292473714
EnergyhubCentral,2035-2040,3013.014427985792,44405.417353871286
EnergyhubCentral,2040-2045,17140.58677220664,61546.004139345016
EnergyhubCentral,2045-2050,2.256114006310103e-06,61546.00414187353
EnergyhubCentral,2050-2055,4.180775166667326e-07,61546.004102976294
EnergyhubCentral,2055-2060,3.497366720448628e-07,61546.004123860796
