BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1683.940841538391,50.5182252461517
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3897.552761162069,116.92658283486233
Switzerland,Austria,2030-2035,348.6526829022887,1548.6526829022887,83473055.58575122,6357.943524711159,190.7383057413347
Switzerland,Austria,2035-2040,651.3470726707812,2199.999755555353,112023390.03930756,9810.795214050648,294.32385642151996
Switzerland,Austria,2040-2045,1000.0001419457986,3199.9998978207254,119155016.17002927,16764.696150676333,502.9408845202915
Switzerland,Austria,2045-2050,2.664613042807097e-07,3199.9998973609186,0.020719911249870913,14652.234866467843,439.5670459940358
Switzerland,Austria,2050-2055,3.285919535131833e-07,3199.9998979236,0.014893474077560503,14600.885607723176,438.0265682316949
Switzerland,Austria,2055-2060,1.0060797525796592e-06,3199.9998990308495,0.020032978167600645,16495.56550967897,494.86696529037005
CzechR,Austria,2020-2025,0.0,900.0,0.0,4602.85405632639,138.085621689792
CzechR,Austria,2025-2030,0.0,900.0,0.0,3369.5511200817145,101.08653360245125
CzechR,Austria,2030-2035,999.9998673849395,1899.9998673849395,87917379.34969509,8291.473089048315,248.74419267144893
CzechR,Austria,2035-2040,7.289327447978372e-05,1899.9999402604594,4.603680728212585,8096.690331989215,242.90070995967676
CzechR,Austria,2040-2045,4.042549683819326e-07,1899.9999406469597,0.01768842344139799,7907.917115583912,237.23751346751774
CzechR,Austria,2045-2050,1.0072729075623896e-05,1899.9999507019345,0.2876221883283081,11117.49634457066,333.52489033712
CzechR,Austria,2050-2055,1.8224719294131239e-07,1899.999950866427,0.0030333423539426084,7809.166694643853,234.27500083931523
CzechR,Austria,2055-2060,6.244524727098177e-07,1899.999951473125,0.004565979846599772,11129.305598134211,333.8791679440265
Germany,Austria,2020-2025,0.0,5000.0,0.0,15117.421284103086,453.52263852309244
Germany,Austria,2025-2030,1999.9990902190657,6999.999090219066,891259.5492052784,18151.32781232054,544.539834369615
Germany,Austria,2030-2035,500.0008714172697,7499.999963289833,149745.5914818006,33562.39702088606,1006.8719106265835
Germany,Austria,2035-2040,4.714257378110337e-07,7499.999962079977,0.00010142371622283356,35958.48383562488,1078.754515068747
Germany,Austria,2040-2045,699.9999834127076,8199.999944806825,104337.46538202607,40991.36951008995,1229.7410853027
Germany,Austria,2045-2050,1.0423092935865247e-06,8199.999946659662,0.00010138654788736352,38290.30059368631,1148.7090178105911
Germany,Austria,2050-2055,8.82017565722476e-08,8199.999946709997,5.0008785590082455e-06,31459.91685265511,943.7975055796516
Germany,Austria,2055-2060,1.6752649337925218e-07,8199.999946723787,4.1727905991317445e-06,39660.98563051545,1189.8295689154634
Hungary,Austria,2020-2025,0.0,800.0,0.0,3641.477737677634,109.24433213032906
Hungary,Austria,2025-2030,0.0,800.0,0.0,4124.481482950572,123.73444448851723
Hungary,Austria,2030-2035,1999.999897265911,2799.999897265911,149305051.53387803,10519.752710315304,315.5925813094597
Hungary,Austria,2035-2040,5.7395061624027626e-05,2799.999954643219,3.0779531168151903,14540.910342114088,436.227310263423
Hungary,Austria,2040-2045,1.4986831299420134e-07,2799.9999547753314,0.005568180632230657,15486.429037622403,464.5928711286735
Hungary,Austria,2045-2050,1.6296083715469407e-07,2799.9999549205386,0.0039511927562796145,14733.41395423282,442.0024186269853
Hungary,Austria,2050-2055,1.176703934621782e-07,2799.999955020455,0.0016630201967623719,15849.714967031774,475.4914490109534
Hungary,Austria,2055-2060,2.683758463623681e-07,2799.999955271075,0.0016662791663518757,15880.849050631603,476.42547151894803
Italy,Austria,2020-2025,0.0,405.0,0.0,2222.7837579876195,66.68351273962882
Italy,Austria,2025-2030,389.9997020385756,794.9997020385756,155139624.63819918,4369.0445649201565,131.07133694760483
Italy,Austria,2030-2035,500.00005215665817,1294.9997541772411,133671061.59711134,6527.575464189237,195.82726392567784
Italy,Austria,2035-2040,0.00020432280182618512,1294.9999584827879,39.23983100847806,7945.7126489620605,238.3713794688617
Italy,Austria,2040-2045,999.9999994917775,2294.999957990171,133053503.79977329,14258.223603578876,427.7467081073668
Italy,Austria,2045-2050,2.0760172645539336e-07,2294.999957858303,0.018025974399481347,12237.201581275047,367.11604743825126
Italy,Austria,2050-2055,2.6951344325419827e-07,2294.9999586148165,0.01364060301203278,13385.867606445863,401.57602819337666
Italy,Austria,2055-2060,3.3146666262639405e-07,2294.9999587118655,0.007369991925347484,14859.491171848122,445.7847351554438
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2001.3361408829896,60.040084226489846
Slovenia,Austria,2025-2030,0.0,950.0,0.0,4173.792184703009,125.21376554109014
Slovenia,Austria,2030-2035,999.9975744401033,1949.9975744401033,97342188.0041338,6099.271082696865,182.97813248090623
Slovenia,Austria,2035-2040,0.00237965861654903,1949.9999540809652,166.4024670754606,9951.050917401755,298.531527522052
Slovenia,Austria,2040-2045,999.9999877602595,2949.999941555563,48446356.455469854,13827.446008446177,414.8233802533868
Slovenia,Austria,2045-2050,1.5092794964009552e-06,2949.9999429278937,0.047716905456799213,12400.384214399768,372.01152643199407
Slovenia,Austria,2050-2055,3.3441751189769655e-07,2949.999944053036,0.006162784167772789,14297.169894838877,428.91509684516643
Slovenia,Austria,2055-2060,1.0103775019437877e-06,2949.999944624319,0.00817985553009425,13400.357636275532,402.01072908826586
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9998384721744,999.9998384721744,19498629.021917462,4110.4576930648755,123.3137307919462
Slovakia,Austria,2035-2040,9.447797002827627e-05,999.9999329323899,1.3233589093583575,4893.495976011651,146.80487928034933
Slovakia,Austria,2040-2045,1.7408682275602194e-07,999.9999330887222,0.0016893864794583443,3788.948023348368,113.66844070045106
Slovakia,Austria,2045-2050,3.443498128380632e-07,999.9999334153174,0.0021807427609870944,5314.458879405212,159.43376638215625
Slovakia,Austria,2050-2055,2.2557059367239853e-07,999.9999336231336,0.0008326690431437307,4214.365971423801,126.43097914271424
