Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1056308991.7430105,-5.733515366996463e-09,1100000000.0,3343762.3352542217,0.315904327471511,37.319677791136044,23321.47839394778,8638.143590080503,17698.473550164515
2020-2025,scenario2,1099999999.4283562,-0.014977811848829181,1100000000.0,3510987.0955440383,0.31330220519023233,44.367593686803346,13876.909244489425,8198.773816951494,16263.384893337825
2020-2025,scenario3,1070087303.0058113,-5.914763026815655e-09,1100000000.0,3396975.1592755825,0.3150118128135074,37.41309145489498,27748.278862872314,6439.193322846597,17130.21354482121
2025-2030,scenario1,989999999.9531472,-0.22721506710062345,990000000.0,4469251.065185214,0.22151362398614693,40.637650509152856,54320.293041931334,13000.842891421962,22455.081003111696
2025-2030,scenario2,989999999.9989952,-12.732067276523221,990000000.0,4634447.758761527,0.21361768468042605,42.14830803513202,51689.77178502388,15685.161470093495,23170.715632171177
2025-2030,scenario3,989999999.9880065,-37.249835570137776,990000000.0,4547859.748876795,0.21768481322066607,52.94871019499065,58622.96540231502,9201.703163917391,21671.730435062982
2030-2035,scenario1,770000000.0018361,-36.44401504915186,770000000.0,5452892.70748003,0.14120945364385007,42.26731550663318,55928.0567774573,17403.850030024005,41133.38782132862
2030-2035,scenario2,742662470.8764,-6.3383481384606745e-09,770000000.0,5718791.614838485,0.12986353077622473,24.304204424312097,159492.2625798114,28948.669482441324,47749.799242848734
2030-2035,scenario3,675036278.768763,-2.2118729303965463e-08,770000000.0,5524734.633727917,0.12218438052168834,148.18825909026992,204172.5562972686,26855.566621109097,49005.338558443495
2035-2040,scenario1,329999999.98766774,-68.29225833060873,330000000.0,6680275.245175656,0.04939916214170651,182.51197135984543,105758.72942730445,39700.949020503045,57645.81417378035
2035-2040,scenario2,330000000.01972973,-35.481427609933554,330000000.0,6570267.68340607,0.0502262641221116,27.93522254967819,188756.24701934188,36309.02128462322,57677.08866001709
2035-2040,scenario3,330000000.0027182,-37.817832664385385,330000000.0,6783108.747962524,0.04865025938171416,168.31300390163207,180414.97504261613,35073.453936392536,59809.62789066756
2040-2045,scenario1,66000000.00186704,-50.53872206019523,66000000.0,7292314.7471757615,0.009050624155715063,19.738514671312622,633692.9478267757,45242.20925462179,79387.28537729399
2040-2045,scenario2,66000000.00403336,-131.94561579351205,66000000.0,7452854.755047333,0.008855667012609153,28.78937895735179,336767.19338333287,53137.73580009503,79388.01331404012
2040-2045,scenario3,66000000.001564324,-248.15334878749763,66000000.0,7395255.9784640055,0.0089246403631963,31.661480602424326,257756.40311964363,54358.044354662095,80432.5612741837
2045-2050,scenario1,55000000.00149449,-47.82395928813506,55000000.0,7939096.588017221,0.006927740378484558,11.31872184618756,651052.1711874519,55581.79502093949,84557.27570743293
2045-2050,scenario2,55000000.001497634,-47.82396036383979,55000000.0,8226343.837102259,0.006685837729446423,13.557000033982995,464192.83317636384,55138.8882377356,84679.79145344763
2045-2050,scenario3,55000000.000807896,-750.2662790586924,55000000.0,8012355.166250912,0.006864398651780861,60.22610250490325,522865.1188765028,62931.67887931428,81240.75187471054
2050-2055,scenario1,33000000.00109183,-47.67132818624844,33000000.0,8080039.646151206,0.004084138376327195,17.29290321239447,504762.785047445,71799.93755857456,79994.09707386522
2050-2055,scenario2,33000000.001107894,-61.27161984354286,33000000.0,8168159.914708904,0.004040077611810988,22.381775772508416,482346.3086868255,56993.10201839836,83084.43883763664
2050-2055,scenario3,33000000.00106056,-44.85437486627435,33000000.0,7956557.11264371,0.0041475225444707,12.364891046122459,488629.4869434276,75013.87632213208,81801.86962529496
2055-2060,scenario1,22000000.001001965,-37.351723663951304,22000000.0,8363621.173640533,0.0026304395601200875,45.22694009401064,448232.0048374299,65412.44449873386,87588.9818585225
2055-2060,scenario2,22000000.00103783,-39.62714587285037,22000000.0,7891072.357202338,0.002787960749207636,8.273485666510826,449632.36495153734,70381.39728057229,83133.22482020785
2055-2060,scenario3,22000000.001961198,-56.879093493695,22000000.0,7954907.406311516,0.0027655884447512417,11.272184177819858,486857.45847024844,61267.113340315045,87698.31476034627
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352939.0898003233
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223857.19577208435
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,134091.54778578173
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4059.7483716961947
Liginiteexisting,2040-2045,0.0,12263.0,0.0,5.582612604347934
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,1.343753338760953
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28644.831396358906,28644.831396358906,70911821838.93396,200267.78747289706
Lignite,2025-2030,7.099300720692149e-05,28644.83146723058,131.40358984356462,197127.40707127692
Lignite,2030-2035,0.000526684426632427,28644.83199379366,717.09850574515,177643.79111990385
Lignite,2035-2040,1.1065251201747723e-05,28644.83200473753,10.822623831707116,80746.54311583166
Lignite,2040-2045,6.467899084996763e-06,28644.832011083865,4.382788809279888,0.0013853288411741966
Lignite,2045-2050,6.681237229984576e-06,28644.832017643937,2.954511430514889,8.415516978035196
Lignite,2050-2055,1.4019259758267985e-05,28644.832031541846,3.6135928048001444,0.0024002546260804237
Lignite,2055-2060,0.00011948464808194175,28644.832150905142,13.530076688432034,204.7526129347039
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,360101.8365234613
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,248229.48580172207
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,123487.3596337289
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6079.775213523916
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,5.696814461279617
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,18.605489394396486
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.023681548729236966,0.023681548729236966,50707.790386676315,0.11827257831764937
Coal,2025-2030,0.004026491472137549,0.02770776107991731,6446.302080019507,0.13431294221523787
Coal,2030-2035,0.0006643224053251852,0.028371804363928544,782.3470565176723,0.11055353159288539
Coal,2035-2040,0.0001618352609899218,0.028533360494857246,136.9104667385342,0.02163302804388969
Coal,2040-2045,8.008510952656794e-05,0.028613166126840818,46.93872570442728,0.0035902357755397307
Coal,2045-2050,5.0906437314696984e-05,0.02866379380752647,19.471243975039613,0.004443272862140646
Coal,2050-2055,0.00020934712130878962,0.028872861807427843,46.67381880912202,0.006052565670817087
Coal,2055-2060,0.0011794595168742683,0.030052042202906006,115.52165466299375,0.006275416598342348
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188807.07100490906
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,118238.58746566974
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52466.27995809269
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10587.300260862738
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,787.5180088312294
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.01749802290691896,0.01749802290691896,12856.688687580508,0.010894426536256517
GasOCGT,2025-2030,10121.568843104595,10121.58634096572,5826952599.940049,1792.1646446443206
GasOCGT,2030-2035,83134.86923201232,93256.45558038079,37499922878.068214,11054.897094412509
GasOCGT,2035-2040,72605.70458712296,165862.1601612552,23526690885.356544,9592.851797866517
GasOCGT,2040-2045,7.436044394264363e-05,165862.16023240623,16.69352680469602,1496.5965490859548
GasOCGT,2045-2050,9.454628119689427e-05,165862.16033051937,13.851348283179716,644.0950141959798
GasOCGT,2050-2055,238.5902228948339,166100.73305935867,20374435.694987148,561.7506613624734
GasOCGT,2055-2060,20195.767855104186,176174.93205887164,757647745.7670966,3204.8657741741313
GasCCGT,2020-2025,1975.8890412514875,1975.8890412514875,1972166671.144912,6708.456275306562
GasCCGT,2025-2030,143909.34291006488,145885.23194610517,112544313769.00323,547161.6917858443
GasCCGT,2030-2035,61219.531481406964,207104.76344168998,36328798693.59048,612202.5781272004
GasCCGT,2035-2040,35981.1891349063,243085.9527000523,15338380004.394562,560832.8836084021
GasCCGT,2040-2045,7.230422054158633e-05,243085.9526172607,20.65832770364405,161266.25524852207
GasCCGT,2045-2050,8.032360728302322e-05,243085.95266181478,14.976702088683236,139622.7320606249
GasCCGT,2050-2055,0.0006019029855473301,241110.06431811757,63.9470708757787,48736.23976812903
GasCCGT,2055-2060,561.5416711028014,97762.26304295014,26208982.937912796,30278.04825169214
GasCCSadv,2020-2025,0.0,0.0,0.0,0.0
GasCCSadv,2025-2030,0.0,0.0,0.0,0.0
GasCCSadv,2030-2035,0.0,0.0,0.0,0.0
GasCCSadv,2035-2040,0.0,0.0,0.0,0.0
GasCCSadv,2040-2045,0.0,0.0,0.0,0.0
GasCCSadv,2045-2050,0.0,0.0,0.0,0.0
GasCCSadv,2050-2055,0.0,0.0,0.0,0.0
GasCCSadv,2055-2060,0.0,0.0,0.0,0.0
Oilexisting,2020-2025,0.0,16049.0,0.0,176.59441231323095
Oilexisting,2025-2030,0.0,8916.111111111117,0.0,193.40459815114062
Oilexisting,2030-2035,0.0,5349.666666666669,0.0,81.36405954174857
Oilexisting,2035-2040,0.0,3863.6481481481514,0.0,46.47526060062666
Oilexisting,2040-2045,0.0,2407.35,0.0,0.0010784642102011405
Oilexisting,2045-2050,0.0,802.4500000000007,0.0,0.001177791302836301
Oilexisting,2050-2055,0.0,0.0,0.0,0.0
Oilexisting,2055-2060,0.0,0.0,0.0,0.0
Bioexisting,2020-2025,0.0,34841.0,0.0,798.0758963862936
Bioexisting,2025-2030,0.0,24886.428571428572,0.0,3589.8968677400167
Bioexisting,2030-2035,0.0,19909.14285714286,0.0,2902.9137870613595
Bioexisting,2035-2040,0.0,14931.857142857141,0.0,22246.61294433256
Bioexisting,2040-2045,0.0,9954.57142857143,0.0,18322.973871078328
Bioexisting,2045-2050,0.0,4977.2857142857165,0.0,5877.381561569057
Bioexisting,2050-2055,0.0,0.0,0.0,0.0
Bioexisting,2055-2060,0.0,0.0,0.0,0.0
Bio10cofiring,2020-2025,11805.270000380513,11805.270000380513,26724204964.12408,82438.7053909467
Bio10cofiring,2025-2030,0.012007081119447514,11805.2820071825,20322.896175503476,76986.41125447849
Bio10cofiring,2030-2035,0.000760283427291551,11805.282767186816,946.5866191237488,64347.190329951794
Bio10cofiring,2035-2040,0.00015393490401866716,11805.282920842594,137.67810760458738,24678.715773132597
Bio10cofiring,2040-2045,7.650277957073154e-05,11805.28299706625,47.40465826919096,1125.388454002858
Bio10cofiring,2045-2050,6.343533321083814e-05,11805.283060222464,25.651720794949778,22.4878574614807
Bio10cofiring,2050-2055,0.00021979422953655485,11805.283279737574,51.806817351180335,27.293752879497987
Bio10cofiring,2055-2060,0.0003941257000788671,11805.283673584152,40.81120342644808,421.8200790885634
Nuclear,2020-2025,0.0015524133628194066,117634.00155241336,12221.97991329076,735990.1029269996
Nuclear,2025-2030,0.001558411901122966,84024.28882472869,9173.514114097952,530142.6634273092
Nuclear,2030-2035,0.0008831154567176531,67219.43256457442,3780.154943733477,383016.0931023807
