Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.005024321453917714,0.005024321453917714
EnergyhubEU,2025-2030,5.781963185605378e-07,0.005024893582381056
EnergyhubEU,2030-2035,29271.61729876809,29271.622131744785
EnergyhubEU,2035-2040,21117.08173810965,50388.703920921806
EnergyhubEU,2040-2045,10539.132548447915,60927.83641309774
EnergyhubEU,2045-2050,0.00036148861293654926,60927.83682378504
EnergyhubEU,2050-2055,8.907432669720864e-07,60927.83683319117
EnergyhubEU,2055-2060,7.172935642403822e-07,60927.836825182254
EnergyhubNorth,2020-2025,0.003515009008873406,0.003515009008873406
EnergyhubNorth,2025-2030,4.210619694049187e-07,0.003515424002988526
EnergyhubNorth,2030-2035,0.011165389609759387,0.014680807545071574
EnergyhubNorth,2035-2040,710.6230579607812,710.6377387628501
EnergyhubNorth,2040-2045,17550.427815624134,18261.065554708108
EnergyhubNorth,2045-2050,15736.954936707936,33998.02049058275
EnergyhubNorth,2050-2055,1.4939555811564552e-06,33998.02049304542
EnergyhubNorth,2055-2060,1.3549643355647663e-06,33998.020495895835
EnergyhubCentral,2020-2025,0.004613495336756054,0.004613495336756054
EnergyhubCentral,2025-2030,4.1066943169066353e-07,0.0046138999383299965
EnergyhubCentral,2030-2035,13067.46217519464,13067.466792984049
EnergyhubCentral,2035-2040,8402.282483146613,21469.749275823735
EnergyhubCentral,2040-2045,37156.03150606253,58625.78082701613
EnergyhubCentral,2045-2050,2302.05574056968,60927.83654364446
EnergyhubCentral,2050-2055,1.0006643820196446e-06,60927.83654064582
EnergyhubCentral,2055-2060,7.890099369246489e-07,60927.836538653784
