Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1054258061.1471788,-4.303078354094573e-10,1100000000.0,3344006.5413221363,0.31526794224818516,39.13748217403196,23426.28501524703,8635.977242405195,17944.845962296604
2020-2025,scenario2,1099999999.4722536,-0.014977763545530553,1100000000.0,3511272.520540844,0.3132767374327243,45.72031278592756,14039.15976285762,8242.77023174649,16504.81347191212
2020-2025,scenario3,1067146963.7898922,-1.243458863859309e-09,1100000000.0,3397127.9682796043,0.31413210622450044,39.088933330704926,27650.507856540127,6400.747284481969,17321.46858083134
2025-2030,scenario1,990000000.0054679,-0.3201820796167256,990000000.0,4469228.589346149,0.22151473799425594,42.869547471398796,55384.89423704876,12984.166717969114,22449.2812917128
2025-2030,scenario2,990000000.0009474,-12.865581443282744,990000000.0,4633940.157031932,0.2136410843585599,42.95202431380397,52152.172688045684,15339.297508658155,23008.97785690409
2025-2030,scenario3,989999999.9904763,-37.86949113582162,990000000.0,4547689.490587565,0.21769296299571575,56.90394135115018,59482.216852954145,9141.07316513005,21562.10217662703
2030-2035,scenario1,770000000.00097,-36.814529108914655,770000000.0,5449764.914945265,0.1412904982175215,42.45482611344401,58912.93428500179,18500.715091844297,36908.73022545664
2030-2035,scenario2,762886851.590457,-3.5419230018999725e-09,770000000.0,5714425.86255421,0.13350192476720638,26.150181584748967,164069.04924841886,29463.837238016346,42868.87919280383
2030-2035,scenario3,696162644.6904045,-2.1396900004647556e-10,770000000.0,5518265.108634739,0.1261560709725747,146.62501558425242,210608.63602030565,26880.60591446952,42497.511618409684
2035-2040,scenario1,330000000.0078172,-66.49760845092398,330000000.0,6672085.633888357,0.04945979684848632,178.76995711703296,108687.0314781835,40586.60870077279,48570.54323626677
2035-2040,scenario2,330000000.00187886,-37.81783324794366,330000000.0,6559607.055774762,0.050307891493494857,30.27240800293107,190831.05994317294,36300.68659357433,47024.79574301486
2035-2040,scenario3,330000000.0017958,-43.9572102677705,330000000.0,6772761.771118912,0.04872458402553252,169.44757050454814,182141.2100706538,34208.36253838981,50327.74242096799
2040-2045,scenario1,66000000.00190142,-50.53872479796117,66000000.0,7284674.915283967,0.009060116033925461,19.141891567468218,728423.7413629254,57364.242995554094,59625.41968134789
2040-2045,scenario2,66000000.01346597,-127.29154354089088,66000000.0,7453111.047854908,0.008855362490870374,29.97956587221361,397622.2160990691,69441.2300043659,63340.81189067857
2040-2045,scenario3,65999999.992197394,-263.61465802806254,66000000.0,7392285.341377468,0.00892822678566875,30.638466466951332,339607.69007348875,71856.17894563075,59963.789607889725
2045-2050,scenario1,55000000.001529746,-47.82396093706279,55000000.0,7934851.96285961,0.0069314462650299415,10.446042160945352,778978.0298712403,72198.21376017385,63696.23181708787
2045-2050,scenario2,55000000.00156168,-47.823968049156186,55000000.0,8220885.639629804,0.006690276742985609,14.05929606534447,538704.4636861964,67348.75177334376,67011.73044078735
2045-2050,scenario3,55000000.00079805,-758.2590006182311,55000000.0,8016814.443969924,0.006860580394519472,57.27987150687241,624354.9850777236,83070.41943078906,65561.28900083252
2050-2055,scenario1,33000000.001091074,-47.6713179064507,33000000.0,8096310.607606681,0.0040759305812806705,16.62368994816179,608425.0686650709,106388.51789021333,61676.47821229717
2050-2055,scenario2,33000000.00077434,-66.9026643500664,33000000.0,8171738.635417066,0.004038308305376854,23.473890615722453,547424.6016746177,81074.13712140458,62582.12456851558
2050-2055,scenario3,33000000.00108802,-44.854374658901456,33000000.0,7968541.053389739,0.004141285058329705,12.30090983446802,589168.3115377999,107162.96160018891,61636.72511061918
2055-2060,scenario1,22000000.00106931,-43.0739650268613,22000000.0,8360025.078228017,0.002631571053340986,43.948565737426755,551000.8586298771,85885.82724364616,63519.503673135885
2055-2060,scenario2,22000000.001739968,-43.18345441315096,22000000.0,7897053.2424883135,0.0027858492688607327,9.629819765967985,548026.5330597077,98810.29870831044,60685.208660308235
2055-2060,scenario3,22000000.001154624,-58.29026197941572,22000000.0,7942616.027652258,0.002769868255567355,11.826620262875512,515934.88145008363,74565.29051996158,62108.75890908927
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,353907.28557757207
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223412.73235891233
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,134123.77610729195
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,2994.3772858359243
Liginiteexisting,2040-2045,0.0,12263.0,0.0,3.544780538713427
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.9836069760053032
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,29523.282293618133,29523.282293618133,73086474314.93405,206454.71130235784
Lignite,2025-2030,4.580496438832146e-05,29523.28233930132,84.78210728190224,203214.8779025292
Lignite,2030-2035,0.0003228672020432026,29523.282662046684,439.5945208018864,185766.97581969513
Lignite,2035-2040,1.0016055122231986e-05,29523.282671940895,9.796433437357353,45859.32553291434
Lignite,2040-2045,8.445355550051797e-06,29523.28268026441,5.722756231774964,0.6741132180648158
Lignite,2045-2050,1.362324534116009e-05,29523.28269376588,6.024338411533866,7.995697464830934
Lignite,2050-2055,5.963920051152473e-05,29523.282753283253,15.372551016852288,5.116840329467105
Lignite,2055-2060,6.748946206758685e-05,29523.282820650897,7.642300597556693,224.14953161000494
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,356272.60588527075
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247493.38258891823
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,117876.64804023926
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6070.448916031304
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,6.593704344661851
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,17.69895218237026
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.01434930201001442,0.01434930201001442,30725.245499700424,0.07349247885251457
Coal,2025-2030,0.002484003724094519,0.01683302552068753,3976.8216285097596,0.08246290200598055
Coal,2030-2035,0.0004187102407305126,0.017251455569606413,493.0990159950633,0.07115979109617582
Coal,2035-2040,4.668375084162641e-05,0.017297859190646792,39.49382895752575,0.015196798281425191
Coal,2040-2045,3.8915267756681806e-05,0.01733649432466794,22.808648071327816,0.0032799083331161213
Coal,2045-2050,6.89196526605402e-05,0.017405133754379278,26.36113313788976,0.003995666869685452
Coal,2050-2055,0.0003398192486190922,0.017744672824647305,75.76250362910325,0.005419443633679559
Coal,2055-2060,0.0006972796407986861,0.018441672287109637,68.29475426282814,0.005062865420039041
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187949.67421831662
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115840.50879166872
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,57480.64197804092
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,9841.070345872711
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,735.7419145090253
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.011105199684930935,0.011105199684930935,8159.555849370763,0.007493967493708687
GasOCGT,2025-2030,8875.925493111781,8875.936597908212,5109839979.421399,1539.7460410993795
GasOCGT,2030-2035,86756.93370166805,95632.87030716182,39133739584.89933,13736.173152359232
