Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.00030559844683583496,40897.516980966655,7.472298305495118e-07
Austria,Hydrorun-of-the-river,2025-2030,168.57502997127742,41460.904598863686,0.4065879208431393
Austria,Hydrorun-of-the-river,2030-2035,10944.150829172426,51388.005908149826,21.297091871464797
Austria,Hydrorun-of-the-river,2035-2040,13761.659972655136,55475.59161116278,24.806693489837464
Austria,Hydrorun-of-the-river,2040-2045,15009.119219612463,55557.17232064953,27.015628392652847
Austria,Hydrorun-of-the-river,2045-2050,15448.002367792009,55497.302924385905,27.835591197719356
Austria,Hydrorun-of-the-river,2050-2055,14231.684063617828,54669.252248632845,26.032337151590966
Austria,Hydrorun-of-the-river,2055-2060,11240.86582796248,53212.27812442172,21.124571666860277
Belgium,Hydrorun-of-the-river,2020-2025,410.6823644480408,881.4823643621645,46.58996947093867
Belgium,Hydrorun-of-the-river,2025-2030,45.78731938846325,516.5873193340772,8.863423021588453
Belgium,Hydrorun-of-the-river,2030-2035,258.1169734466329,728.9169733670635,35.41102524397549
Belgium,Hydrorun-of-the-river,2035-2040,228.6535831562428,699.4535830769541,32.6903155103412
Belgium,Hydrorun-of-the-river,2040-2045,549.9285355693169,1020.7285355041266,53.87608129302599
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841883728869,1879.9841882883748,74.95723619121893
Belgium,Hydrorun-of-the-river,2050-2055,818.1152008130551,1288.915200715736,63.47315947230313
Belgium,Hydrorun-of-the-river,2055-2060,515.7963461595843,986.5963452202697,52.28038281901668
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.50210041059,6836.323336996808,41.901208576669866
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3301985768353,5523.441236174871,52.219804198990815
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.872950855798,7434.066967398047,62.21188174841693
Bulgaria,Hydrorun-of-the-river,2035-2040,4198.278959994311,5931.506879705053,70.77929850100878
Bulgaria,Hydrorun-of-the-river,2040-2045,4216.997784920694,6112.502434696144,68.98971133302008
Bulgaria,Hydrorun-of-the-river,2045-2050,5661.314199015279,7066.370593240877,80.1162934255166
Bulgaria,Hydrorun-of-the-river,2050-2055,4989.15364660745,6488.368388368894,76.8938097835359
Bulgaria,Hydrorun-of-the-river,2055-2060,4121.312806979836,5667.7636264277335,72.71497328792817
Switzerland,Hydrorun-of-the-river,2020-2025,0.00017868903296242884,1347.124882217735,1.3264474238517365e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00014639309474642176,19731.60436754263,7.41921903660455e-07
Switzerland,Hydrorun-of-the-river,2030-2035,0.001493038503430914,19379.38867897657,7.70426006807229e-06
Switzerland,Hydrorun-of-the-river,2035-2040,10.862479748099654,17539.123255118095,0.061932854853106026
Switzerland,Hydrorun-of-the-river,2040-2045,213.25907239675357,19918.021901363572,1.0706839938867323
Switzerland,Hydrorun-of-the-river,2045-2050,504.89381414656265,13012.330532054553,3.8801182686130518
Switzerland,Hydrorun-of-the-river,2050-2055,288.153220413432,19271.656920849673,1.4952176743126016
