Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999724537011,0.0,12404.159544415063
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.725644641109946,0.0,7385.445933514121
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.613886636884671,0.0,4197.87393369887
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0032444998253200927,0.0,15.47895959740096
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,3.926640551881058e-08,0.0,0.00012988447378138913
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.90691014291626e-07,0.0,0.00015769079012237466
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.29936316818582037,0.0,32405.260662824352
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.46861103521483616,0.0,31215.93149811175
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5210670376410133,0.0,23320.930247058543
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.004336627690330582,0.0,135.4120169180988
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0001219137180544315,0.0,2.6393666501255653
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,3.908196283070995e-08,0.0,0.0002115258868381987
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999919665111,0.0,47632.49948979324
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7370773034160084,0.0,28807.248947661952
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6404832333769616,0.0,16818.412274289873
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.011906326286906925,0.0,218.1261872542669
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.0058005364104259e-08,0.0,0.00012775678413485248
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.8318690681906996e-08,0.0,0.00015343600226039623
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499845444784178,0.0,125523.83323160872
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7437259740541212,0.0,76600.82788432964
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6453172320988323,0.0,44656.250796359556
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.03657388299844075,0.0,1765.7648454973532
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,5.139014020786952e-09,0.0,0.0001720218752957845
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.791619852310117e-08,0.0,0.00023361469737427838
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492514910321163,0.0,13133.449565944082
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6207774810525454,0.0,6696.282756168975
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5426829091805592,0.0,3933.0770601778477
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.018128918219557227,0.0,91.66657399910929
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00019790646834602936,0.0,0.693810997217029
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,2.1405067241991594e-07,0.0,0.00018760214323436622
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.749999952546319,0.0,6615.989581395926
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6638983409598554,0.0,3603.975208046757
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.5985187889359607,0.0,2182.9635367145447
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.009651019290851576,0.0,24.558095045415794
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,7.249503068987541e-08,0.0,0.00012790037282504218
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.4530457613624105e-07,0.0,0.00015230210817810725
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6816470836800529,0.0,1361.4400872924975
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5651898235824913,0.0,694.6722035968224
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5231502575396203,0.0,432.0166778296675
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.017419860027264946,0.0,10.036251356323785
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.6676031455391324e-07,0.0,0.00014650460821044787
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.9270195999449006e-06,0.0,0.00029230388532889786
