BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1858.937971245412,55.768139137362354
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3801.9933367666476,114.05980010299945
Switzerland,Austria,2030-2035,385.79749563044425,1585.7974956304442,92366120.71798943,5729.6915037879935,171.89074511363944
Switzerland,Austria,2035-2040,614.2024920737155,2199.9999876950246,105634995.87180239,10887.395155119915,326.62185465359795
Switzerland,Austria,2040-2045,1000.0000046761137,3199.9999923818013,119154999.81366004,20619.005177443287,618.5701553232992
Switzerland,Austria,2045-2050,1.5079985261033917e-07,3199.9999926804117,0.011726128756347315,18741.900971388983,562.2570291416711
Switzerland,Austria,2050-2055,2.936109008638547e-07,3199.999992881956,0.013307953205036601,17405.33477444992,522.1600432334977
Switzerland,Austria,2055-2060,1.4686325948463698e-06,3199.999994247676,0.029243292724405075,17155.274911481407,514.6582473444406
CzechR,Austria,2020-2025,0.0,900.0,0.0,4601.134431820621,138.0340329546186
CzechR,Austria,2025-2030,0.0,900.0,0.0,3366.9007330132313,101.0070219903974
CzechR,Austria,2030-2035,999.9999934761681,1899.9999934761681,87917390.43530692,9078.78662823476,272.36359884704245
CzechR,Austria,2035-2040,4.101529277031446e-06,1899.9999975685662,0.25903804464300956,9148.727338664958,274.4618201599493
CzechR,Austria,2040-2045,2.1950784235189088e-07,1899.999997778942,0.009604699924329767,10496.32640782856,314.8897922348563
CzechR,Austria,2045-2050,1.5200411841020357e-07,1899.9999979218155,0.004340408328648515,11793.35290902589,353.8005872707774
CzechR,Austria,2050-2055,1.122377054488618e-07,1899.999998024925,0.0018680967325351435,9037.06580603338,271.1119741810015
CzechR,Austria,2055-2060,2.6438371435145887e-07,1899.9999982801744,0.0019331666768159675,11871.393779872791,356.14181339618347
Germany,Austria,2020-2025,0.0,5000.0,0.0,15465.471670000958,463.9641501000293
Germany,Austria,2025-2030,1999.9999569467,6999.9999569467,891259.9354450944,18275.699203843636,548.2709761153089
Germany,Austria,2030-2035,499.99997618346845,7499.999932121586,149745.3233676377,29379.743772887,881.3923131866098
Germany,Austria,2035-2040,4.050898020056748e-05,7499.999973625089,0.008715203653105633,38667.37105132314,1160.02113153969
Germany,Austria,2040-2045,700.0000223820342,8199.99999995414,104337.47119054159,45522.238144977535,1365.6671443493292
Germany,Austria,2045-2050,1.3176992658421632e-07,8199.99999585941,1.2817402717167659e-05,44263.551313780874,1327.906539413428
Germany,Austria,2050-2055,2.9970768219023067e-07,8199.999996689867,1.6992878374338125e-05,43586.21169662983,1307.5863508989028
Germany,Austria,2055-2060,2.7111470349317234e-07,8199.999996672386,6.752990904319912e-06,40445.5300008755,1213.365900026269
Hungary,Austria,2020-2025,0.0,800.0,0.0,3757.7687762339356,112.73306328701847
Hungary,Austria,2025-2030,0.0,800.0,0.0,4092.4911655312753,122.77473496593838
Hungary,Austria,2030-2035,1999.9999942271406,2799.9999942271406,149305058.77227908,10728.965447130007,321.8689634139009
Hungary,Austria,2035-2040,3.115049061584999e-06,2799.99999733306,0.1670522636763563,15210.909318289036,456.32727954867204
Hungary,Austria,2040-2045,1.8097946260382692e-07,2799.9999975049072,0.006724078748662049,17033.227906354405,510.99683719063273
Hungary,Austria,2045-2050,1.2200811021891685e-07,2799.999997617784,0.0029582418065680813,17015.620929416757,510.4686278825022
Hungary,Austria,2050-2055,8.64115154201977e-08,2799.9999976950876,0.0012212425840389624,16878.334279901137,506.3500283970359
Hungary,Austria,2055-2060,1.546181099348805e-07,2799.999997840551,0.0009599855531608728,17752.23693343634,532.5671080030904
Italy,Austria,2020-2025,0.0,405.0,0.0,2270.8101571885923,68.12430471565781
Italy,Austria,2025-2030,389.9999646481408,794.9999646481408,155139729.10276458,4342.954179236728,130.2886253771025
Italy,Austria,2030-2035,500.00002216929573,1294.9999874434257,133671053.58022703,6413.398236572179,192.40194709716576
Italy,Austria,2035-2040,1.0566202379386871e-05,1294.9999973653962,2.029220390787458,8141.186055681635,244.2355816704495
Italy,Austria,2040-2045,1000.0000001045964,2294.9999973818767,133053503.881311,15284.662800122815,458.5398840036849
Italy,Austria,2045-2050,1.5805512179925813e-07,2294.999997599103,0.013723862647512753,12855.557718583803,385.66673155751425
Italy,Austria,2050-2055,1.5435742887445106e-07,2294.99999783099,0.007812331673743606,14034.113525964236,421.0234057789289
Italy,Austria,2055-2060,2.158195031614475e-07,2294.999997961741,0.004798636408950643,14461.762630298812,433.8528789089655
Slovenia,Austria,2020-2025,0.0,950.0,0.0,2085.32570307308,62.559771092192605
Slovenia,Austria,2025-2030,0.0,950.0,0.0,4135.881505096047,124.07644515288126
Slovenia,Austria,2030-2035,905.2485668867487,1855.2485668867487,88119089.92649323,5405.955577724511,162.17866733173577
Slovenia,Austria,2035-2040,94.75143139727419,1949.9999982748914,6625686.488721113,12075.914899823103,362.27744699469247
Slovenia,Austria,2040-2045,999.9999994966713,2949.9999978540927,48446357.02405625,16489.019161431064,494.67057484293275
Slovenia,Austria,2045-2050,2.505432998569988e-07,2949.9999980241737,0.007921098100530282,15693.26809369982,470.79804281099536
Slovenia,Austria,2050-2055,1.302762164717715e-07,2949.9999981694323,0.00240078397735099,16158.62086729509,484.758626018854
Slovenia,Austria,2055-2060,2.2724506336303963e-07,2949.999998343079,0.0018397398840143554,15187.580254901675,455.62740764705154
Slovakia,Austria,2020-2025,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999925012638,999.9999925012638,19498632.025274023,4408.790203551521,132.26370610654595
Slovakia,Austria,2035-2040,4.675763135818009e-06,999.9999971678956,0.06549371035366464,5592.663583142459,167.77990749427497
Slovakia,Austria,2040-2045,1.3626788991639656e-07,999.9999972950322,0.0013223811381273263,5129.375512827164,153.88126538481507
Slovakia,Austria,2045-2050,1.2540379755748528e-07,999.9999974113048,0.0007941732898585399,5711.020913142153,171.33062739426472
Slovakia,Austria,2050-2055,1.2897942911979238e-07,999.9999975311529,0.0004761133802146995,4840.979787430274,145.22939362290836
Slovakia,Austria,2055-2060,2.888921050733863e-07,999.9999978109139,0.0004684892490068679,5834.60933836898,175.03828015106922
Croatia,BosniaH,2020-2025,0.0,750.0,0.0,3726.534830665112,111.7960449199539
Croatia,BosniaH,2025-2030,0.0,750.0,0.0,3209.987109284179,96.29961327852514
Croatia,BosniaH,2030-2035,0.0,750.0,0.0,2548.787272135084,76.46361816405275
Croatia,BosniaH,2035-2040,0.0,750.0,0.0,2493.6506605925115,74.80951981777504
Croatia,BosniaH,2040-2045,1143.999977985559,1893.999977985559,58205111.96645778,4805.006370152953,144.15019110458843
Croatia,BosniaH,2045-2050,1.0804910858482144e-05,1893.9999887813385,0.3587548445290707,5589.587404251259,167.68762212753765
Croatia,BosniaH,2050-2055,2.565200119067799e-06,1893.9999913374083,0.04964587683894186,4665.353979503783,139.96061938511363
Croatia,BosniaH,2055-2060,5.338682649868322e-07,1893.9999918621443,0.00453910322310772,3861.044307424797,115.83132922274388
Italy,BosniaH,2020-2025,0.0,0.0,0.0,0.0,0.0
