Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1055675437.7384708,-1.1057234371116151e-08,1100000000.0,3343883.645103499,0.31570340053076734,37.14446645623225,23354.72070848867,8587.337516373413,17870.589467936272
2020-2025,scenario2,1099999999.495492,-0.014977857084105373,1100000000.0,3511155.491969361,0.31328717910994147,44.24320868153783,13935.27482528764,8212.947498164654,16417.607631996067
2020-2025,scenario3,1068551231.8653944,-1.3125534844735602e-08,1100000000.0,3397002.403736244,0.31455710207625376,37.127439374002854,27668.172880518618,6377.253559613561,17219.397678778998
2025-2030,scenario1,989999999.9765921,-0.32321205517695817,990000000.0,4469191.7019663695,0.22151656630459957,40.48422663542863,55173.66146398989,12981.910116842546,22414.650546816672
2025-2030,scenario2,989999999.9822384,-12.863227844687383,990000000.0,4634138.293491434,0.21363194995122828,42.013410615438026,51945.915796586116,15499.11754250894,23047.29429305443
2025-2030,scenario3,989999999.9949352,-37.869456909538904,990000000.0,4547655.899780952,0.217694570964043,52.608218396068175,59484.87596686825,9141.452153836797,21528.132365894955
2030-2035,scenario1,770000000.004677,-37.00763556846939,770000000.0,5446840.549258148,0.141366355971179,42.32042850052593,57561.329802248525,18492.047716132838,33993.03190003752
2030-2035,scenario2,766831752.2216196,-2.824843596089225e-08,770000000.0,5712052.6191882575,0.13424801964282757,24.617083521817282,161687.3360762114,29617.729923261984,40341.743138743725
2030-2035,scenario3,697688178.814785,-1.8134231930006415e-07,770000000.0,5516813.12485859,0.12646579882705133,143.9246824145403,205139.7781719549,27211.933288780554,40709.64229185167
2035-2040,scenario1,330000000.01188654,-67.65105989024345,330000000.0,6669382.507633107,0.04947984309404882,179.65746837874227,109718.47593599223,40971.33781367217,45482.6878544712
2035-2040,scenario2,330000000.002103,-37.81783533268245,330000000.0,6557870.647501306,0.050321212134281895,28.1571989714297,190127.65970175582,36635.22551901719,44953.84851413205
2035-2040,scenario3,330000000.0020567,-43.95721032677342,330000000.0,6769306.617372961,0.04874945377051409,168.8406880569501,180223.12275735626,34042.882556047756,47038.06865714489
2040-2045,scenario1,66000000.00208812,-50.53873737019873,66000000.0,7279460.669530936,0.009066605755333086,17.764661566300298,725182.9065461805,57478.217555214556,54297.19934811037
2040-2045,scenario2,65999999.99729099,-128.21827994314424,66000000.0,7446129.547076151,0.008863665288123823,26.85652445960865,390616.54526306316,69085.89855121025,56714.64255647499
2040-2045,scenario3,66000000.00307142,-259.3493488548257,66000000.0,7387121.679269388,0.008934467695082231,31.876244156152076,337498.73863505037,70848.57142060049,55807.73501551388
2045-2050,scenario1,55000000.001677535,-47.82396283499018,55000000.0,7927548.267823995,0.006937832245678341,10.375739207257539,789181.8689889167,71753.58821253228,56837.16232757304
2045-2050,scenario2,55000000.001709685,-47.823983304860825,55000000.0,8211849.992888877,0.006697638175239232,12.75867884024768,553590.0604292318,66733.4070810178,58591.428395484014
2045-2050,scenario3,55000000.004621044,-771.5393503065515,55000000.0,8008867.023939864,0.00686738833847828,58.79096168271635,627065.0156537525,82736.22096232294,57948.067471375245
2050-2055,scenario1,33000000.001215927,-47.67132222667394,33000000.0,8088388.7428786885,0.00407992259648386,16.497829554937155,596586.1051585131,104816.31464898631,55326.81673677676
2050-2055,scenario2,33000000.001315672,-64.65792116626271,33000000.0,8164214.003107979,0.0040420302540762724,23.066337703760848,557788.0807940424,80026.11288612928,56105.516486181354
2050-2055,scenario3,33000000.001210254,-44.85438258086596,33000000.0,7959406.767125496,0.00414603763404945,11.913801963981872,582390.6066904544,104841.72046519458,54823.67997541163
2055-2060,scenario1,22000000.001185477,-43.073963577712746,22000000.0,8353141.940867215,0.002633739514655238,39.453269854464764,564562.044825887,84303.42847409748,58218.765080785895
2055-2060,scenario2,22000000.001221377,-41.9729978005155,22000000.0,7892931.7003232995,0.002787303987480405,8.21784603516678,566816.5595524942,97986.05850328275,57387.90669837731
2055-2060,scenario3,22000000.001237545,-58.29023056064613,22000000.0,7937626.136555962,0.0027716094992077268,11.771455020375257,523699.5062026411,73790.90311988514,57893.25520492642
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,353556.2249628604
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223452.30766582332
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,131040.17155142067
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,2985.028842300018
Liginiteexisting,2040-2045,0.0,12263.0,0.0,4.062273327018714
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.1848890661510634
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,29564.2146497794,29564.2146497794,73187804565.66557,206731.84961101672
Lignite,2025-2030,4.272150736216809e-05,29564.214692370184,79.0748223209489,203429.07115085618
Lignite,2030-2035,0.00039076493645569797,29564.215083004412,532.0395627067646,185299.86666638948
Lignite,2035-2040,4.775255403268673e-06,29564.21508764864,4.670548547667935,42389.07505045618
Lignite,2040-2045,3.4972232951078557e-06,29564.215091014918,2.3697944139088736,0.0010323039376797477
Lignite,2045-2050,8.589838835730786e-06,29564.21509947406,3.7985145793881503,8.380966792078127
Lignite,2050-2055,9.226395800327376e-05,29564.215191607193,23.781881535249006,0.0018228621570876215
Lignite,2055-2060,2.520986500102793e-05,29564.215216686232,2.8546881314410237,229.3870358544943
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,357196.8903691475
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247357.6170402775
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,117724.33621862953
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,5679.661619121932
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,5.180187672216027
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,17.77931714725403
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.01734534817541436,0.01734534817541436,37140.4881293492,0.08505269870780711
Coal,2025-2030,0.002817440595128755,0.02016248785411252,4510.644886345225,0.0963775933353885
Coal,2030-2035,0.00039020621248861783,0.020552393326180585,459.5309134966581,0.08180656047941187
Coal,2035-2040,1.7736379488925707e-05,0.020569828695350123,15.004739877002475,0.013970648221054528
Coal,2040-2045,1.2714378293845644e-05,0.02058224212475826,7.4520309551323,0.002783744787131964
Coal,2045-2050,3.5188816815071915e-05,0.020617130111201136,13.459398723261844,0.003519016278807368
Coal,2050-2055,0.00038647889008008477,0.021003308111998478,86.16524352652327,0.004716214021678369
Coal,2055-2060,0.0004746224678593306,0.02147762969057293,46.48669330563236,0.004687640887372653
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188836.02764875753
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,114998.58223657604
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,58606.96080926063
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10601.443384496315
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,797.4071279533399
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.012814630366754854,0.012814630366754854,9415.561640774684,0.007910966163258919
GasOCGT,2025-2030,8411.890082306372,8411.902896505382,4842696378.921271,1460.5035843490728
GasOCGT,2030-2035,89162.27049255495,97574.17340261817,40218722877.55728,13983.44164728737
