Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0003846838157270493,40897.5170544129,9.406043286570165e-07
Austria,Hydrorun-of-the-river,2025-2030,167.40905853173697,41459.738616100454,0.4037870573229457
Austria,Hydrorun-of-the-river,2030-2035,11049.503792610538,51540.93115528374,21.438308437463675
Austria,Hydrorun-of-the-river,2035-2040,13761.659964354632,55475.59160164718,24.806693479130058
Austria,Hydrorun-of-the-river,2040-2045,15009.119217564288,55557.17231698197,27.015628390749658
Austria,Hydrorun-of-the-river,2045-2050,15436.429668568579,55497.30292059659,27.814738475947976
Austria,Hydrorun-of-the-river,2050-2055,14231.684068693161,54669.25224486568,26.03233716266852
Austria,Hydrorun-of-the-river,2055-2060,11240.865827905784,53212.27812033271,21.124571668377012
Belgium,Hydrorun-of-the-river,2020-2025,410.68236467749267,881.4823645611716,46.589969486450556
Belgium,Hydrorun-of-the-river,2025-2030,45.78731951991117,516.5873194597511,8.863423044877623
Belgium,Hydrorun-of-the-river,2030-2035,258.116973762444,728.9169736653328,35.411025272811536
Belgium,Hydrorun-of-the-river,2035-2040,234.96923284348014,705.7692327482212,33.292643252317006
Belgium,Hydrorun-of-the-river,2040-2045,559.1445540207916,1029.9445539506382,54.28880145790737
Belgium,Hydrorun-of-the-river,2045-2050,1409.1841540372131,1879.9841539333659,74.95723573461355
Belgium,Hydrorun-of-the-river,2050-2055,818.1151777109247,1288.9151776006217,63.473158818246354
Belgium,Hydrorun-of-the-river,2055-2060,515.7963340425149,986.5963327612437,52.28038225105968
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.503451303813,6836.323336996808,41.901228337192535
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.330468334203,5523.441236174871,52.21980908285499
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.873015951304,7434.066967398047,62.211882624054816
Bulgaria,Hydrorun-of-the-river,2035-2040,4195.697306453077,5931.506879705053,70.73577408818095
Bulgaria,Hydrorun-of-the-river,2040-2045,4204.098644132118,6112.502434696144,68.77868252891922
Bulgaria,Hydrorun-of-the-river,2045-2050,5653.492620104095,7066.370593240877,80.00560606758684
Bulgaria,Hydrorun-of-the-river,2050-2055,4989.145620369711,6488.368388368894,76.89368608159329
Bulgaria,Hydrorun-of-the-river,2055-2060,4121.386021747996,5667.7636264277335,72.71626506318533
Switzerland,Hydrorun-of-the-river,2020-2025,0.00023951345817710672,1347.1248866321166,1.777960310538862e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.00019579064093384942,19731.604357282064,9.922692417131896e-07
Switzerland,Hydrorun-of-the-river,2030-2035,0.0018243358703604819,19379.388669623797,9.413794735537944e-06
Switzerland,Hydrorun-of-the-river,2035-2040,10.814160214976253,17539.123246575153,0.06165735916752808
Switzerland,Hydrorun-of-the-river,2040-2045,224.08173233430355,19918.021890141583,1.1250200123799077
