Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999796938573,0.0,12404.159664159115
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7262548578461111,0.0,7391.656580513152
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.5965543529953896,0.0,4079.3524699975073
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0033052821199918204,0.0,15.76894163904529
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,3.20637465027744e-08,0.0,0.0001060596911519611
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.656966500292321e-07,0.0,0.00013702185056177368
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.29614839491335443,0.0,32057.270071672236
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4688040935234765,0.0,31228.7918331974
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.47791998796732676,0.0,21389.836427802893
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.0037180904116512936,0.0,116.09807382085079
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00013939424600116086,0.0,3.0178107106092757
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,3.691498342920252e-08,0.0,0.00019979740120277926
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.74999999264263,0.0,47632.499532733425
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7373830389805683,0.0,28819.198034249814
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6375686991312591,0.0,16741.879687678156
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.011435712002123745,0.0,209.50444305429195
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,7.974023125195777e-09,0.0,0.00010128604173623673
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.043001138774011e-08,0.0,0.00012838550116176854
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499812485857577,0.0,125523.28160280037
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7437184098544547,0.0,76600.04880174153
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.641636499914084,0.0,44401.54242754422
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.03667084532505997,0.0,1770.44612770328
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.048290109798384e-09,0.0,0.00013551129722783986
