Node,StorageType,Period,storPWInvCap_MW,storPWInstalledCap_MW,storENInvCap_MWh,storENInstalledCap_MWh,DiscountedInvestmentCostPWEN_EuroPerMWMWh,ExpectedAnnualDischargeVolume_GWh,ExpectedAnnualLossesChargeDischarge_GWh
Austria,HydroPumpStorage,2020-2025,3.382151135156164e-06,3503.000003382151,3.320456016808748e-07,124704.00000033205,3.586123480090459,1912.7959655251743,478.19900012055496
Austria,HydroPumpStorage,2025-2030,5.348833057599384e-06,3503.0000087244425,4.169410976602149e-06,124704.0000044884,4.743516666623138,2400.6242735112946,600.1560684385938
Austria,HydroPumpStorage,2030-2035,1751.4999650332838,5254.499974043813,1.0479897832178603e-06,124704.00000552327,1129032494.2831674,7799.077459049453,1949.7693644143283
Austria,HydroPumpStorage,2035-2040,1.4369969844370431e-05,5254.499987065618,5.094613262592131e-07,124704.00000601966,7.2835425128219065,8839.062786303815,2209.765696563286
Austria,HydroPumpStorage,2040-2045,2.603303915341522e-07,5254.499987163487,8.652105169832982e-07,124704.00000687179,0.12136943822959101,11334.661200832701,2833.6653002161975
Austria,HydroPumpStorage,2045-2050,5.36125101773416e-06,5254.499989781899,1.1006945994862925e-06,124704.00000764042,1.2493941352234574,10873.274751228275,2718.318687812527
Austria,HydroPumpStorage,2050-2055,5.48613112859366e-06,5254.499990486503,1.5237255109399363e-06,124704.00000499476,0.7505100726003568,10253.065296940498,2563.266324231139
Austria,HydroPumpStorage,2055-2060,1751.4999516129471,5254.499977064465,4.018089494267746e-06,124704.00000796485,102418121.54557349,9627.540585960463,2406.885146460091
Austria,Li-Ion_BESS,2020-2025,0.00043409740567402393,0.00043409740567402393,0.0008681948113480479,0.0008681948113480479,256.2548863661225,0.0013111673911021379,0.00014568478974175296
Austria,Li-Ion_BESS,2025-2030,0.00398876629423415,0.0044228571588360915,0.007977532588468155,0.008845714317672183,1500.4513255835036,0.003459924815875814,0.00038443559527641077
Austria,Li-Ion_BESS,2030-2035,402.9113834723904,402.91580632314196,805.8227669448315,805.8316126462839,116970543.21811761,361.56996810028505,40.174440899541146
Austria,Li-Ion_BESS,2035-2040,5158.456097234474,5561.3714693841075,10316.912194311402,11122.742938768215,1173384136.30663,3709.5250433703955,412.1694492629216
Austria,Li-Ion_BESS,2040-2045,1988.8367037925684,7550.204184477345,3977.6734076907132,15100.40836895469,354464792.19957316,5797.744151133914,644.1937945698935
Austria,Li-Ion_BESS,2045-2050,3557.306030494748,10704.598831500452,7114.6120610083535,21409.197663000905,496762394.3128243,10262.84759642532,1140.316399601889
Austria,Li-Ion_BESS,2050-2055,18295.42212756816,23841.56486172147,36590.844255525,47683.12972344294,1489207673.776338,18700.50287175491,2077.833652416382
Austria,Li-Ion_BESS,2055-2060,2.866167023666259e-05,21852.728187140776,5.7356431479187474e-05,43705.45637428155,1.0254374803295172,16805.41678653193,1867.26853183651
BosniaH,HydroPumpStorage,2020-2025,2.8043740485372837e-07,440.0000002804374,4.3289173845550977e-07,2199.340000432892,0.33991290763424287,20.50194242478918,5.12548560443326
BosniaH,HydroPumpStorage,2025-2030,1.3474540022657806e-07,440.0000004086416,7.466732355096059e-07,2199.340001166482,0.1722843661046896,297.3343369359878,74.33358423227747
BosniaH,HydroPumpStorage,2030-2035,7.352187648463669e-08,440.0000004756226,4.013350807934937e-05,2199.340041286909,2.634434571823818,532.764041417859,133.1910103527609
BosniaH,HydroPumpStorage,2035-2040,8.742877822450158e-08,440.00000055651066,219.93388650984107,2419.2739299949244,11108155.829544874,539.7150052374856,134.92875130766092
BosniaH,HydroPumpStorage,2040-2045,4.159525155316874e-07,440.00000096592163,1.4219626355034696e-06,2419.273930552372,0.19530610319621317,613.2182204114027,153.30455510112608
BosniaH,HydroPumpStorage,2045-2050,1.0324910418565647e-06,440.0000017179752,1.2436556200574614e-06,2419.2739279909147,0.26417203343428347,599.5675078617586,149.8918769638162
BosniaH,HydroPumpStorage,2050-2055,7.020004842105297e-07,440.0000022852304,2.3761458454666684e-05,2419.273953018089,0.40971505147417575,616.0179192723646,154.00447981632007
BosniaH,HydroPumpStorage,2055-2060,1.1393714197559365e-06,440.00000335107995,2.882201313842555e-05,2419.273941882789,0.23515954114658438,634.4219866249944,158.60549665456188
BosniaH,Li-Ion_BESS,2020-2025,0.00040677397655306034,0.00040677397655306034,0.0008135479531061207,0.0008135479531061207,240.1254137339291,0.0010551138833903538,0.0001172344785147957
BosniaH,Li-Ion_BESS,2025-2030,0.00047789007317740497,0.0008846575086568189,0.0009557801463513552,0.0017693150173136378,179.7675624206185,0.001558846715997358,0.00017320480047260616
BosniaH,Li-Ion_BESS,2030-2035,0.10640043614469996,0.10728508711229533,0.21280087228940464,0.21457017422459065,30889.464346302317,0.09107874270160929,0.01011985991401377
BosniaH,Li-Ion_BESS,2035-2040,616.9285905541768,617.0354690257489,1233.8571811088977,1234.0709380514977,140331565.8319533,403.1711769397261,44.796797437347166
BosniaH,Li-Ion_BESS,2040-2045,4.127430524896477e-06,617.0349951051307,8.254861048931816e-06,1234.0699902102615,0.7356203756532768,440.8498037503003,48.983311527417584
BosniaH,Li-Ion_BESS,2045-2050,2.8763224139932118e-05,616.9286234318605,5.7525336698550926e-05,1233.857246863721,4.016591403517342,428.01333316594094,47.5570370180514
BosniaH,Li-Ion_BESS,2050-2055,374.8400564819586,374.84008935954625,749.6801129652594,749.6801787190925,30511167.474305395,276.3936644341357,30.710407158946932
BosniaH,Li-Ion_BESS,2055-2060,0.0003871716772439884,374.84047240378834,0.0007743431607290213,749.6809448075767,13.84491629894682,250.51712455015775,27.835236060743114
Belgium,HydroPumpStorage,2020-2025,3.7306749618437607e-06,1308.000003730675,3.5202447179472074e-07,7762.5000003520245,3.954171279474389,1139.9075996765366,284.97689991723877
Belgium,HydroPumpStorage,2025-2030,2.5022627030578283e-06,1308.0000062263966,6.29062100718069e-07,7762.500000968004,2.1103708130909498,580.7619088039038,145.19047719879106
Belgium,HydroPumpStorage,2030-2035,2.2818500681578796e-07,1308.0000064480403,2.191420772669126e-06,7762.500003146344,0.2883510268654166,1226.1417211201847,306.5354302778084
Belgium,HydroPumpStorage,2035-2040,1.8278175535665282e-07,1308.000006624281,776.249900606001,8538.749905417919,39205894.92352193,1805.0027902790662,451.2506975674166
Belgium,HydroPumpStorage,2040-2045,5.324263799024705e-07,1308.000007150167,3.2000656789337377e-06,8538.749908474278,0.2982813248178726,1870.5788670982006,467.6447167726645
Belgium,HydroPumpStorage,2045-2050,1.6614704475791356e-05,1308.0000200341965,4.2245670888280105e-06,8538.749910653316,3.8904921310702885,1652.4005925803108,413.10014814210456
Belgium,HydroPumpStorage,2050-2055,5.50828240146625e-06,1308.0000230402156,3.6367207139187173e-06,8538.749913806478,0.7815834178855879,1856.7525538589477,464.18813846293074
Belgium,HydroPumpStorage,2055-2060,7.921588908235886e-06,1308.0000307336197,5.894836816838646e-06,8538.749917203651,0.49768089687635697,1648.415432651088,412.1038581600943
Belgium,Li-Ion_BESS,2020-2025,0.0004598900181328331,0.0004598900181328331,0.0009197800362656662,0.0009197800362656662,271.4806925753419,0.0013650613032080699,0.00015167304132456588
Belgium,Li-Ion_BESS,2025-2030,0.013187780951521968,0.013647664428587688,0.026375561903046248,0.027295328857175376,4960.838001168752,0.007448054120861663,0.0008275610980265967
Belgium,Li-Ion_BESS,2030-2035,3.575414514052647e-06,0.013651233302031815,7.150829037415946e-06,0.02730246660406363,1.0379904752606974,0.014503020076385313,0.0016114461745924311
Belgium,Li-Ion_BESS,2035-2040,529.3074232761942,529.3206144974052,1058.6148465532685,1058.6412289948105,120400546.59831403,397.32867561310553,44.147630623180106
Belgium,Li-Ion_BESS,2040-2045,1956.1053563678306,2485.412783198434,3912.210712719207,4970.825566396868,348631175.86496794,1780.557180018299,197.8396866681975
Belgium,Li-Ion_BESS,2045-2050,1423.8754172168442,3909.2881968368756,2847.7508344326343,7818.576393673751,198838040.751741,2421.467843199889,269.0519825772329
Belgium,Li-Ion_BESS,2050-2055,1232.8189999804608,4612.7997735436875,2465.6379999535407,9225.599547087375,100348792.30032721,3159.6554965003634,351.07283294423075
