BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1857.4603717309617,55.72381115192895
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3782.9483814741147,113.48845144422354
Switzerland,Austria,2030-2035,615.3777629788601,1815.3777629788601,147331326.37262845,6298.29632528792,188.94888975863788
Switzerland,Austria,2035-2040,384.6222249320391,2199.999987900728,66150117.70096027,10893.711393396065,326.8113418018826
Switzerland,Austria,2040-2045,1000.0000043099585,3199.9999921856543,119154999.77003083,20555.045233338813,616.6513570001665
Switzerland,Austria,2045-2050,1.8617581978771136e-07,3199.9999926349706,0.014476948063008505,18591.35723611704,557.7407170835108
Switzerland,Austria,2050-2055,3.6058392783225325e-07,3199.9999928974717,0.01634351457647349,17314.184989923146,519.4255496976944
Switzerland,Austria,2055-2060,1.4226969632044016e-06,3199.999994139471,0.028328626164980775,17139.47826801884,514.1843480405661
CzechR,Austria,2020-2025,0.0,900.0,0.0,4638.13033574686,139.14391007240636
CzechR,Austria,2025-2030,0.0,900.0,0.0,3332.1706711156994,99.96512013347122
CzechR,Austria,2030-2035,999.9999936430104,1899.9999936430104,87917390.44997527,9038.702296021385,271.1610688806421
CzechR,Austria,2035-2040,4.063983292200409e-06,1899.9999976968227,0.25666677338345945,9102.660458494698,273.0798137548406
CzechR,Austria,2040-2045,2.2250313918538316e-07,1899.999997909155,0.009735760969628865,10455.617669976604,313.66853009929855
CzechR,Austria,2045-2050,1.574550974377268e-07,1899.9999980564382,0.0044960585506148825,11822.247353443685,354.66742060331103
CzechR,Austria,2050-2055,1.1911870118476613e-07,1899.9999981654012,0.001982624783508957,9015.087990036964,270.4526397011095
CzechR,Austria,2055-2060,2.4541726680491007e-07,1899.9999984006317,0.0017944845175744,11847.85939876485,355.4357819629453
Germany,Austria,2020-2025,0.0,5000.0,0.0,15424.524355992959,462.7357306797877
Germany,Austria,2025-2030,1999.9999654211078,6999.999965421108,891259.9392215447,18286.776568399804,548.6032970519931
Germany,Austria,2030-2035,499.9999936390384,7499.999959093411,149745.32859541787,29696.451298661443,890.8935389598463
Germany,Austria,2035-2040,4.085394721646955e-05,7499.999999892081,0.008789420722562951,38417.41943559314,1152.5225830677934
Germany,Austria,2040-2045,699.9999940904014,8199.999992442192,104337.46697357397,45240.720493136316,1357.221614794089
Germany,Austria,2045-2050,4.293440306301397e-06,8199.999998487117,0.000417627564001211,43851.94896871508,1315.55846906145
Germany,Austria,2050-2055,6.133203944744201e-08,8199.999998459802,3.47741465672201e-06,43137.46025862182,1294.1238077586513
