Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.002928119126373673,40897.51961591587,7.159649665487666e-06
Austria,Hydrorun-of-the-river,2025-2030,163.79238754776514,41456.121839018684,0.3950981912485674
Austria,Hydrorun-of-the-river,2030-2035,13055.534285732549,53700.46783749328,24.311770104574897
Austria,Hydrorun-of-the-river,2035-2040,12481.369762066854,54195.30134218519,23.030354021394576
Austria,Hydrorun-of-the-river,2040-2045,15009.119198621145,55557.17219803247,27.015628414494223
Austria,Hydrorun-of-the-river,2045-2050,15154.286266548175,55497.30281247803,27.3063473332273
Austria,Hydrorun-of-the-river,2050-2055,14231.683623270485,54669.25215072706,26.032336392736287
Austria,Hydrorun-of-the-river,2055-2060,11240.865611002058,53212.278039460696,21.12457129286244
Belgium,Hydrorun-of-the-river,2020-2025,410.6823705823382,881.4823698704334,46.58996987571098
Belgium,Hydrorun-of-the-river,2025-2030,45.78732303308141,516.5873227298192,8.86342366884382
Belgium,Hydrorun-of-the-river,2030-2035,258.11698113240595,728.9169805185355,35.41102595096457
Belgium,Hydrorun-of-the-river,2035-2040,227.64910972439534,698.4491092496239,32.59351421737359
Belgium,Hydrorun-of-the-river,2040-2045,548.462296277268,1019.2622959005743,53.809730673169994
Belgium,Hydrorun-of-the-river,2045-2050,1409.183440142467,1879.983439488575,74.9572262469406
Belgium,Hydrorun-of-the-river,2050-2055,818.1146890959266,1288.9146884827371,63.473144996041675
Belgium,Hydrorun-of-the-river,2055-2060,515.7960188889158,986.5960100987982,52.280367405627736
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.615544797588,6836.323336996808,41.902868012325634
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.391718198409,5523.441236174871,52.22091799053747
Bulgaria,Hydrorun-of-the-river,2030-2035,4625.138945078249,7434.066967398047,62.21545979289269
Bulgaria,Hydrorun-of-the-river,2035-2040,4145.467506394674,5931.506879705053,69.88894374511473
Bulgaria,Hydrorun-of-the-river,2040-2045,4250.514722548842,6112.502434696144,69.53804547253547
Bulgaria,Hydrorun-of-the-river,2045-2050,5607.24600508487,7066.370593240877,79.3511454161251
Bulgaria,Hydrorun-of-the-river,2050-2055,4988.056279395683,6488.368388368894,76.87689694588423
Bulgaria,Hydrorun-of-the-river,2055-2060,4193.98233790106,5667.7636264277335,73.99712857369875
Switzerland,Hydrorun-of-the-river,2020-2025,0.0017656560651170474,1347.1249298949167,0.00013106847226520993
Switzerland,Hydrorun-of-the-river,2025-2030,0.0013659342431047625,19731.60408099336,6.92257070179363e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.688214544113965,19379.38840989546,0.003551270708638826
