Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1056014426.8972579,-4.080757505583886e-08,1100000000.0,3343808.1589489477,0.31581190567738815,39.421132583438315,23050.420398372757,8727.026315856516,17655.414431451587
2020-2025,scenario2,1099999997.01394,-0.01497838430468983,1100000000.0,3510970.0157328914,0.3133037286233429,46.07557881417507,13966.981868203377,8223.496219789882,16221.582600970663
2020-2025,scenario3,1070128276.7310426,-1.755318727022463e-08,1100000000.0,3396957.5544017875,0.3150255072643966,39.36527579791275,27566.07452033915,6457.277717278252,17094.52361264513
2025-2030,scenario1,989999999.7711004,-0.2272491665184885,990000000.0,4469149.684879607,0.22151864886524764,43.15363111666359,54679.98179670612,12953.290031064678,22401.253524712745
2025-2030,scenario2,990000000.0172038,-12.865299195427712,990000000.0,4634275.810865126,0.21362561065012597,43.182011715107805,52166.49822403219,15595.588754675542,23088.34038874271
2025-2030,scenario3,990000000.011545,-37.73201465581737,990000000.0,4547731.173030738,0.2176909677252845,56.837021973626726,59235.42458531614,9176.898801800147,21567.958921417972
2030-2035,scenario1,770000000.2031446,-34.39307038521039,770000000.0,5460484.055605822,0.1410131395608875,42.77178207450132,57017.55565781333,17480.44053373859,48648.14542873618
2030-2035,scenario2,735023871.8046701,-8.69387053747029e-08,770000000.0,5725403.695439431,0.12837939661619752,26.358246723445557,159867.6090914745,28842.83912832163,54467.71019112954
2030-2035,scenario3,674994405.5936698,-4.398965976621132e-07,770000000.0,5530432.3723518355,0.12205092841712689,150.3436627401822,209105.67280126287,26740.400185207276,54822.33264944514
2035-2040,scenario1,330000000.0173123,-66.37227971427765,330000000.0,6683469.876839873,0.04937554984138543,185.049896730065,103171.6762243929,40134.58397623244,60406.81094567956
2035-2040,scenario2,330000000.02567846,-37.817821326621385,330000000.0,6571813.710010707,0.05021444833760198,31.330892933556036,183024.83824929057,36842.093237332105,58690.04336291319
2035-2040,scenario3,330000000.0258802,-37.8178331495959,330000000.0,6785915.37540201,0.04863013783255896,169.60104793295247,179461.1335247662,35604.62767402372,62085.081626256404
2040-2045,scenario1,66000000.02637581,-50.538733710672965,66000000.0,7294589.059594781,0.009047802348723707,20.17013220830277,668821.0583251134,49294.144683689636,77609.66239922617
2040-2045,scenario2,66000000.03566373,-116.18605179265703,66000000.0,7456250.327266116,0.008851634151057575,30.1407681723812,358890.7721267191,56842.80977079693,79078.51162505415
2040-2045,scenario3,66000000.02563158,-275.4852376331542,66000000.0,7397239.5908914935,0.008922247172702685,32.010184739728274,289654.50840917573,59752.833463979536,77021.38457211583
2045-2050,scenario1,55000000.02174736,-47.82396256527719,55000000.0,7940135.100713436,0.00692683428230417,11.124949460301565,707714.725584034,60023.74141477671,81153.84221190431
2045-2050,scenario2,55000000.021793455,-47.82398359419369,55000000.0,8227005.888489738,0.006685299702865722,14.804039467108652,492172.7540277549,57656.03575840646,82824.69550569949
2045-2050,scenario3,55000000.001976036,-749.3131268169059,55000000.0,8019833.9743377045,0.006857997332359226,60.28210222178189,564270.955125187,69922.80611517963,81728.43284268453
2050-2055,scenario1,33000000.016028803,-47.671322582262064,33000000.0,8096410.711321624,0.0040758801884744475,17.559117217781623,567019.3411758351,90558.42022068916,77606.67993124494
2050-2055,scenario2,33000000.019617032,-63.46151452313418,33000000.0,8177401.991513095,0.004035511529684628,23.478135889217615,501844.91388280585,69254.55018503072,80065.06790840176
2050-2055,scenario3,33000000.01601207,-44.85442119927246,33000000.0,7969916.836865393,0.004140570183037329,13.320303189715805,537343.373287705,91447.21108946801,78728.25940973531
2055-2060,scenario1,22000000.01578564,-39.62727427301295,22000000.0,8367980.828533423,0.002629069122717039,46.67136892917356,506845.0562367142,74761.97404430747,82599.10763355925
2055-2060,scenario2,22000000.015788868,-37.35195116264166,22000000.0,7899468.619335703,0.0027849974569097756,8.85728488837659,514414.24852864095,84583.35889975454,77327.52576281456
2055-2060,scenario3,22000000.016429294,-58.29076483524019,22000000.0,7954467.622687645,0.0027657413493872456,12.008092461154538,505152.31293604185,66757.48735185302,81768.15756129852
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352863.29454498575
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223670.34819258627
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136138.14640299682
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4139.933586618899
Liginiteexisting,2040-2045,0.0,12263.0,0.0,3.7188165114572724
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,8.221534357913157
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28494.06298128525,28494.06298128525,70538586512.78708,199211.63860858252
Lignite,2025-2030,0.0003224660462934821,28494.06330214931,596.8643638678465,196003.20516954854
Lignite,2030-2035,0.002193837582956238,28494.065494384937,2986.9834250546483,178583.28237515996
Lignite,2035-2040,2.334206789570624e-05,28494.06551612501,22.83024720211458,72768.48620889483
Lignite,2040-2045,2.7955502705784266e-05,28494.06554247854,18.943255422910827,0.006588042061958163
Lignite,2045-2050,3.979910797544719e-05,28494.065580675666,17.599572562704296,7.4420216248044255
Lignite,2050-2055,6.337592358895747e-05,28494.065642449612,16.335725667937417,2.5855141085580997
Lignite,2055-2060,0.00010914915683983918,28494.065749996786,12.35971722080935,186.6466321320035
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359761.65134783904
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,248119.35591817187
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,132662.54657033243
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6587.597046877827
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,5.075431174545698
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,17.621257705603284
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.10854326476028485,0.10854326476028485,232416.772242386,0.5299577366798588
Coal,2025-2030,0.013684756520331375,0.12222433672712057,21908.918727882286,0.5767322992527263
Coal,2030-2035,0.0022828474751055935,0.1245034996470525,2688.422049762759,0.49135447796560977
Coal,2035-2040,0.0002013868887168399,0.12470120198453784,170.37061491167145,0.09150456182940146
Coal,2040-2045,0.0001385669191595048,0.12483608435042608,81.21552993540975,0.017274179032405836
Coal,2045-2050,0.00017024472623909542,0.1250026445233263,65.11704167339619,0.020780260070012418
Coal,2050-2055,0.0006533861135559027,0.12565234608358047,145.67205360097887,0.028652000239901033
Coal,2055-2060,0.0021095666816400363,0.1277582282118241,206.62060053643762,0.03027472177592521
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187487.38298916272
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116515.55071447705
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52936.67565827033
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10000.267427084986
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,829.18872703627
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.07449933071236294,0.07449933071236294,54738.45288105221,0.04805382207563499
GasOCGT,2025-2030,9507.751317061351,9507.825811105367,5473579947.467987,1570.4956130768353
GasOCGT,2030-2035,84659.87738896412,94167.70322364483,38187813396.239586,11924.60178847302
