Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0017656827910085557,40897.51843225866,4.317334788743176e-06
Austria,Hydrorun-of-the-river,2025-2030,164.26213980925283,41456.59159990853,0.39622683262175196
Austria,Hydrorun-of-the-river,2030-2035,13126.121975926651,53782.59902899715,24.405890033037707
Austria,Hydrorun-of-the-river,2035-2040,12483.1477679174,54197.07935679732,23.032879107260936
Austria,Hydrorun-of-the-river,2040-2045,15009.119262140024,55557.17225117449,27.015628502983663
Austria,Hydrorun-of-the-river,2045-2050,15148.370150531724,55497.30286138256,27.295687122612623
Austria,Hydrorun-of-the-river,2050-2055,14231.683782149832,54669.25219396763,26.032336662765253
Austria,Hydrorun-of-the-river,2055-2060,11240.865687967878,53212.27807854153,21.124571421987078
Belgium,Hydrorun-of-the-river,2020-2025,410.6823652671069,881.4823648582329,46.58996953763858
Belgium,Hydrorun-of-the-river,2025-2030,45.7873195797402,516.5873194522131,8.863423056588548
Belgium,Hydrorun-of-the-river,2030-2035,258.11697488660127,728.9169745410582,35.41102538449146
Belgium,Hydrorun-of-the-river,2035-2040,217.4210580068657,688.2210577748111,31.591747382714757
Belgium,Hydrorun-of-the-river,2040-2045,533.5365109527082,1004.3365107794364,53.12328141278525
Belgium,Hydrorun-of-the-river,2045-2050,1409.1838805112325,1879.9838801350681,74.95723210190447
Belgium,Hydrorun-of-the-river,2050-2055,818.1149929606662,1288.9149926448715,63.47315359268828
Belgium,Hydrorun-of-the-river,2055-2060,515.7962330514489,986.5962277733101,52.28037757812746
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.5621263160697,6836.323336996808,41.90208662035681
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3649582732446,5523.441236174871,52.22043351131484
Bulgaria,Hydrorun-of-the-river,2030-2035,4625.087239589373,7434.066967398047,62.21476427200079
Bulgaria,Hydrorun-of-the-river,2035-2040,4145.651588994094,5931.506879705053,69.89204721617449
Bulgaria,Hydrorun-of-the-river,2040-2045,4250.622229611227,6112.502434696144,69.5398042785815
Bulgaria,Hydrorun-of-the-river,2045-2050,5601.866804928154,7066.370593240877,79.27502146981155
Bulgaria,Hydrorun-of-the-river,2050-2055,4989.594967035787,6488.368388368894,76.90061150011425
Bulgaria,Hydrorun-of-the-river,2055-2060,4212.0827835473065,5667.7636264277335,74.31648638110354
Switzerland,Hydrorun-of-the-river,2020-2025,0.001092034964963744,1347.1248789807705,8.106412271072995e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0008268742079883463,19731.60421678597,4.190608117331444e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.6252547041798246,19379.388535752685,0.0032263902600760774
Switzerland,Hydrorun-of-the-river,2035-2040,0.007640830388750853,17539.123129543066,4.356449482859588e-05
Switzerland,Hydrorun-of-the-river,2040-2045,98.63367067043244,19918.02175600518,0.49519812699619586
Switzerland,Hydrorun-of-the-river,2045-2050,398.80489503806797,13012.33044087956,3.0648229911621505
Switzerland,Hydrorun-of-the-river,2050-2055,279.6092841653856,19271.656782853668,1.45088347782407
