Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1055810534.2570341,-1.5052721884621781e-09,1100000000.0,3343794.44636155,0.3157522243647334,39.39857315674289,23391.693808932912,8665.336719667164,17703.391472530788
2020-2025,scenario2,1099999997.962016,-0.01497778838783581,1100000000.0,3511025.5575512466,0.31329877266093836,46.085261997902116,13921.105737789201,8224.474952849592,16276.145716857529
2020-2025,scenario3,1069642897.5277342,-1.8285808144462873e-09,1100000000.0,3396989.6757007134,0.31487964334395757,39.384531300407296,27610.51386730742,6450.569702716801,17133.353367342123
2025-2030,scenario1,989999999.809759,-0.22723182452620616,990000000.0,4469220.750035489,0.22151512650206276,42.96311025072068,54542.443995961476,13002.88848325134,22422.720250880233
2025-2030,scenario2,990000000.0242817,-12.815170569410208,990000000.0,4634323.137141822,0.2136234290807051,43.185282848156405,51975.83912795199,15627.331358882848,23103.924146490102
2025-2030,scenario3,990000000.0678929,-37.44656126237825,990000000.0,4547830.395719436,0.2176862182458827,56.841303754581205,59050.37672310574,9242.840723191779,21601.23971545386
2030-2035,scenario1,770000000.0203542,-36.44401285959059,770000000.0,5454542.768385462,0.1411667361897426,43.27723448033068,57776.63097183083,17697.778945669284,42489.519819033885
2030-2035,scenario2,744084858.5984689,-1.0200758612302239e-07,770000000.0,5719875.152194095,0.130087604851487,26.370651100221778,164525.2842674759,29213.191217469604,48568.81485913112
2030-2035,scenario3,677245255.543323,-2.774174282976925e-09,770000000.0,5524813.957796289,0.12258245448928859,145.61957218710148,214087.40490705878,27012.595997238615,48924.050171279
2035-2040,scenario1,330000000.04389155,-66.53472164352064,330000000.0,6683971.112843529,0.04937184713587274,184.3288727911859,104390.7663271592,39972.08677009725,61070.54416527056
2035-2040,scenario2,330000000.0188467,-37.817812263243965,330000000.0,6572273.239505557,0.05021093737174907,31.549153001402708,185987.81155957902,36628.72250128098,59362.94358278509
2035-2040,scenario3,330000000.0204692,-37.817833280459354,330000000.0,6786380.172838284,0.04862680716610095,172.18102471581264,184350.67535147563,35346.182513984095,62808.32421890238
2040-2045,scenario1,66000000.0206585,-50.5387306704834,66000000.0,7293348.468870773,0.00904934136938054,20.063689394028234,666440.2105764445,48946.29320495484,76716.92316800763
2040-2045,scenario2,66000000.023663834,-114.11193636653694,66000000.0,7454918.425556425,0.008853215589510152,30.002797948606066,359221.4346513301,56410.15479359546,78179.26488924192
2040-2045,scenario3,66000000.016770445,-278.36519740852975,66000000.0,7395733.785533583,0.008924063781997095,32.35738638127119,287302.8789543802,59322.39510413889,75946.0176418502
2045-2050,scenario1,55000000.01701134,-47.823961275261134,55000000.0,7939106.812945403,0.0069277314580688774,10.992369780477503,711700.5164281416,59675.406380808854,80473.88947014925
2045-2050,scenario2,55000000.01702444,-47.82397836093799,55000000.0,8225972.757641094,0.006686139334212531,14.969753436890096,493932.1898038688,57269.429002249,82178.17141766827
2045-2050,scenario3,55000000.017628156,-754.4744394472452,55000000.0,8019913.766812437,0.006857929102083272,60.01091120280768,563486.6980869727,69602.33998062537,82128.69163996898
2050-2055,scenario1,33000000.012465604,-47.671318454069514,33000000.0,8097045.83523881,0.0040755604801997565,17.57676999005138,567303.7353297245,90561.45384299694,78238.77021332567
2050-2055,scenario2,33000000.012691684,-63.18155038223286,33000000.0,8177226.790310056,0.004035597991705059,23.316771732780953,505499.9905714128,69632.44954271147,79511.96733629084
2050-2055,scenario3,33000000.012432072,-44.85440087964412,33000000.0,7969121.895862777,0.004140983215423485,13.067509481982974,538163.6958179718,91636.7806953509,77743.7487913418
2055-2060,scenario1,22000000.012355346,-40.695270626937244,22000000.0,8366942.269707799,0.002629395459319216,46.90142059877777,507598.23501351423,74688.2690039432,81634.25382452806
2055-2060,scenario2,22000000.012330662,-37.35193306530101,22000000.0,7898813.229646508,0.002785228536580464,8.834231055567711,514943.4642640034,84566.79626767787,76688.69868212906
2055-2060,scenario3,22000000.01016364,-59.750257754972,22000000.0,7953883.98272561,0.0027659442931206764,12.189613668730761,504238.91528191586,66674.48087431716,81267.52405269664
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,353075.4212318135
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223804.04021264077
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,134309.549929103
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4026.6874841945496
Liginiteexisting,2040-2045,0.0,12263.0,0.0,5.609201966725903
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.087840702689964
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28630.630184272988,28630.630184272988,70876665974.08,200190.67362464676
Lignite,2025-2030,0.00033562849015110523,28630.63051863414,621.2272193384545,197020.78168650955
Lignite,2030-2035,0.0025235162232061987,28630.63304088303,3435.8519473516467,178698.91790162236
Lignite,2035-2040,8.063419855256447e-05,28630.63312024989,78.8661353451923,72640.35995346135
Lignite,2040-2045,9.779626505007403e-05,28630.633216778813,66.26887191933497,0.0065316601240594995
Lignite,2045-2050,0.00017987895980955574,28630.633395390447,79.5443156068996,7.366771717322099
Lignite,2050-2055,0.0005858552550227357,28630.63397997836,151.0095661759863,3.3270808979898976
Lignite,2055-2060,0.0004324039392116602,28630.634411114966,48.96410168025654,187.55566998638244
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359725.7715577209
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,248261.59788691852
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,127126.80706237386
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6441.272193235996
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,5.644326499171913
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,16.69986882065498
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.10544825200355025,0.10544825200355025,225789.61876070392,0.5160151049439176
Coal,2025-2030,0.019166310114505702,0.12461164724451958,30684.73523721309,0.5932715415913262
Coal,2030-2035,0.003067910491237526,0.12767664286219466,3612.960699864522,0.49565315902627766
Coal,2035-2040,0.0005138592719796408,0.1281875872606496,434.71807277548226,0.09590800564673349
Coal,2040-2045,0.0007088100569764128,0.12889348244406568,415.44103563869015,0.01673984731874827
Coal,2045-2050,0.0014633416061221353,0.13035390917664372,559.714702788763,0.019627536842768287
Coal,2050-2055,0.0033157025048683756,0.1336666968079904,739.2339429827211,0.02726885372896455
Coal,2055-2060,0.008915860729297415,0.14257964266371992,873.2601411558578,0.026996663838209967
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,188191.1340227179
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,117350.98132518724
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,54533.83112003104
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10072.374368683973
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,702.8637712082293
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.08101914557773397,0.08101914557773397,59528.89294794629,0.050580845475803785
GasOCGT,2025-2030,9366.00957271762,9366.090587680783,5391979709.547713,1571.0985646333459
GasOCGT,2030-2035,84703.54456972679,94069.63515860103,38207510497.179665,12590.208327513907
