Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0017523371665993407,40897.51843511349,4.284702920006101e-06
Austria,Hydrorun-of-the-river,2025-2030,168.2992016370642,41460.62871314467,0.40592534860356955
Austria,Hydrorun-of-the-river,2030-2035,12635.626519011652,53249.780973570414,23.728973693400018
Austria,Hydrorun-of-the-river,2035-2040,12441.81651915877,54155.74809516056,22.974138400408485
Austria,Hydrorun-of-the-river,2040-2045,15009.11921824993,55557.172236512706,27.015628431113335
Austria,Hydrorun-of-the-river,2045-2050,15163.356321338355,55497.30284562018,27.322690552222106
Austria,Hydrorun-of-the-river,2050-2055,14231.68378865729,54669.25218037262,26.032336681142233
Austria,Hydrorun-of-the-river,2055-2060,11240.865696639332,53212.278065485756,21.12457144346601
Belgium,Hydrorun-of-the-river,2020-2025,410.6823706085922,881.4823702193928,46.58996986024543
Belgium,Hydrorun-of-the-river,2025-2030,45.78732285153743,516.5873226968422,8.863423634266688
Belgium,Hydrorun-of-the-river,2030-2035,258.1169797834164,728.9169794309266,35.41102581873331
Belgium,Hydrorun-of-the-river,2035-2040,231.8574335699734,702.6574332468035,32.99722206006111
Belgium,Hydrorun-of-the-river,2040-2045,554.6035651142782,1025.4035649176112,54.08636990245292
Belgium,Hydrorun-of-the-river,2045-2050,1409.1837929752053,1879.9837926071405,74.95723093553721
Belgium,Hydrorun-of-the-river,2050-2055,818.1149288106017,1288.9149284694404,63.47315177597454
Belgium,Hydrorun-of-the-river,2055-2060,515.7961827257575,986.5961774425848,52.280375144244296
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.5541607286145,6836.323336996808,41.90197010176834
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.361693189299,5523.441236174871,52.22037439809526
Bulgaria,Hydrorun-of-the-river,2030-2035,4624.874412360342,7434.066967398047,62.21190140797274
Bulgaria,Hydrorun-of-the-river,2035-2040,4147.481803432234,5931.506879705053,69.92290302525065
Bulgaria,Hydrorun-of-the-river,2040-2045,4245.387886181998,6112.502434696144,69.45417088235546
Bulgaria,Hydrorun-of-the-river,2045-2050,5609.044505065021,7066.370593240877,79.37659695389007
Bulgaria,Hydrorun-of-the-river,2050-2055,4988.377527887839,6488.368388368894,76.88184809034655
Bulgaria,Hydrorun-of-the-river,2055-2060,4202.029261838792,5667.7636264277335,74.13910562969681
Switzerland,Hydrorun-of-the-river,2020-2025,0.0011019143844828367,1347.1250867355714,8.179748082288758e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0008219800637588217,19731.60421059101,4.1658045386782135e-06
Switzerland,Hydrorun-of-the-river,2030-2035,0.006686231847195655,19379.38852848626,3.4501768914779694e-05
Switzerland,Hydrorun-of-the-river,2035-2040,0.007449655849499662,17539.123118778338,4.2474505703900644e-05
Switzerland,Hydrorun-of-the-river,2040-2045,102.25366739555653,19918.021749623465,0.5133726063809001
Switzerland,Hydrorun-of-the-river,2045-2050,395.9810538051633,13012.330437354622,3.0431217199066563
Switzerland,Hydrorun-of-the-river,2050-2055,268.38218135322387,19271.656776341024,1.392626407101153
Switzerland,Hydrorun-of-the-river,2055-2060,87.42689824742278,17078.512085562834,0.5119116806511986
CzechR,Hydrorun-of-the-river,2020-2025,85.05696929424825,1340.112537349697,6.3470019810771285
CzechR,Hydrorun-of-the-river,2025-2030,151.37560673839394,1372.6125277872611,11.02828392382671
CzechR,Hydrorun-of-the-river,2030-2035,287.6307750052038,1437.1496794374439,20.013974822566404
CzechR,Hydrorun-of-the-river,2035-2040,419.13894726367346,1951.995742880004,21.472328963446895
CzechR,Hydrorun-of-the-river,2040-2045,300.5120518957886,1769.2863334110214,16.98493037678243
CzechR,Hydrorun-of-the-river,2045-2050,608.3170525627698,1766.4206048231258,34.437837223014135
CzechR,Hydrorun-of-the-river,2050-2055,279.68036209879745,1606.063082260677,17.414033432928573
CzechR,Hydrorun-of-the-river,2055-2060,263.226247760374,1735.3241094877544,15.168708042561285
Germany,Hydrorun-of-the-river,2020-2025,0.002010736957575927,22743.06168355167,8.841100576313962e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0007970968237256998,21792.578299514826,3.6576526777625286e-06
Germany,Hydrorun-of-the-river,2030-2035,441.7466232296667,23254.42764040849,1.8996237192355463
Germany,Hydrorun-of-the-river,2035-2040,0.008785695427667878,22720.14046517665,3.8669195030434726e-05
Germany,Hydrorun-of-the-river,2040-2045,818.1466318043687,23008.454580656937,3.5558521713673867
Germany,Hydrorun-of-the-river,2045-2050,1202.802584612619,23652.13200631423,5.085387584897276
Germany,Hydrorun-of-the-river,2050-2055,1410.830358305565,23733.12459983625,5.944562218812517
Germany,Hydrorun-of-the-river,2055-2060,1066.8554816117196,22085.227424410485,4.830629366453974
Denmark,Hydrorun-of-the-river,2020-2025,0.001067454848322426,21.248424432200732,0.005023689411553551
Denmark,Hydrorun-of-the-river,2025-2030,0.0031661621064042775,26.925081644493357,0.011759155081529018
Denmark,Hydrorun-of-the-river,2030-2035,0.0216828257533328,23.140724791179267,0.09369985576941746
Denmark,Hydrorun-of-the-river,2035-2040,0.0259959116448589,20.71742870154436,0.12547846559221443
Denmark,Hydrorun-of-the-river,2040-2045,0.058260652471806715,18.941885666980127,0.3075757793922695
Denmark,Hydrorun-of-the-river,2045-2050,0.1047036724663579,30.282812697811487,0.34575279882745086
Denmark,Hydrorun-of-the-river,2050-2055,0.08235533679332034,22.953947186706817,0.3587850757146217
Denmark,Hydrorun-of-the-river,2055-2060,0.2041210069930543,24.855614961047387,0.8212269433403424
Estonia,Hydrorun-of-the-river,2020-2025,0.0017114029494217674,32.10171054233801,0.005331189274679453
Estonia,Hydrorun-of-the-river,2025-2030,2.425622162768127,34.52562166975528,7.025571287230409
Estonia,Hydrorun-of-the-river,2030-2035,11.927340972900264,44.02734039929708,27.09075966144594
Estonia,Hydrorun-of-the-river,2035-2040,23.593599761221103,55.693599568817795,42.363215780419566
Estonia,Hydrorun-of-the-river,2040-2045,27.135831774602522,59.23582918981929,45.809828520584446
Estonia,Hydrorun-of-the-river,2045-2050,32.82495121114691,64.92494780857889,50.55830203811048
Estonia,Hydrorun-of-the-river,2050-2055,31.80627486997557,63.906273029567366,49.77019213005871
Estonia,Hydrorun-of-the-river,2055-2060,36.632740587092115,68.7327358014967,53.29737011034909
Spain,Hydrorun-of-the-river,2020-2025,618.007065498808,17152.66963117965,3.602978887761073
