Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499996912859601,0.0,12404.154894215539
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7261902696198596,0.0,7390.999216252608
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6274448758094547,0.0,4290.587757961353
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0033821162831242486,0.0,16.135504428645568
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,4.172380217607229e-07,0.0,0.0013801299146675987
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.9369708369697264e-06,0.0,0.0016017664118070912
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.29161484233335844,0.0,31566.525154808583
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.47378453953355903,0.0,31560.557945810357
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5299814515128911,0.0,23719.904676607257
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.0024759250281004112,0.0,77.31122561907527
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.00019305554959188107,0.0,4.179549170889645
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.410918106400343e-07,0.0,0.002387350318786556
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499998963856499,0.0,47632.49341945273
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7366756708060874,0.0,28791.551909473605
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.642169183016037,0.0,16862.683528596048
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.021095625158283105,0.0,386.47590975073877
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.1080349572303256e-07,0.0,0.0014074260026739635
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,5.045039244665427e-07,0.0,0.0016020522121435073
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.749993995763488,0.0,125525.41507958126
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7441056074013547,0.0,76639.92861457837
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6371131190875732,0.0,44088.5223831559
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04487355006610348,0.0,2166.4677278802847
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,5.2123958463300404e-08,0.0,0.0017447823739004775
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.7492096080698784e-07,0.0,0.0023006562662041033
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7492833066352272,0.0,13134.007254015347
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6210401693985201,0.0,6699.116356766778
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5461543323296533,0.0,3958.2360886324027
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.05643237277436472,0.0,285.34313036318514
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00017716497184547503,0.0,0.6210964543772176
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,2.3469265523217125e-06,0.0,0.002056935613663741
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499994803059672,0.0,6615.985415612631
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6656351094479729,0.0,3613.403263800365
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6028695154900985,0.0,2198.831839600715
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.019273412508391867,0.0,49.04334785438292
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,7.723879758172477e-07,0.0,0.0013626962997672384
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.4934681284553985e-06,0.0,0.0015408500135453064
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6815338572334371,0.0,1361.2139423751973
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5670916216989901,0.0,697.0096948842809
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5237357127692825,0.0,432.500145857624
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.018807763607015422,0.0,10.835875989524983
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,3.6833788392753757e-06,0.0,0.0014713477776215867
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,2.4177093018420365e-05,0.0,0.002414421217191538
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499990558549894,0.0,5413.673184934724
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7031241238591306,0.0,3123.273031264571
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.5976337012939968,0.0,1783.6166344732708
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.004501539428910974,0.0,9.373036144425676
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.0001217430698783291,0.0,0.17575413934371006
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,4.900722831315201e-06,0.0,0.0017687296784956335
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999047064437,0.0,49669.193689126914
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7333569926694844,0.0,29887.388833065954
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6067111840650056,0.0,16612.80696375827
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.04717103451352019,0.0,901.13367209959
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.0782298076255455e-07,0.0,0.0014281283189577253
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,5.019412486327124e-07,0.0,0.0016620680177725311
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499997797622023,0.0,16405.285182580115
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6986532194800762,0.0,9404.39686154198
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.5867179145215303,0.0,5306.2427441615355
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.010973160719637581,0.0,69.2376476239474
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.00014366717916221704,0.0,0.6285071300368339
Romania,Liginiteexisting,2045-2050,0.0,124.85000000000011,0.0019021191184706231,0.0,2.080321050203662
Romania,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2020-2025,0.0,5661.0,0.7499998914179996,0.0,37192.764615379565
Serbia,Liginiteexisting,2025-2030,0.0,3483.692307692308,0.7310817076914071,0.0,22310.526199281092
Serbia,Liginiteexisting,2030-2035,0.0,2340.605769230769,0.6291267124341449,0.0,12899.429487256792
Serbia,Liginiteexisting,2035-2040,0.0,1632.980769230769,0.003196108334068485,0.0,45.72004698618935
Serbia,Liginiteexisting,2040-2045,0.0,1132.1999999999998,1.4421384984299856e-07,0.0,0.001430323346140047
Serbia,Liginiteexisting,2045-2050,0.0,283.05000000000024,7.39339794628661e-07,0.0,0.0018332063288980698
Serbia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Serbia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2020-2025,0.0,936.0,0.7499993798646802,0.0,6149.514915287262
Slovenia,Liginiteexisting,2025-2030,0.0,576.0,0.7301616075667091,0.0,3684.220232995802
Slovenia,Liginiteexisting,2030-2035,0.0,387.0,0.6361327317503904,0.0,2156.566296561636
Slovenia,Liginiteexisting,2035-2040,0.0,270.0,0.0033038820602802567,0.0,7.814341848974871
Slovenia,Liginiteexisting,2040-2045,0.0,187.19999999999996,8.203464766706534e-07,0.0,0.001345263217390861
Slovenia,Liginiteexisting,2045-2050,0.0,46.80000000000004,3.74314117943157e-06,0.0,0.0015345681030492064
Slovenia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovenia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Slovakia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
BosniaH,Lignite,2020-2025,0.03224033316187334,0.03224033316187334,0.7813537734500476,79812.6799759499,0.22067408832625204
BosniaH,Lignite,2025-2030,1.0919577007644096e-05,0.032250893129437026,0.7701880447403512,20.211450040361022,0.21759185032750192
BosniaH,Lignite,2030-2035,2.0061877714115994e-05,0.03227059539771621,0.6820890546197488,27.31491915039047,0.19282003838395917
BosniaH,Lignite,2035-2040,1.3906341881553434e-05,0.03228414213016623,0.08500353130214437,13.60141801709802,0.024039770914450326
BosniaH,Lignite,2040-2045,1.5563126883520404e-05,0.032299345647608495,0.0051424161894053745,10.545912582451857,0.0014550068989774465
BosniaH,Lignite,2045-2050,2.2884817749027954e-05,0.03232187085595027,0.0061476303103782486,10.119900446179665,0.0017406375175486244
BosniaH,Lignite,2050-2055,2.104064784464469e-05,0.032342551894377514,0.008647704986136187,5.423419992977943,0.0024500743021848574
BosniaH,Lignite,2055-2060,3.5855949106966225e-05,0.03237804823400866,0.008996612237762177,4.060218186532781,0.0025517244459979656
Bulgaria,Lignite,2020-2025,0.0015860844700531424,0.0015860844700531424,0.41324343655309737,3926.437471585359,0.005741645614317946
Bulgaria,Lignite,2025-2030,0.0005578049735342162,0.0021435298341399628,0.39656117884572256,1032.4619119366503,0.007446356688957467
Bulgaria,Lignite,2030-2035,0.004771124761120845,0.0069142949858376586,0.556832441703491,6496.046330436147,0.03372690893429037
Bulgaria,Lignite,2035-2040,1.2420289240259066e-05,0.00692635566563573,0.16989363340495287,12.147949999281716,0.010308275077338981
Bulgaria,Lignite,2040-2045,1.31956774680285e-05,0.006939191733652901,0.02236283344457143,8.941677471730532,0.0013593767034615347
Bulgaria,Lignite,2045-2050,1.8557305386704408e-05,0.00695738942962831,0.029637923386873866,8.206230223125944,0.0018063345560186158
Bulgaria,Lignite,2050-2055,0.0010143021865071898,0.007971332006706676,0.030736578884282332,261.44569301484023,0.0021463005213236343
Bulgaria,Lignite,2055-2060,0.001006478663976942,0.008977451061233769,0.02789403352831621,113.97057050826892,0.0021936557310916456
CzechR,Lignite,2020-2025,0.04455660489917564,0.04455660489917564,0.7844332429476076,110302.27354592615,0.30617673498396997
CzechR,Lignite,2025-2030,2.0768895804302127e-05,0.04457701418553948,0.777755161627231,38.441919467050994,0.30370922516514615
CzechR,Lignite,2030-2035,1.9158144504043604e-05,0.04459581272060733,0.7016437203043004,26.08445608415012,0.27410365825817956
CzechR,Lignite,2035-2040,1.0137464741037666e-05,0.04460559057591208,0.08784967107518916,9.915180911764196,0.03432681739142591
CzechR,Lignite,2040-2045,1.3174592140625546e-05,0.044618405558616334,0.0037348575436693754,8.92738959621373,0.001459796084022973
CzechR,Lignite,2045-2050,3.7040162869979206e-05,0.04465508611200927,0.004229872193300032,16.37953882199441,0.0016546352896231549
CzechR,Lignite,2050-2055,3.964666619969336e-05,0.04469437316878667,0.00644778459814676,10.219291901559357,0.0025244540926477755
CzechR,Lignite,2055-2060,9.73734090616565e-05,0.0447913869683996,0.006540205468148981,11.026267501032965,0.0025661970960359293
Germany,Lignite,2020-2025,25300.04062995096,25300.04062995096,0.7999999699747969,62631612273.93085,177302.6780802599
Germany,Lignite,2025-2030,2.6137412962492728e-05,25300.040655728768,0.7989870765166528,48.37870696876763,177078.19234883322
Germany,Lignite,2030-2035,1.5069813278668652e-05,25300.040670438968,0.7229568827475144,20.518056045605455,160227.74557961596
Germany,Lignite,2035-2040,1.7187902600664928e-05,25300.040687267265,0.30807253536644374,16.811024070889232,68277.60967154925
Germany,Lignite,2040-2045,1.9476205664746228e-05,25300.04070638386,8.374687585946706e-09,13.197499700124968,0.001856068246610648
Germany,Lignite,2045-2050,6.503008666222964e-05,25300.040771054337,1.0991787815049946e-08,28.75696936918596,0.0024360918756396667
Germany,Lignite,2050-2055,4.16723943828349e-05,25300.040812367126,1.2529032915607371e-08,10.741441923265318,0.0027767889863541794
Germany,Lignite,2055-2060,0.00012749632035186347,25300.04093950383,0.0007306075882793884,14.43729399169836,161.92336059302275
Estonia,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Lignite,2020-2025,0.0,0.0,0,0.0,0.0
Greece,Lignite,2025-2030,0.0,0.0,0,0.0,0.0
Greece,Lignite,2030-2035,0.0,0.0,0,0.0,0.0
Greece,Lignite,2035-2040,0.0,0.0,0,0.0,0.0
Greece,Lignite,2040-2045,0.0,0.0,0,0.0,0.0
Greece,Lignite,2045-2050,0.0,0.0,0,0.0,0.0
Greece,Lignite,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Lignite,2055-2060,0.0,0.0,0,0.0,0.0
