Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0033494185151473252,40897.51967650455,8.189783981133585e-06
Austria,Hydrorun-of-the-river,2025-2030,147.4932127301309,41439.82251136531,0.3559214393104105
Austria,Hydrorun-of-the-river,2030-2035,12993.05610832016,53667.86334984708,24.210123707779736
Austria,Hydrorun-of-the-river,2035-2040,11895.70894711516,53609.64045966789,22.18949585394935
Austria,Hydrorun-of-the-river,2040-2045,14932.491013844257,55557.17203170782,26.87770177596859
Austria,Hydrorun-of-the-river,2045-2050,15405.190749148822,55497.30264362045,27.758449537762687
Austria,Hydrorun-of-the-river,2050-2055,14231.683621890223,54669.25197030526,26.032336476124563
Austria,Hydrorun-of-the-river,2055-2060,11240.865603386843,53212.27785968018,21.124571349921915
Belgium,Hydrorun-of-the-river,2020-2025,410.6823959066793,881.4823954715625,46.58997139551249
Belgium,Hydrorun-of-the-river,2025-2030,45.78733724581186,516.5873376524878,8.863426164079414
Belgium,Hydrorun-of-the-river,2030-2035,258.11699926795035,728.9169989518447,35.411027543480664
Belgium,Hydrorun-of-the-river,2035-2040,256.47999226355245,727.2799924710706,35.26564664485179
Belgium,Hydrorun-of-the-river,2040-2045,590.5358767654852,1061.3358771061944,55.640809804302684
Belgium,Hydrorun-of-the-river,2045-2050,1409.1829253135386,1879.9829249365932,74.95721937799337
Belgium,Hydrorun-of-the-river,2050-2055,818.1143218589195,1288.9143219189255,63.47313455567143
Belgium,Hydrorun-of-the-river,2055-2060,515.7956854978503,986.5956758909848,52.28035132345784
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.6244587392175,6836.323336996808,41.90299840319789
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.3992779106543,5523.441236174871,52.22105485652233
Bulgaria,Hydrorun-of-the-river,2030-2035,4633.575158459333,7434.066967398047,62.3289402527551
Bulgaria,Hydrorun-of-the-river,2035-2040,4092.8789258906,5931.506879705053,69.00234643399959
Bulgaria,Hydrorun-of-the-river,2040-2045,4249.941120201036,6112.502434696144,69.52866138878362
Bulgaria,Hydrorun-of-the-river,2045-2050,5432.162099236792,7066.370593240877,76.87343916596679
Bulgaria,Hydrorun-of-the-river,2050-2055,4849.173666137977,6488.368388368894,74.73641100327548
Bulgaria,Hydrorun-of-the-river,2055-2060,4264.971562536771,5667.7636264277335,75.24963713465391
Switzerland,Hydrorun-of-the-river,2020-2025,0.0021580009079094427,1347.1252402940886,0.0001601930424403846
Switzerland,Hydrorun-of-the-river,2025-2030,0.0015589114701598827,19731.60393927499,7.900581599739745e-06
Switzerland,Hydrorun-of-the-river,2030-2035,2.967392316307134,19379.38830692946,0.01531210515682834
Switzerland,Hydrorun-of-the-river,2035-2040,0.012849471852268774,17539.122899965718,7.326176984764665e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.04443392705895421,19918.021531806884,0.00022308403968736618
Switzerland,Hydrorun-of-the-river,2045-2050,172.40862903471714,13012.3302779475,1.3249635180787311
Switzerland,Hydrorun-of-the-river,2050-2055,128.16011585427643,19271.656582184438,0.6650186781179633
Switzerland,Hydrorun-of-the-river,2055-2060,14.756685181160274,17078.511916693373,0.08640498219716887
CzechR,Hydrorun-of-the-river,2020-2025,85.05687666494947,1340.1125382178636,6.3469950649116065
CzechR,Hydrorun-of-the-river,2025-2030,151.37556290880428,1372.6125284460684,11.028280725382583
CzechR,Hydrorun-of-the-river,2030-2035,300.42867376775706,1447.717405297008,20.751886567677364
CzechR,Hydrorun-of-the-river,2035-2040,419.1388106678566,1951.9955665304274,21.47232390557395
CzechR,Hydrorun-of-the-river,2040-2045,300.51175465536073,1769.2861817248604,16.984915032931227
CzechR,Hydrorun-of-the-river,2045-2050,568.789817268415,1766.4204567982488,32.20013757649656
CzechR,Hydrorun-of-the-river,2050-2055,279.68011173386634,1606.062947744237,17.414019302710727
CzechR,Hydrorun-of-the-river,2055-2060,263.22926791973146,1735.3239661101893,15.1688833359325
Germany,Hydrorun-of-the-river,2020-2025,0.003878799978386765,22743.0635562059,1.7054870241209684e-05
Germany,Hydrorun-of-the-river,2025-2030,0.001506595340794924,21792.57822336769,6.913341438322502e-06
Germany,Hydrorun-of-the-river,2030-2035,441.7456211194125,23254.427563641966,1.8996194161755104
Germany,Hydrorun-of-the-river,2035-2040,0.015472624888894691,22720.140395845952,6.810092111809148e-05
Germany,Hydrorun-of-the-river,2040-2045,493.3873130160352,23008.454507775015,2.1443739858724964
Germany,Hydrorun-of-the-river,2045-2050,877.043159749561,23652.131931676362,3.7080934703183006
Germany,Hydrorun-of-the-river,2050-2055,1036.3886951810607,23733.12452532064,4.366844719814905
Germany,Hydrorun-of-the-river,2055-2060,30.607228009242487,22085.227355395684,0.13858688215751955
Denmark,Hydrorun-of-the-river,2020-2025,0.0018394218617203706,21.248426490734204,0.008656743888882722
Denmark,Hydrorun-of-the-river,2025-2030,0.0055593792624775715,26.9247239731538,0.02064785981843579
Denmark,Hydrorun-of-the-river,2030-2035,0.027587574191213743,23.140417594848405,0.11921813458265065
Denmark,Hydrorun-of-the-river,2035-2040,0.031164978996356934,20.71714775437628,0.15043083809533414
Denmark,Hydrorun-of-the-river,2040-2045,0.07004632626911614,18.941627343494794,0.3698009943859045
Denmark,Hydrorun-of-the-river,2045-2050,0.1122655046539937,30.282424114911045,0.3707282621364326
Denmark,Hydrorun-of-the-river,2050-2055,0.10824938140639818,22.953651551247162,0.4715998287449674
Denmark,Hydrorun-of-the-river,2055-2060,0.22653914191240676,24.85529569862974,0.9114320934226334
Estonia,Hydrorun-of-the-river,2020-2025,0.0033806413078058526,32.1033793468066,0.01053048425614462
Estonia,Hydrorun-of-the-river,2025-2030,2.3710943486946072,34.471093768299305,6.87850047530299
Estonia,Hydrorun-of-the-river,2030-2035,12.310262279193951,44.41026153704421,27.719409553410344
Estonia,Hydrorun-of-the-river,2035-2040,21.27269867024049,53.37269897496866,39.85689140475584
Estonia,Hydrorun-of-the-river,2040-2045,27.135499360746184,59.23549490244782,45.80952586862721
Estonia,Hydrorun-of-the-river,2045-2050,32.824579938196436,64.92457378812635,50.55802144395366
Estonia,Hydrorun-of-the-river,2050-2055,31.805911341372852,63.905904789790526,49.76991006698664
Estonia,Hydrorun-of-the-river,2055-2060,36.63235378698533,68.73234690364939,53.297108911961665
Spain,Hydrorun-of-the-river,2020-2025,618.8324548863189,17755.365520528452,3.4853264731206766
Spain,Hydrorun-of-the-river,2025-2030,3125.3361403328345,27617.064964913097,11.31668460896735
Spain,Hydrorun-of-the-river,2030-2035,12672.516210458529,42437.64509025405,29.861497223767525
Spain,Hydrorun-of-the-river,2035-2040,14269.377880767604,38416.6663535013,37.14371712908164
Spain,Hydrorun-of-the-river,2040-2045,17592.951346188685,42229.11735718929,41.660712909012716
Spain,Hydrorun-of-the-river,2045-2050,27541.764462936626,52142.11765032631,52.82057136159345
Spain,Hydrorun-of-the-river,2050-2055,18192.308839221343,45822.51551345644,39.701680790263275
Spain,Hydrorun-of-the-river,2055-2060,4480.34672211282,31955.232849635002,14.020698090966958
Finland,Hydrorun-of-the-river,2020-2025,1739.3203189271167,17789.320211014852,9.777328747223057
Finland,Hydrorun-of-the-river,2025-2030,1163.5030211417982,17213.502768870043,6.759246138130286
Finland,Hydrorun-of-the-river,2030-2035,2651.3989776625563,18701.398930877494,14.177543548813807
Finland,Hydrorun-of-the-river,2035-2040,449.4580629316919,16499.4578940529,2.724077759510484
Finland,Hydrorun-of-the-river,2040-2045,0.04709498987289824,14737.363809608827,0.0003195618326405981
Finland,Hydrorun-of-the-river,2045-2050,1445.0319831162374,17495.03194286483,8.259670447218468
Finland,Hydrorun-of-the-river,2050-2055,386.5666529226452,16436.56630404164,2.3518698843297403
Finland,Hydrorun-of-the-river,2055-2060,1548.3792746358913,17598.37926406817,8.798419737420504
France,Hydrorun-of-the-river,2020-2025,5033.781248557812,63900.61687997256,7.8775158900468725
France,Hydrorun-of-the-river,2025-2030,13091.28545130109,74212.6538174022,17.640233542263246
France,Hydrorun-of-the-river,2030-2035,22784.14925869176,84637.74127268339,26.919609285515378
France,Hydrorun-of-the-river,2035-2040,11560.633860937272,74015.89658774016,15.619122909945471
France,Hydrorun-of-the-river,2040-2045,23085.2134537261,84388.62553323328,27.355835348491205
France,Hydrorun-of-the-river,2045-2050,32155.76126678615,93049.86928078593,34.55755662563414
France,Hydrorun-of-the-river,2050-2055,21281.969324204147,80749.4331201183,26.355564988978053
France,Hydrorun-of-the-river,2055-2060,6043.466876332377,71551.13792555463,8.446360255821928
Greece,Hydrorun-of-the-river,2020-2025,0.001699353710487512,772.0667092079493,0.00022010451820035748
Greece,Hydrorun-of-the-river,2025-2030,0.02154900656253852,604.5681440694804,0.0035643635500685576
Greece,Hydrorun-of-the-river,2030-2035,0.058888690806634364,670.4650960672179,0.008783259732991445
Greece,Hydrorun-of-the-river,2035-2040,771.7195799699871,2813.645505721924,27.427747326398872
Greece,Hydrorun-of-the-river,2040-2045,504.6493105197022,3679.308197093546,13.71587492774723
Greece,Hydrorun-of-the-river,2045-2050,893.9548927321148,4060.7442938822933,22.014557628730795
Greece,Hydrorun-of-the-river,2050-2055,0.3685441008438681,3233.726610556351,0.01139688493272044
Greece,Hydrorun-of-the-river,2055-2060,0.36696004218432704,2510.9430236516073,0.01461443126059728
Hungary,Hydrorun-of-the-river,2020-2025,0.004635613580434773,267.5046341804478,0.001732909635243095
Hungary,Hydrorun-of-the-river,2025-2030,47.011557119431,314.5115564420115,14.947481628739077
Hungary,Hydrorun-of-the-river,2030-2035,75.5950943388549,343.0950931070668,22.033277612415336
Hungary,Hydrorun-of-the-river,2035-2040,150.55896246001058,418.05896199434557,36.01381052609678
Hungary,Hydrorun-of-the-river,2040-2045,426.31003587667686,693.8100355828092,61.44477796700808
Hungary,Hydrorun-of-the-river,2045-2050,630.0133853541139,897.513384777035,70.19543062420458
Hungary,Hydrorun-of-the-river,2050-2055,588.5958421484618,856.0958415858669,68.75349856367984
Hungary,Hydrorun-of-the-river,2055-2060,481.5621898624425,749.062188835526,64.28867950350924
Ireland,Hydrorun-of-the-river,2020-2025,0.0021574190744354247,751.3041427867827,0.00028715655239607696
Ireland,Hydrorun-of-the-river,2025-2030,0.02329790621501596,728.9780497636914,0.0031959681395850406
Ireland,Hydrorun-of-the-river,2030-2035,0.04169172941397507,691.0101229865837,0.006033446982481404
