Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.7499999669304022,0.0,12404.15945306589
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.7250715527777395,0.0,7379.613170956732
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6410983994517219,0.0,4383.953157299396
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0034921150911811655,0.0,16.660290126702208
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,5.313632277137298e-08,0.0,0.00017576305319140062
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,1.884824226999228e-07,0.0,0.000155864408557165
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.28692035369691,0.0,31058.3593411426
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.4693112529453734,0.0,31262.575616725404
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5523961911135423,0.0,24723.101081237397
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.005262633814806922,0.0,164.32673267141092
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002667683963218441,0.0,5.775392792507493
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,4.4471765866240575e-08,0.0,0.00024069747353440134
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999886291132,0.0,47632.49927783497
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.7347106660378597,0.0,28714.753476962687
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6444455219940394,0.0,16922.45778249216
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.021023543546923297,0.0,385.1553607687776
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,1.115926317696896e-08,0.0,0.00014174496087386037
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,4.867436711634563e-08,0.0,0.00015456545277795584
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499935602318012,0.0,125525.34218526988
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7438209480825,0.0,76610.60983286347
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6399150466639355,0.0,44282.4170667928
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04863698403889,0.0,2348.164033076529
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,4.596725809561476e-09,0.0,0.0001538694758922277
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,2.4727014400960018e-08,0.0,0.00020692623966939717
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.749287072944254,0.0,13134.073272742302
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6197970695449926,0.0,6685.7071266199855
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5547355826698629,0.0,4020.428426533167
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07608203091290783,0.0,384.6991327456561
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.0002256659215040508,0.0,0.7911287556446694
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.0001447820266774672,0.0,0.1268924698971462
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2020-2025,0.0,1007.0,0.7499999454024623,0.0,6615.989518377651
Hungary,Liginiteexisting,2025-2030,0.0,619.6923076923077,0.6637563301466863,0.0,3603.2043016920425
Hungary,Liginiteexisting,2030-2035,0.0,416.3557692307692,0.6171627235649101,0.0,2250.96312207133
Hungary,Liginiteexisting,2035-2040,0.0,290.4807692307692,0.031020055711921887,0.0,78.93399168827632
Hungary,Liginiteexisting,2040-2045,0.0,201.39999999999995,1.0201967833561282e-07,0.0,0.00017998964577910126
Hungary,Liginiteexisting,2045-2050,0.0,50.350000000000044,3.433424520532497e-07,0.0,0.0001514366819573184
Hungary,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Hungary,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2020-2025,0.0,228.0,0.6783295989864678,0.0,1354.814141463689
Ireland,Liginiteexisting,2025-2030,0.0,140.30769230769232,0.5635182417960374,0.0,692.6176701380859
Ireland,Liginiteexisting,2030-2035,0.0,94.26923076923076,0.5266394891815578,0.0,434.8980799515303
Ireland,Liginiteexisting,2035-2040,0.0,65.76923076923076,0.030348755031098296,0.0,17.485085033224674
Ireland,Liginiteexisting,2040-2045,0.0,45.59999999999999,4.507032550582203e-07,0.0,0.0001800361194525367
Ireland,Liginiteexisting,2045-2050,0.0,11.40000000000001,1.931021514485811e-06,0.0,0.00019283953252261098
Ireland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Ireland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2020-2025,0.0,824.0,0.7499999018641544,0.0,5413.679291631909
Macedonia,Liginiteexisting,2025-2030,0.0,507.0769230769231,0.7017938733631445,0.0,3117.36406674755
Macedonia,Liginiteexisting,2030-2035,0.0,340.6923076923077,0.6076341846946833,0.0,1813.4627233193594
Macedonia,Liginiteexisting,2035-2040,0.0,237.69230769230768,0.008312266583005032,0.0,17.30767359810868
Macedonia,Liginiteexisting,2040-2045,0.0,164.79999999999995,0.00023943602054381702,0.0,0.3456613321860403
Macedonia,Liginiteexisting,2045-2050,0.0,41.20000000000004,6.601779821867843e-07,0.0,0.00023826615590699692
Macedonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Macedonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2020-2025,0.0,7560.0,0.7499999903053195,0.0,49669.19935796395
Poland,Liginiteexisting,2025-2030,0.0,4652.307692307692,0.7329541412509302,0.0,29870.970939586234
Poland,Liginiteexisting,2030-2035,0.0,3125.7692307692305,0.6100849438094157,0.0,16705.186370711825
Poland,Liginiteexisting,2035-2040,0.0,2180.7692307692305,0.06071811265871907,0.0,1159.9308004878615
Poland,Liginiteexisting,2040-2045,0.0,1511.9999999999998,1.103239772935814e-08,0.0,0.00014612543181307574
Poland,Liginiteexisting,2045-2050,0.0,378.00000000000034,4.870172772096428e-08,0.0,0.0001612650569678746
Poland,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Poland,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Romania,Liginiteexisting,2020-2025,0.0,2497.0,0.7499999753382063,0.0,16405.289460554824
Romania,Liginiteexisting,2025-2030,0.0,1536.6153846153848,0.6971622809242358,0.0,9384.32770922961
Romania,Liginiteexisting,2030-2035,0.0,1032.4134615384614,0.6101105199896492,0.0,5517.804109444654
Romania,Liginiteexisting,2035-2040,0.0,720.2884615384614,0.013221141504510462,0.0,83.42179250481931
Romania,Liginiteexisting,2040-2045,0.0,499.39999999999986,0.00026693177831091516,0.0,1.1677581955750065
