Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1055074892.8955867,-1.2043591622273541e-08,1100000000.0,3343787.196446221,0.31553290652499055,39.64510079272815,23151.86677409064,8649.392881871654,17712.085018199632
2020-2025,scenario2,1099999997.5522552,-0.01497749023051494,1100000000.0,3511079.844537577,0.3132939284373254,46.21920538523511,14088.881753241718,8234.546407843021,16320.360892465396
2020-2025,scenario3,1068859207.5741491,-5.4426141561123136e-09,1100000000.0,3396986.30271812,0.31464925446385295,39.52578157642582,27452.375462403576,6420.48968140307,17160.06003284496
2025-2030,scenario1,990000000.0909749,-2.6114959762193553,990000000.0,4468066.617577016,0.221572345451687,44.76276980746398,58129.52953719606,12375.207147750421,21896.268761236253
2025-2030,scenario2,990000000.077472,-14.982007394305292,990000000.0,4632984.34008965,0.2136851600189743,46.359316055118676,55524.36015431644,14505.354877994567,22887.475658133502
2025-2030,scenario3,990000000.0307134,-35.1708481721226,990000000.0,4548136.937581244,0.2176715463095116,57.68431339335792,60592.10839700457,9499.709176641358,21650.912761027757
2030-2035,scenario1,770000000.0776454,-34.1306691171734,770000000.0,5464466.231375093,0.14091037760587635,42.716030664705784,54251.99692620413,18039.42178942788,52071.33963349105
2030-2035,scenario2,744434880.5937649,-2.7224320529375056e-09,770000000.0,5728953.56247415,0.12994255800395701,27.05470555499032,146000.2844104486,28783.100487904117,58077.31550970912
2030-2035,scenario3,685151523.8877298,-8.310028000340055e-07,770000000.0,5534331.896257859,0.12380022317616791,151.82947415683853,193430.08710650622,26830.133876468964,58634.65527794436
2035-2040,scenario1,330000000.0775301,-54.68833543945865,330000000.0,6686358.760815066,0.049354216828967915,178.37876728982144,94048.18493632194,36770.05554010645,66660.22306362946
2035-2040,scenario2,330000000.0749456,-35.663133058931095,330000000.0,6577193.8033397915,0.05017337331726145,31.753504659076714,163758.66572256904,34016.53489648343,66895.6947289013
2035-2040,scenario3,330000000.0758609,-37.8178323353224,330000000.0,6791839.139983375,0.048587723188726936,178.11185871342857,150045.0705102394,33665.152802045945,69948.32076084214
2040-2045,scenario1,66000000.075703904,-50.538727996009705,66000000.0,7307669.285578878,0.009031607410853855,20.915367938857116,537797.7718859545,42475.96379630961,97508.06897658734
2040-2045,scenario2,66000000.04117886,-100.34792557652499,66000000.0,7467106.028334755,0.008838765619603376,29.439037779466943,297253.7910768428,47904.378685169744,98872.64346746747
2040-2045,scenario3,66000000.11198418,-310.21568108038315,66000000.0,7409998.071205137,0.008906884924635077,35.73613729515663,202274.84479491948,51066.745366712326,98465.95272632646
2045-2050,scenario1,55000000.06276447,-47.82395945713374,55000000.0,7955649.251788707,0.006913326407697132,11.153214766888572,542746.0432578673,53458.505070099534,103233.2293367836
2045-2050,scenario2,55000000.06280562,-47.823962721431016,55000000.0,8242456.989127653,0.006672767614723894,15.867891386309388,404760.104168014,51935.532545346156,103996.2991172452
2045-2050,scenario3,55000000.05446799,-784.1222270639499,55000000.0,8028087.389175141,0.006850946855490037,63.054723026230825,462120.9841225739,58909.18869390401,100995.46488663943
2050-2055,scenario1,33000000.046661243,-47.671326666854,33000000.0,8096823.9058795115,0.004075672193228628,17.936629539252344,455716.5423193036,68529.49584231657,100048.79865765512
2050-2055,scenario2,33000000.046914935,-61.271605698973545,33000000.0,8184127.273568964,0.0040321953635166835,23.049878072023056,385405.6215434649,55173.19259068281,100871.70743394407
2050-2055,scenario3,33000000.046536285,-44.85437718065196,33000000.0,7969439.969133128,0.004140817946348757,13.437814147705968,446323.6971482729,68984.20041847741,100714.40218582157
2055-2060,scenario1,22000000.046420928,-39.62729227853904,22000000.0,8377078.323505684,0.0026262139611001856,48.52627510980175,382383.6793435839,61391.94604935568,105066.63047364565
2055-2060,scenario2,22000000.046125922,-37.351732095203786,22000000.0,7902998.849601676,0.0027837534162408,8.642147972952626,366277.9636186343,66428.7741637163,99012.34062191381
2055-2060,scenario3,22000000.046684008,-55.04706905369691,22000000.0,7969273.930659461,0.002760602815025003,11.864438555824366,438799.9901313128,57311.45166191954,106020.50108548554
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,353315.79368673026
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223041.0244496627
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137068.14082851424
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4759.293402749252
Liginiteexisting,2040-2045,0.0,12263.0,0.0,11.185241100049822
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.3180903023298987
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28740.517930920843,28740.517930920843,71148699005.2664,200944.7290150932
Lignite,2025-2030,0.000819897250138223,28740.51874630654,1517.578226500675,197594.79835347374
Lignite,2030-2035,0.004134779593231563,28740.52287657459,5629.6410487208095,179944.07160250383
Lignite,2035-2040,0.00030106872334485237,28740.52317313175,294.46720014264014,81845.33686629852
Lignite,2040-2045,0.00019694353176526872,28740.523365563735,133.4532118911855,3.3877391689898566
Lignite,2045-2050,0.00025279352883432677,28740.52361384571,111.78788370951736,4.248661870218979
Lignite,2050-2055,0.0006177032271571366,28740.524227037386,159.21867314288406,0.016491160004219428
Lignite,2055-2060,0.0015127514804285822,28740.525735277308,171.29935827991258,182.67009874338518
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,359289.2413305277
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247490.873727614
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135713.25352337977
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6815.86170673566
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,31.904708795834754
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,20.338286395958196
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.16738695055025077,0.16738695055025077,358415.00482137396,0.8274069570283352
Coal,2025-2030,0.027212956301706052,0.19458953028199394,43567.194423496636,0.970626680269643
Coal,2030-2035,0.005356389574431133,0.19993554328655933,6308.01487881004,0.815994120995841
Coal,2035-2040,0.0010723203367016512,0.2009974870532083,907.1686657964354,0.16271393369796833
Coal,2040-2045,0.0017944697896016908,0.20278158027279639,1051.7576330597647,0.02536846408794579
Coal,2045-2050,0.004503217791566197,0.2072744214946695,1722.439379331891,0.029520335194828305
Coal,2050-2055,0.005690940899214441,0.21295498582400849,1268.7919600841656,0.04128278463704197
Coal,2055-2060,0.01586654924550732,0.2288111584995686,1554.0423358407415,0.04377551147884623
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187267.3216812624
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115627.02133964657
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52418.23427350648
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10483.759565512455
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1267.5165367956943
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.1113308471010694,0.1113308471010694,81800.44397685069,0.07260294102154997
GasOCGT,2025-2030,8774.446106280566,8774.557422241025,5051418643.154014,1516.2488446344094
GasOCGT,2030-2035,83914.59448524442,92689.15188531348,37851636149.916695,10880.809291222284
