Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.06306216120469751,0.06306216120469751
EnergyhubEU,2025-2030,0.0001406901256184693,0.06320275179716547
EnergyhubEU,2030-2035,34817.20229796071,34817.265500455556
EnergyhubEU,2035-2040,15615.00387935763,50432.26937973691
EnergyhubEU,2040-2045,15032.655461256498,65464.9248379155
EnergyhubEU,2045-2050,2.6313113289357435e-05,65464.92487391565
EnergyhubEU,2050-2055,3.3559525451656024e-06,65464.92486986579
EnergyhubEU,2055-2060,3.938052506213462e-06,65464.924873953285
EnergyhubNorth,2020-2025,0.06130505494526041,0.06130505494526041
EnergyhubNorth,2025-2030,1.1875814777873199e-05,0.061316831226914476
EnergyhubNorth,2030-2035,0.26559728303705593,0.32691401473089743
EnergyhubNorth,2035-2040,983.8750994159149,984.2020133344836
EnergyhubNorth,2040-2045,59943.832871273335,60928.03504564729
EnergyhubNorth,2045-2050,0.00047606082151719937,60928.03550491985
EnergyhubNorth,2050-2055,3.855433098863556e-06,60928.035526427
EnergyhubNorth,2055-2060,4.093991649585612e-06,60928.03552561597
EnergyhubCentral,2020-2025,0.06770212320285957,0.06770212320285957
EnergyhubCentral,2025-2030,1.0306120354077295e-05,0.06771232979004052
EnergyhubCentral,2030-2035,43688.23896740143,43688.30667862514
EnergyhubCentral,2035-2040,8248.23929082171,51936.54596952798
EnergyhubCentral,2040-2045,11222.356820938592,63158.90279107366
EnergyhubCentral,2045-2050,3.533515697160795e-05,63158.90282557405
EnergyhubCentral,2050-2055,3.3098332607326136e-06,63158.902829750725
EnergyhubCentral,2055-2060,3.566178506690313e-06,63158.90283161463
