BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1622.9109731171015,48.687329193513136
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3546.0753383339934,106.38226015001975
Switzerland,Austria,2030-2035,470.314447796286,1670.314447796286,112600837.36307758,6781.1741581583465,203.4352247447511
Switzerland,Austria,2035-2040,529.6841911262941,2199.9986386969995,91098925.94878899,9857.55267286455,295.7265801859364
Switzerland,Austria,2040-2045,1000.0005831756912,3199.999220224022,119155068.74477679,16710.095522862437,501.3028656858736
Switzerland,Austria,2045-2050,2.2434861135265776e-06,3199.99922330258,0.17445247176910164,16257.734261303602,487.7320278391076
Switzerland,Austria,2050-2055,3.1302561961914073e-06,3199.999224484048,0.14187927919613355,16340.00523951795,490.20015718553793
Switzerland,Austria,2055-2060,3.437420378624372e-05,3199.9992607175877,0.684456348726641,16102.702842097196,483.0810852629165
CzechR,Austria,2020-2025,0.0,900.0,0.0,4599.13618871952,137.97408566158555
CzechR,Austria,2025-2030,0.0,900.0,0.0,3740.1164491305954,112.20349347391793
CzechR,Austria,2030-2035,999.999271761895,1899.999271761895,87917326.98407097,8591.845602683892,257.75536808051635
CzechR,Austria,2035-2040,0.00035538125536572026,1899.9996269175722,22.444619866115474,7983.725423942584,239.51176271827774
CzechR,Austria,2040-2045,3.2382026594507793e-06,1899.9996299301974,0.14168953830967046,8416.278317045062,252.4883495113525
CzechR,Austria,2045-2050,4.514737841260424e-05,1899.9996748519986,1.2891628156409185,10936.552010230285,328.0965603069077
CzechR,Austria,2050-2055,1.631905804575466e-06,1899.9996762583266,0.02716161996666583,7735.58599181799,232.06757975454025
CzechR,Austria,2055-2060,5.780194200180167e-06,1899.9996818129432,0.04226462602177888,11095.224172595095,332.8567251778524
Germany,Austria,2020-2025,0.0,5000.0,0.0,15186.187014445752,455.58561043337346
Germany,Austria,2025-2030,1999.9956633902111,6999.995663390211,891258.0221076136,16774.67847916139,503.24035437484326
Germany,Austria,2030-2035,500.0040010821694,7499.999669562986,149746.5287872101,34510.32571529802,1035.3097714589405
Germany,Austria,2035-2040,3.18122388895767e-05,7499.999695835099,0.0068441649039593455,32291.781708946204,968.7534512683881
