Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1058268545.74733,-4.5569641315277235e-09,1100000000.0,3343846.7192267077,0.31648237332842305,39.59689671267403,23123.53361901909,8690.76789944288,17730.23283383624
2020-2025,scenario2,1099999996.4905434,-0.014978337354539408,1100000000.0,3510977.533250191,0.3133030576450863,46.234872523867026,13954.417770170583,8165.894159085855,16286.701904556368
2020-2025,scenario3,1071932342.3128141,-1.699640918706777e-08,1100000000.0,3396985.1817745906,0.3155540236277503,39.521109352570925,27706.45641336714,6443.577072183365,17135.85156822797
2025-2030,scenario1,989999999.9564008,-0.5376499096790014,990000000.0,4469339.579785281,0.22150923694278443,43.027958518032776,53709.11676193715,13119.253038071027,22425.185127276032
2025-2030,scenario2,990000000.1685902,-11.919018167543035,990000000.0,4634276.6054636855,0.21362557405431437,42.89862914762997,51588.51969285547,15610.193842187155,23074.529631813675
2025-2030,scenario3,990000000.0606033,-37.869296539517485,990000000.0,4547783.972693039,0.21768844034919618,56.86821891771518,57842.78412344469,9190.673369303295,21606.983746829177
2030-2035,scenario1,770000000.0714196,-33.46191406624383,770000000.0,5463727.733056643,0.14092942358982824,42.67468295979509,55604.28730167026,17434.808887064,51937.454298256875
2030-2035,scenario2,735245151.0460796,-8.317635778378759e-08,770000000.0,5728688.611422862,0.12834440845327136,26.374470807078026,157884.62327875243,28328.11621540541,58267.348815390345
2030-2035,scenario3,678643733.836971,-5.467531337102336e-10,770000000.0,5534364.752359983,0.12262360075699244,152.19226495256066,204729.07130142185,26593.91816881128,58902.27430129388
2035-2040,scenario1,330000000.1389488,-66.01918069556625,330000000.0,6687568.536101969,0.049345288703580494,183.99449053969772,108217.74616030983,39111.68548819955,65528.36846503738
2035-2040,scenario2,330000000.074429,-35.66314086281175,330000000.0,6577882.165941467,0.05016812277104765,30.910645437444458,194066.66154294848,36382.66599140364,65217.926339874444
2035-2040,scenario3,330000000.07470965,-37.81783060919207,330000000.0,6792088.082404344,0.048585942359846146,173.66850153517854,184888.74942949344,35294.915001172165,68567.50102543774
2040-2045,scenario1,66000000.07476364,-50.5387786165444,66000000.0,7304225.255239977,0.009035865922592484,20.621028012616616,686946.2698710315,42188.51122525272,94351.4913487638
2040-2045,scenario2,66000000.03727285,-106.13388272403711,66000000.0,7463838.773595818,0.008842634740551842,29.982964497890706,350324.65469669865,47918.97447598218,95590.79309142429
2040-2045,scenario3,66000000.09456785,-289.49564673819947,66000000.0,7405527.521877629,0.00891226180708894,33.780107496584925,283135.2542384647,49551.46591361788,95510.68317392402
2045-2050,scenario1,55000000.06179653,-47.82396000258355,55000000.0,7956651.223710697,0.006912455820344999,10.805205825634204,702928.4667367493,56010.318574526405,101683.38794931547
2045-2050,scenario2,55000000.061844826,-47.823969734208085,55000000.0,8243703.806427701,0.00667175839323113,16.0107214243128,472935.42342875607,54942.34739333305,102236.30173365766
2045-2050,scenario3,55000000.06207384,-776.60957989227,55000000.0,8029290.239841001,0.006849920530853726,62.17611914365804,527420.9673129532,61503.868942111534,99603.63573795035
2050-2055,scenario1,33000000.045876,-47.67140204225876,33000000.0,8091385.505991562,0.004078411542922976,18.178046423777598,495025.05719167093,65479.52216557164,97660.3727076368
2050-2055,scenario2,33000000.06000867,-63.19774234592901,33000000.0,8178965.515400038,0.004034740090036146,23.227868864426583,510236.70652072266,52930.44386687061,97952.69816700042
2050-2055,scenario3,33000000.04571319,-44.8544111499327,33000000.0,7965972.767314306,0.004142620243583681,13.247935902321492,491795.97001098417,68587.28248862084,97644.11850018488
2055-2060,scenario1,22000000.04511549,-37.35180581091869,22000000.0,8377611.341684138,0.0026260468703831015,47.598512983442696,472018.8267476114,64563.459178788755,102428.13579715972
2055-2060,scenario2,22000000.038907874,-38.67000010089789,22000000.0,7903929.6552968435,0.002783425586810969,8.840138505050087,468496.9638245459,69179.21227617687,97192.70847854734
2055-2060,scenario3,22000000.04600578,-58.52853038076196,22000000.0,7967636.073200832,0.002761170294913768,11.732511055850853,501789.3018446947,58589.254521581846,103104.84104279116
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,352378.0371942981
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223496.1555202526
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,136545.35816005245
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4528.063832101441
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.533177910994867
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.086797293624883
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,29029.767394792987,29029.767394792987,71864751621.01736,202949.82110895045
Lignite,2025-2030,0.0005545988639145873,29029.767944915722,1026.5276047418124,199662.95068787163
Lignite,2030-2035,0.004672633182934658,29029.772613072735,6361.946744470817,182561.0265783117
Lignite,2035-2040,7.412034901476404e-05,29029.772682716935,72.49511475482213,78236.10795949354
Lignite,2040-2045,0.00013043374620182614,29029.77280867454,88.38473756213571,1.8947267614618761
Lignite,2045-2050,0.0001409204679044713,29029.772945118857,62.31647206728927,7.518688142163745
Lignite,2050-2055,0.0001668369205429594,29029.77310747963,43.00374670591984,2.5922393387039655
Lignite,2055-2060,0.0006010285317670147,29029.773704032017,68.05863562628208,192.8029379383546
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358368.1232246699
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,247078.1992914651
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,135459.28849483805
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6647.699106765285
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,18.383525277029598
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,12.762564744173904
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.20289013849056914,0.20289013849056914,434435.717517154,0.984531697972225
Coal,2025-2030,0.029597676008723497,0.23247751935896713,47385.06507192226,1.1052187224732795
Coal,2030-2035,0.004780728999775607,0.23724795321794434,5630.081464966245,0.9502372100203537
Coal,2035-2040,0.00017326021297092744,0.23741091829119362,146.57582334016033,0.1855708334972562
Coal,2040-2045,0.00044778693310633925,0.23784841008404078,262.452635094822,0.03182559963135199
Coal,2045-2050,0.0005258018738610841,0.23836391681759386,201.1143798021473,0.03745474960518248
Coal,2050-2055,0.002040491349769305,0.24039411302715954,454.9263584104261,0.05308063935895369
Coal,2055-2060,0.012266844233681868,0.2526506621206732,1201.4707780082254,0.05565027644000516
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,187122.91883304957
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,116888.23669226564
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,50816.59058201402
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10202.329411479988
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1268.5117880061994
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.14415738643404777,0.14415738643404777,105919.7744371988,0.09277929816955781
GasOCGT,2025-2030,9838.557357278838,9838.70149987744,5664023854.534267,1647.3320529065918
GasOCGT,2030-2035,83242.24705762047,93080.94851446566,37548358152.17543,10584.417109476595
