Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.041681344253074355,0.041681344253074355
EnergyhubEU,2025-2030,0.00828976870337286,0.049971016971217606
EnergyhubEU,2030-2035,31678.884286136697,31678.934256253226
EnergyhubEU,2035-2040,13967.104052228286,45646.03830847542
EnergyhubEU,2040-2045,18989.55926439633,64635.597576446045
EnergyhubEU,2045-2050,6.529261857422556e-06,64635.59757350575
EnergyhubEU,2050-2055,2.0076712702261455e-06,64635.59758299771
EnergyhubEU,2055-2060,2.024764209018471e-06,64635.59758242898
EnergyhubNorth,2020-2025,0.0383779208613912,0.0383779208613912
EnergyhubNorth,2025-2030,0.005069061443660651,0.043446886319871494
EnergyhubNorth,2030-2035,0.1188013052357084,0.16224809557050895
EnergyhubNorth,2035-2040,545.2734538976583,545.4357018972509
EnergyhubNorth,2040-2045,56072.952688074474,56618.388392085064
EnergyhubNorth,2045-2050,4309.473363025269,60927.86175566683
EnergyhubNorth,2050-2055,2.753158415024504e-06,60927.861762539374
EnergyhubNorth,2055-2060,2.827343083959419e-06,60927.86176411955
EnergyhubCentral,2020-2025,0.04474568200066101,0.04474568200066101
EnergyhubCentral,2025-2030,0.009193565622186617,0.05393915163764782
EnergyhubCentral,2030-2035,45888.69885214156,45888.75277797621
EnergyhubCentral,2035-2040,3280.2944143407267,49169.04719214074
EnergyhubCentral,2040-2045,12066.073830042016,61235.12101802189
EnergyhubCentral,2045-2050,1.1996037894915274e-05,61235.12103568346
EnergyhubCentral,2050-2055,2.342968130059769e-06,61235.121039985235
EnergyhubCentral,2055-2060,1.9655586675334757e-06,61235.121037733756
