BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1649.0099266741204,49.47029780022353
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3992.4639312829927,119.77391793848976
Switzerland,Austria,2030-2035,389.1380531003815,1589.1380531003815,93165903.86336571,7018.37486785825,210.5512460357474
Switzerland,Austria,2035-2040,610.861005794496,2199.9990587895877,105060302.84488338,9877.981236394293,296.33943709182887
Switzerland,Austria,2040-2045,1000.0004776512612,3199.999535214383,119155056.17101341,16525.98634103349,495.77959023100607
Switzerland,Austria,2045-2050,1.329708736600617e-06,3199.999538731666,0.10339755367075014,15378.355752410043,461.3506725723023
Switzerland,Austria,2050-2055,1.3116850405384714e-06,3199.999539243534,0.059452299243230984,13039.97893001162,391.1993679003485
Switzerland,Austria,2055-2060,3.1448264969617376e-06,3199.999541802705,0.062619529309669,16696.707841109965,500.9012352333009
CzechR,Austria,2020-2025,0.0,900.0,0.0,4559.095016050993,136.77285048152982
CzechR,Austria,2025-2030,0.0,900.0,0.0,3216.1032869572314,96.48309860871693
CzechR,Austria,2030-2035,999.9994186805561,1899.9994186805561,87917339.90077636,8360.231077573824,250.80693232721447
CzechR,Austria,2035-2040,0.00030307834032002956,1899.9997216531883,19.14135322397874,8310.490411157536,249.31471233472604
CzechR,Austria,2040-2045,1.9411335896823267e-06,1899.999723488614,0.08493548768999237,7430.428384630292,222.91285153890934
CzechR,Austria,2045-2050,2.660320412519502e-05,1899.999749986111,0.7596423699660885,10953.232199404303,328.5969659821307
CzechR,Austria,2050-2055,9.105716575121466e-07,1899.9997507909745,0.015155654967595394,7507.729400649458,225.23188201948403
CzechR,Austria,2055-2060,2.666280293202305e-06,1899.9997533515475,0.019495770480846795,10651.068374507733,319.532051235232
Germany,Austria,2020-2025,0.0,5000.0,0.0,15143.048142270969,454.29144426812815
Germany,Austria,2025-2030,1999.9968916113248,6999.996891611325,891258.5694397606,19949.326278811724,598.4797883643517
Germany,Austria,2030-2035,500.0029478910371,7499.999836292603,149746.2133663017,34206.68141121546,1026.2004423364667
Germany,Austria,2035-2040,3.566612504623812e-06,7499.9998428548415,0.00076732996425998,38533.361947418234,1156.0008584225482
Germany,Austria,2040-2045,699.9999183477332,8199.999766841696,104337.45568386227,42156.26274995299,1264.6878824985906
Germany,Austria,2045-2050,7.85591280598211e-06,8199.999769237938,0.0007641531019665032,39190.24839715769,1175.7074519147338
Germany,Austria,2050-2055,4.405593643057532e-07,8199.999769077367,2.497891158349298e-05,29773.94010493239,893.2182031479741
Germany,Austria,2055-2060,9.293655403645369e-07,8199.999769992246,2.314886267696702e-05,40663.30460978564,1219.8991382935715
Hungary,Austria,2020-2025,0.0,800.0,0.0,3695.6607021460736,110.8698210643826
Hungary,Austria,2025-2030,0.0,800.0,0.0,4051.0221396643365,121.5306641899298
