Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0017835767952311206,40897.51846700102,4.361088061297008e-06
Austria,Hydrorun-of-the-river,2025-2030,179.33698080055132,41471.6664678463,0.4324325402732354
Austria,Hydrorun-of-the-river,2030-2035,13289.440528428184,53958.41428784483,24.6290420202765
Austria,Hydrorun-of-the-river,2035-2040,13761.658609635484,55475.59023731247,24.80669164720215
Austria,Hydrorun-of-the-river,2040-2045,14820.302855860491,55557.1722068261,26.675768883067047
Austria,Hydrorun-of-the-river,2045-2050,15484.471295589914,55497.30281039739,27.901304228228017
Austria,Hydrorun-of-the-river,2050-2055,14231.68374745906,54669.25213886922,26.032336625546215
Austria,Hydrorun-of-the-river,2055-2060,11240.865750699504,53212.27801788055,21.12457156395807
Belgium,Hydrorun-of-the-river,2020-2025,410.6823748339217,881.4823744915354,46.589970113788745
Belgium,Hydrorun-of-the-river,2025-2030,45.787326799617915,516.5873267979088,8.863424328164001
Belgium,Hydrorun-of-the-river,2030-2035,258.11698467152695,728.9169844068963,35.41102624759815
Belgium,Hydrorun-of-the-river,2035-2040,237.73062395603858,708.530623834037,33.55262510314918
Belgium,Hydrorun-of-the-river,2040-2045,563.174467328851,1033.9744672939858,54.46696075607503
Belgium,Hydrorun-of-the-river,2045-2050,1409.183639915294,1879.9836396233989,74.95722889362929
Belgium,Hydrorun-of-the-river,2050-2055,818.1148199711115,1288.9148197877419,63.47314868377714
Belgium,Hydrorun-of-the-river,2055-2060,515.7960580428049,986.5960524754391,52.28036912864553
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.55944722923,6836.323336996808,41.902047431355534
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.366299714291,5523.441236174871,52.22045779764267
Bulgaria,Hydrorun-of-the-river,2030-2035,4636.818940146177,7434.066967398047,62.372574264946145
Bulgaria,Hydrorun-of-the-river,2035-2040,4079.0911108812516,5931.506879705053,68.76989597429392
Bulgaria,Hydrorun-of-the-river,2040-2045,4162.978735107507,6112.502434696144,68.10596444882155
Bulgaria,Hydrorun-of-the-river,2045-2050,5523.569808855857,7066.370593240877,78.16699868726474
Bulgaria,Hydrorun-of-the-river,2050-2055,4875.474535372958,6488.368388368894,75.14176513332345
Bulgaria,Hydrorun-of-the-river,2055-2060,4200.906406156549,5667.7636264277335,74.11929436450912
Switzerland,Hydrorun-of-the-river,2020-2025,0.0010124717091427955,1347.124894413388,7.5157968896691e-05
Switzerland,Hydrorun-of-the-river,2025-2030,0.0008440150374176546,19731.604147241702,4.27747805560776e-06
Switzerland,Hydrorun-of-the-river,2030-2035,4.7713795430234835,19379.38848503991,0.024620898366874637
Switzerland,Hydrorun-of-the-river,2035-2040,0.00894706332238435,17539.1230632897,5.101203344146106e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.02952222832914056,19918.021705825682,0.00014821867736245016
Switzerland,Hydrorun-of-the-river,2045-2050,253.63222251618592,13012.330397291196,1.9491683255213461
Switzerland,Hydrorun-of-the-river,2050-2055,133.9415223281745,19271.656736513596,0.6950182029467055
Switzerland,Hydrorun-of-the-river,2055-2060,17.79918351873596,17078.512050384317,0.10421975559829535
CzechR,Hydrorun-of-the-river,2020-2025,85.0569654883295,1340.1125374684261,6.347001696514871
CzechR,Hydrorun-of-the-river,2025-2030,151.37563286023064,1372.6125277784738,11.028285826971644
CzechR,Hydrorun-of-the-river,2030-2035,289.58614574686976,1436.8747401115224,20.15388938665549
CzechR,Hydrorun-of-the-river,2035-2040,419.138922747608,1951.9957209839913,21.472327948358522
CzechR,Hydrorun-of-the-river,2040-2045,292.522230600299,1769.2863167199969,16.533346120179875
CzechR,Hydrorun-of-the-river,2045-2050,611.3048350416126,1766.420589784359,34.60698083893143
CzechR,Hydrorun-of-the-river,2050-2055,279.6802567126459,1606.063068676103,17.414027018452625
CzechR,Hydrorun-of-the-river,2055-2060,263.2192757698951,1735.3240948027815,15.168306402142695
Germany,Hydrorun-of-the-river,2020-2025,0.002018597073020493,22743.061691106024,8.875661071657261e-06
Germany,Hydrorun-of-the-river,2025-2030,0.0008223049157028438,21792.578309919387,3.773325505631213e-06
Germany,Hydrorun-of-the-river,2030-2035,441.74564584927674,23254.427652361042,1.8996195152729374
Germany,Hydrorun-of-the-river,2035-2040,0.010845544021128105,22720.140477670448,4.7735373959448886e-05
