Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.07968866698223767,0.07968866698223767
EnergyhubEU,2025-2030,0.012311869184253373,0.09200035751339611
EnergyhubEU,2030-2035,39663.38445443669,39663.47645707301
EnergyhubEU,2035-2040,11694.194885879437,51357.67134428402
EnergyhubEU,2040-2045,14889.731137213621,66247.40248683197
EnergyhubEU,2045-2050,1.4636911533451647e-05,66247.40248881311
EnergyhubEU,2050-2055,3.532127489689197e-06,66247.40249405295
EnergyhubEU,2055-2060,3.4803317226461634e-06,66247.40250145647
EnergyhubNorth,2020-2025,0.0728828296702766,0.0728828296702766
EnergyhubNorth,2025-2030,0.006989026703360997,0.07987167772046684
EnergyhubNorth,2030-2035,0.23313153453523994,0.3130030336026987
EnergyhubNorth,2035-2040,1250.9591091319007,1251.2721119868716
EnergyhubNorth,2040-2045,59671.09812755527,60922.37023868997
EnergyhubNorth,2045-2050,5.570206988896346,60927.94044215287
EnergyhubNorth,2050-2055,4.473795948162568e-06,60927.940448677444
EnergyhubNorth,2055-2060,4.210432822800445e-06,60927.940452803225
EnergyhubCentral,2020-2025,0.08555970517169718,0.08555970517169718
EnergyhubCentral,2025-2030,0.01309655367233173,0.09865608019081322
EnergyhubCentral,2030-2035,43736.7307430111,43736.829396923626
EnergyhubCentral,2035-2040,2874.102732746189,46610.9321302619
EnergyhubCentral,2040-2045,16091.59565934526,62702.52779250232
EnergyhubCentral,2045-2050,2.4621722874103312e-05,62702.52781040878
EnergyhubCentral,2050-2055,3.7607330066778944e-06,62702.52781705848
EnergyhubCentral,2055-2060,3.3005354511159715e-06,62702.52781956554
