Node,GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,genExpectedCapacityFactor,DiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
BosniaH,Liginiteexisting,2020-2025,0.0,1888.0,0.749999842900113,0.0,12404.157401743758
BosniaH,Liginiteexisting,2025-2030,0.0,1161.8461538461538,0.72533778291982,0.0,7382.322800724257
BosniaH,Liginiteexisting,2030-2035,0.0,780.6153846153845,0.6444832919777034,0.0,4407.099698125387
BosniaH,Liginiteexisting,2035-2040,0.0,544.6153846153845,0.0034609487773318297,0.0,16.5116009176263
BosniaH,Liginiteexisting,2040-2045,0.0,377.5999999999999,2.8843776186369735e-07,0.0,0.0009540875061864515
BosniaH,Liginiteexisting,2045-2050,0.0,94.40000000000009,9.275295440989673e-07,0.0,0.0007670149913153774
BosniaH,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
BosniaH,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2020-2025,0.0,12357.0,0.28137120259544834,0.0,30457.67860613426
Bulgaria,Liginiteexisting,2025-2030,0.0,7604.307692307692,0.46759549916358795,0.0,31148.28284832046
Bulgaria,Liginiteexisting,2030-2035,0.0,5109.1442307692305,0.5648155465661748,0.0,25278.943038801128
Bulgaria,Liginiteexisting,2035-2040,0.0,3564.5192307692305,0.004260708327933306,0.0,133.04142051936398
Bulgaria,Liginiteexisting,2040-2045,0.0,2471.3999999999996,0.0002696422469730442,0.0,5.837610118722028
Bulgaria,Liginiteexisting,2045-2050,0.0,617.8500000000006,2.3600353190808173e-07,0.0,0.001277337491979218
Bulgaria,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Bulgaria,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2020-2025,0.0,7250.0,0.7499999420356429,0.0,47632.496318683734
CzechR,Liginiteexisting,2025-2030,0.0,4461.538461538462,0.735548924228237,0.0,28747.515186298755
CzechR,Liginiteexisting,2030-2035,0.0,2997.596153846154,0.6472865762141538,0.0,16997.060861351143
CzechR,Liginiteexisting,2035-2040,0.0,2091.346153846154,0.018920033770190445,0.0,346.61865713792247
CzechR,Liginiteexisting,2040-2045,0.0,1449.9999999999998,5.468137701827663e-08,0.0,0.0006945628508861496
CzechR,Liginiteexisting,2045-2050,0.0,362.50000000000034,2.3691064728441374e-07,0.0,0.0007523097604516548
CzechR,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
CzechR,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2020-2025,0.0,19106.0,0.7499946102060876,0.0,125525.51791795407
Germany,Liginiteexisting,2025-2030,0.0,11757.538461538463,0.7440646714111567,0.0,76635.71236982064
Germany,Liginiteexisting,2030-2035,0.0,7899.596153846153,0.6381098681387535,0.0,44157.49787830238
Germany,Liginiteexisting,2035-2040,0.0,5511.346153846153,0.04748791930340858,0.0,2292.687885925295
Germany,Liginiteexisting,2040-2045,0.0,3821.1999999999994,2.3017873396667002e-08,0.0,0.0007704936649324914
Germany,Liginiteexisting,2045-2050,0.0,955.3000000000009,1.2098731876644794e-07,0.0,0.0010124736660100681
Germany,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Germany,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2020-2025,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2025-2030,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2030-2035,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2035-2040,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2040-2045,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2045-2050,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Estonia,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2020-2025,0.0,2001.0,0.7493052243762534,0.0,13134.391444837489
Greece,Liginiteexisting,2025-2030,0.0,1231.3846153846155,0.6193665732989806,0.0,6681.063394080139
Greece,Liginiteexisting,2030-2035,0.0,827.3365384615385,0.5593948800922095,0.0,4054.196535862497
Greece,Liginiteexisting,2035-2040,0.0,577.2115384615385,0.07487756425681143,0.0,378.60889997371964
Greece,Liginiteexisting,2040-2045,0.0,400.19999999999993,0.00022659570338083403,0.0,0.7943883403187656
Greece,Liginiteexisting,2045-2050,0.0,100.05000000000008,0.00014551369390639014,0.0,0.12753373085992895
Greece,Liginiteexisting,2050-2055,0.0,0.0,0,0.0,0.0
Greece,Liginiteexisting,2055-2060,0.0,0.0,0,0.0,0.0
