Period,Scenario,AnnualCO2emission_Ton,CO2Price_EuroPerTon,CO2Cap_Ton,AnnualGeneration_GWh,AvgCO2factor_TonPerMWh,AvgELPrice_EuroPerMWh,TotAnnualCurtailedRES_GWh,TotAnnualLossesChargeDischarge_GWh,AnnualLossesTransmission_GWh
2020-2025,scenario1,1059617443.3343529,-2.7089836537945263e-09,1100000000.0,3343847.127459566,0.31688573159723027,39.552658454065735,23048.095937456346,8729.688878051435,17691.719796013003
2020-2025,scenario2,1099999997.8630147,-0.014978093727493582,1100000000.0,3510950.1220089844,0.31330550410484914,46.19152772297135,13948.178556271487,8168.4253472999835,16256.759191582161
2020-2025,scenario3,1073581722.8005649,-3.999721744831786e-09,1100000000.0,3396982.157626358,0.31603984742467034,39.421832637688794,27696.71067173825,6468.985475878724,17107.419098743227
2025-2030,scenario1,990000000.1240724,-0.7676915147899761,990000000.0,4469308.08253216,0.2215107980569541,42.87152805284481,55209.19258090894,13089.541200917132,22423.39941713442
2025-2030,scenario2,990000000.1072469,-13.188224543869707,990000000.0,4634037.322548271,0.21363660480033847,43.38989004883223,52818.22401265385,15454.03995672757,22991.400286122363
2025-2030,scenario3,990000000.0889561,-37.86944783862218,990000000.0,4547777.29891034,0.21768875980936847,57.696641792172954,59637.953696848694,9211.927573157483,21579.05545340803
2030-2035,scenario1,770000000.0443565,-31.793766333559766,770000000.0,5468467.718783036,0.14080726807613217,41.35476549110797,53133.36627806277,17602.03345435092,56510.21513674867
2030-2035,scenario2,732374265.8876483,-1.9034254917092606e-08,770000000.0,5731992.293137096,0.12776958314555661,26.305794690697976,143488.8854077183,27450.58075928306,62448.5656454171
2030-2035,scenario3,679521983.3325989,-2.220219385554062e-08,770000000.0,5538256.56039549,0.12269601018340683,152.0321842795313,191828.58778678643,26339.043218788902,63047.748266272545
2035-2040,scenario1,330000000.1614634,-63.653603965886,330000000.0,6690667.393007752,0.04932243388848479,181.42338331517286,102715.98863436005,38865.993578217276,68872.91683173839
2035-2040,scenario2,330000000.1102814,-35.66314561459154,330000000.0,6580491.106776248,0.05014823282269385,31.0796003750845,187815.20564656617,35981.69897928609,68227.83382169828
2035-2040,scenario3,330000000.1095238,-37.81783255032101,330000000.0,6795227.119922727,0.048563498215090824,175.8108257017108,179671.6324686546,35141.0636748959,71860.38953438531
2040-2045,scenario1,66000000.11041022,-50.538763031796194,66000000.0,7307547.86052193,0.009031757488304414,20.433661960325733,626469.0258432796,41907.405116490365,97955.20235060413
2040-2045,scenario2,66000000.10956903,-103.70698080067396,66000000.0,7467624.29369454,0.008838152203947704,29.545208521755555,326407.03064636455,47881.13065642689,99414.15663227417
2040-2045,scenario3,66000000.1043569,-294.62386309815844,66000000.0,7409322.849830233,0.008907696619789757,33.975066040870786,252041.898708972,49557.25633844826,99300.22006386174
2045-2050,scenario1,55000000.090797044,-47.82395906837216,55000000.0,7959147.0392846335,0.00691028822803854,10.788057262941297,654629.006275029,55958.37839611099,104231.14352628961
2045-2050,scenario2,55000000.090877324,-47.82396138647636,55000000.0,8245230.092962316,0.006670523377852226,15.826727001123189,452557.6422665083,54214.64541496079,104490.28977943858
2045-2050,scenario3,55000000.09985642,-775.5090317224017,55000000.0,8032333.998574794,0.006847324838535478,61.86621739988909,512590.4307140019,61564.10043589939,102587.16250724062
2050-2055,scenario1,33000000.068049412,-47.67137194815207,33000000.0,8094290.98527094,0.0040769475829443725,18.04168977642251,479682.0745342816,65434.57450874043,100610.79921829484
2050-2055,scenario2,33000000.068170432,-64.20916374182978,33000000.0,8183474.946513315,0.004032516783378301,23.432003250517425,455463.376300743,54089.414040653704,101303.15855126962
2050-2055,scenario3,33000000.067650672,-44.854381738480534,33000000.0,7968508.945391972,0.0041413017534144185,13.282806082039977,472133.8943035866,68165.1350798038,100602.44355112179
2055-2060,scenario1,22000000.06719338,-37.35174626407131,22000000.0,8378868.3888908345,0.0026256528979929808,47.8061396585748,444083.7098134287,63159.42853215906,105089.21314824189
2055-2060,scenario2,22000000.06825671,-37.35183889081276,22000000.0,7906206.607402148,0.0027826239764160775,8.562297570253813,432162.11243477993,68450.10513120535,100198.76722636199
2055-2060,scenario3,22000000.067578044,-58.29021289165943,22000000.0,7969467.020787913,0.00276053593172447,11.481779495589981,486344.6112462463,57976.77892612763,105548.26352912362
""
GeneratorType,Period,genInvCap_MW,genInstalledCap_MW,TotDiscountedInvestmentCost_Euro,genExpectedAnnualProduction_GWh
Liginiteexisting,2020-2025,0.0,61315.0,0.0,351846.9620839205
Liginiteexisting,2025-2030,0.0,37732.307692307695,0.0,223127.79518935637
Liginiteexisting,2030-2035,0.0,25351.39423076923,0.0,137102.8797214661
Liginiteexisting,2035-2040,0.0,17687.01923076923,0.0,4619.736358432129
Liginiteexisting,2040-2045,0.0,12263.0,0.0,10.423428044481168
Liginiteexisting,2045-2050,0.0,3065.7500000000023,0.0,2.0642957193009983
Liginiteexisting,2050-2055,0.0,0.0,0.0,0.0
Liginiteexisting,2055-2060,0.0,0.0,0.0,0.0
Lignite,2020-2025,28893.86349910721,28893.86349910721,71528314212.65086,201988.37052148688
Lignite,2025-2030,0.0005281191125001478,28893.86402075264,977.5152508365771,198635.13470186968
Lignite,2030-2035,0.0039024383053282955,28893.86791671727,5313.3005952093245,181914.50017372565
Lignite,2035-2040,0.0001198035304670677,28893.86803004714,117.17660271018016,76166.21261750678
Lignite,2040-2045,8.697691615371234e-05,28893.868110550364,58.937446267276805,1.0170162542524066
Lignite,2045-2050,0.00022050414508543585,28893.86832458085,97.50918799995037,7.38401126332248
Lignite,2050-2055,0.0006213935597513447,28893.86893950074,160.16989022136676,0.016149709326457404
Lignite,2055-2060,0.0013087215045140363,28893.870241748566,148.19562683677702,188.1832135263836
LigniteCCSadv,2020-2025,0.0,0.0,0.0,0.0
LigniteCCSadv,2025-2030,0.0,0.0,0.0,0.0
LigniteCCSadv,2030-2035,0.0,0.0,0.0,0.0
LigniteCCSadv,2035-2040,0.0,0.0,0.0,0.0
LigniteCCSadv,2040-2045,0.0,0.0,0.0,0.0
LigniteCCSadv,2045-2050,0.0,0.0,0.0,0.0
LigniteCCSadv,2050-2055,0.0,0.0,0.0,0.0
LigniteCCSadv,2055-2060,0.0,0.0,0.0,0.0
Coalexisting,2020-2025,0.0,71229.0,0.0,358751.71390002826
Coalexisting,2025-2030,0.0,43833.23076923077,0.0,246650.7611003156
Coalexisting,2030-2035,0.0,29450.451923076922,0.0,136455.17425127604
Coalexisting,2035-2040,0.0,20546.826923076926,0.0,6849.869028632507
Coalexisting,2040-2045,0.0,14245.799999999997,0.0,19.025100660549793
Coalexisting,2045-2050,0.0,3561.4500000000035,0.0,11.800201244938899
Coalexisting,2050-2055,0.0,0.0,0.0,0.0
Coalexisting,2055-2060,0.0,0.0,0.0,0.0
Coal,2020-2025,0.1696385881840199,0.1696385881840199,363236.29292483995,0.8468828096186981
Coal,2025-2030,0.02435363320713318,0.19397733194083983,38989.49680770908,0.9304106820105487
Coal,2030-2035,0.005625795724676233,0.19958823821519825,6625.284185042219,0.8314143360888729
Coal,2035-2040,0.0008380627128186013,0.20041141147774436,708.9898484811799,0.16012593463038283
Coal,2040-2045,0.00045613851209049986,0.20085266053942502,267.3475834498134,0.024596713479785814
Coal,2045-2050,0.0024650927121532018,0.20330286380145032,942.8752855499803,0.028663927653382104
Coal,2050-2055,0.0037794241196186995,0.20706739847065941,842.6204070019967,0.040275283256793276
Coal,2055-2060,0.010794850312283168,0.21784735933254132,1057.29696702021,0.041768325082418324
CoalCCSadv,2020-2025,0.0,0.0,0.0,0.0
CoalCCSadv,2025-2030,0.0,0.0,0.0,0.0
CoalCCSadv,2030-2035,0.0,0.0,0.0,0.0
CoalCCSadv,2035-2040,0.0,0.0,0.0,0.0
CoalCCSadv,2040-2045,0.0,0.0,0.0,0.0
CoalCCSadv,2045-2050,0.0,0.0,0.0,0.0
CoalCCSadv,2050-2055,0.0,0.0,0.0,0.0
CoalCCSadv,2055-2060,0.0,0.0,0.0,0.0
Gasexisting,2020-2025,0.0,222718.99999999997,0.0,186882.4914823324
Gasexisting,2025-2030,0.0,152048.5480769231,0.0,115889.09401055015
Gasexisting,2030-2035,0.0,94227.26923076923,0.0,52336.814275588236
Gasexisting,2035-2040,0.0,21415.288461538465,0.0,10199.263982186292
Gasexisting,2040-2045,0.0,17817.519999999993,0.0,1209.1353989203405
Gasexisting,2045-2050,0.0,0.0,0.0,0.0
Gasexisting,2050-2055,0.0,0.0,0.0,0.0
Gasexisting,2055-2060,0.0,0.0,0.0,0.0
GasOCGT,2020-2025,0.10729864362620918,0.10729864362620918,78837.77870449243,0.07012172442384905
GasOCGT,2025-2030,9417.975814707288,9418.083091886898,5421896497.504662,1556.3404534007068
GasOCGT,2030-2035,86060.74275621206,95478.82577377738,38819706412.005905,11307.255114404426
