Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh,Expected total available power_GWh,Expected annual curtailment ratio of total capacity_%
Austria,Hydrorun-of-the-river,2020-2025,0.0023319521075928205,40897.518832630754,5.701940298960715e-06
Austria,Hydrorun-of-the-river,2025-2030,164.4463509510666,41456.77581951124,0.3966694170019644
Austria,Hydrorun-of-the-river,2030-2035,12753.83925595568,53428.67895959457,23.870774094191567
Austria,Hydrorun-of-the-river,2035-2040,12455.412714556076,54169.3442995256,22.99347144703237
Austria,Hydrorun-of-the-river,2040-2045,14933.422262487278,55557.172029386835,26.87937797587732
Austria,Hydrorun-of-the-river,2045-2050,15484.471205245278,55497.30264478719,27.901304148697616
Austria,Hydrorun-of-the-river,2050-2055,14231.683556070095,54669.25197130838,26.032336355249917
Austria,Hydrorun-of-the-river,2055-2060,11240.865613219823,53212.27785745006,21.124571369286024
Belgium,Hydrorun-of-the-river,2020-2025,410.68237339896143,881.4823733915238,46.589970009139435
Belgium,Hydrorun-of-the-river,2025-2030,45.78732365319247,516.5873245036396,8.863423758449164
Belgium,Hydrorun-of-the-river,2030-2035,258.11697803971725,728.9169781138902,35.411025643497574
Belgium,Hydrorun-of-the-river,2035-2040,253.00485831852308,723.8048560872251,34.95484400121705
Belgium,Hydrorun-of-the-river,2040-2045,585.4645214714691,1056.2645222694553,55.427831677386955
Belgium,Hydrorun-of-the-river,2045-2050,1409.1834085584526,1879.9834085911812,74.9572257988417
Belgium,Hydrorun-of-the-river,2050-2055,818.1146559167858,1288.9146565313658,63.47314399530819
Belgium,Hydrorun-of-the-river,2055-2060,515.7959355313818,986.5959288874337,52.28036326006692
Bulgaria,Hydrorun-of-the-river,2020-2025,2864.568587905081,6836.323336996808,41.90218113883835
Bulgaria,Hydrorun-of-the-river,2025-2030,2884.367531869843,5523.441236174871,52.22048010539429
Bulgaria,Hydrorun-of-the-river,2030-2035,4636.678076141515,7434.066967398047,62.37067942050528
Bulgaria,Hydrorun-of-the-river,2035-2040,4099.914269433897,5931.506879705053,69.12095615132739
Bulgaria,Hydrorun-of-the-river,2040-2045,4249.771387886531,6112.502434696144,69.52588458310838
Bulgaria,Hydrorun-of-the-river,2045-2050,5441.390336549447,7066.370593240877,77.00403290133472
Bulgaria,Hydrorun-of-the-river,2050-2055,4831.209311696768,6488.368388368894,74.4595408663484
Bulgaria,Hydrorun-of-the-river,2055-2060,4236.725507391989,5667.7636264277335,74.75127381171863
Switzerland,Hydrorun-of-the-river,2020-2025,0.0015117872263809443,1347.1249016907482,0.00011222324110285037
Switzerland,Hydrorun-of-the-river,2025-2030,0.0010845305548759176,19731.60390686359,5.496413570812995e-06
Switzerland,Hydrorun-of-the-river,2030-2035,5.97371353117043,19379.38826369843,0.030825088232327855
Switzerland,Hydrorun-of-the-river,2035-2040,0.010530927506759985,17539.122877871618,6.0042498020504887e-05
Switzerland,Hydrorun-of-the-river,2040-2045,0.037437855345502515,19918.02148785269,0.00018795970959432172
Switzerland,Hydrorun-of-the-river,2045-2050,198.44704750151809,13012.330255691766,1.5250692504881262
Switzerland,Hydrorun-of-the-river,2050-2055,95.98421073438782,19271.656545306687,0.498058952580095
Switzerland,Hydrorun-of-the-river,2055-2060,14.059613634970756,17078.51188924258,0.082323411583808
CzechR,Hydrorun-of-the-river,2020-2025,85.056937465348,1340.112537682661,6.34699960440856
CzechR,Hydrorun-of-the-river,2025-2030,151.37517776256894,1372.6125266604008,11.028252680373562
